Word,Frequency
parties,401
agreement,249
article,134
conference,120
implementation,80
adaptation,80
convention,78
meeting,75
country,70
support,65
paragraph,65
climate,62
session,59
change,52
actions,52
mitigation,50
development,46
technology,44
requests,44
contributions,44
party,44
action,43
information,43
subsidiary,41
efforts,40
decides,35
adoption,33
decision,32
mechanism,31
body,31
modalities,31
committee,31
emissions,29
consideration,29
account,29
transparency,27
accordance,26
bodies,26
process,26
procedures,25
group,24
countries,23
contribution,23
view,22
work,22
guidance,22
hoc,21
greenhouse,21
report,21
practices,20
gas,19
approaches,19
policies,19
emission,18
review,18
decisions,17
framework,17
enhance,17
states,17
time,17
progress,16
advice,16
basis,16
activities,16
transfer,16
arrangements,16
importance,16
order,15
needs,15
levels,15
finance,15
provisions,15
organizations,15
guidelines,15
reports,15
member,15
nations,14
response,14
capacity-building,14
resources,14
stocktake,14
alia,13
ambition,12
manner,12
strategies,12
capacity,12
integration,12
cooperation,11
provision,11
stakeholders,11
circumstances,11
priorities,11
meetings,11
date,11
organization,11
goal,10
sessions,10
secretariat,10
effects,10
inter,10
plans,10
participation,9
need,9
measures,9
access,9
institutions,9
approval,9
force,9
entities,9
removals,9
impacts,9
resilience,9
period,9
opportunities,9
articles,8
risk,8
reductions,8
temperature,8
instruments,8
mutatis,8
mutandis,8
conjunction,8
level,8
context,8
invites,8
years,8
functions,8
experiences,8
recommendations,8
assessment,8
knowledge,8
reduction,7
increase,7
ratification,7
acceptance,7
accession,7
towards,7
clarity,7
communication,7
sources,7
lessons,7
loss,7
damage,7
management,7
matters,7
initiatives,7
flexibility,7
obligations,6
communities,6
equity,6
effect,6
protocol,6
synthesis,6
year,6
processes,6
methodologies,6
counting,6
appropriate,6
role,6
recommendation,6
environment,6
facility,6
responsibilities,6
results,6
capacities,6
integrity,6
outcomes,6
day,6
capabilities,6
platform,5
agenda,5
address,5
respect,5
rights,5
peoples,5
terms,5
gases,5
benefits,5
signature,5
april,5
entry,5
programme,5
communicate,5
panel,5
scope,5
accounting,5
operation,5
consistency,5
rules,5
coordination,5
ways,5
mobilization,5
fund,5
policy,5
forests,5
assessments,5
executive,5
centre,5
network,5
enhancement,5
paragraphs,5
awareness,5
use,5
state,5
communications,5
examination,5
events,5
policymakers,5
systems,5
observers,5
part,4
paris,4
concern,4
people,4
regard,4
promote,4
depositary,4
inform,4
facilitate,4
registry,4
experience,4
coherence,4
burden,4
assistance,4
effectiveness,4
groups,4
achievement,4
identify,4
urges,4
technologies,4
aim,4
education,4
competence,4
balance,4
consultation,4
expert,4
options,4
champions,4
president,4
champion,4
serve,4
poverty,4
science,4
exercise,4
threat,3
urgency,3
health,3
situations,3
pledges,3
limit,3
kyoto,3
energy,3
sector,3
annex,3
york,3
notes,3
draft,3
welcomes,3
preparation,3
note,3
dialogue,3
stock,3
iii,3
months,3
planning,3
exchange,3
sinks,3
verification,3
views,3
agencies,3
programmes,3
adequacy,3
insurance,3
initiate,3
incentives,3
conservation,3
research,3
environments,3
dissemination,3
tools,3
building,3
submissions,3
http,3
training,3
total,3
resolves,3
encourages,3
co-benefits,3
share,3
areas,3
event,3
coalitions,3
diversification,3
vulnerability,3
food,3
production,3
lead,3
addition,3
progression,3
hereby,3
annexes,3
vote,3
withdrawal,3
achieve,2
humankind,2
migrants,2
children,2
persons,2
disabilities,2
equality,2
women,2
concerns,2
pathways,2
deployment,2
society,2
cities,2
authorities,2
hereinafter,2
ceremony,2
opportunity,2
deposit,2
recognizes,2
application,2
reiterates,2
twenty-second,2
gigatonnes,2
contains,2
frame,2
develop,2
understanding,2
reference,2
frames,2
considers,2
categories,2
recommends,2
recommend,2
workplan,2
collaboration,2
steps,2
projects,2
continuation,2
comprehensive,2
mandate,2
complement,2
involve,2
agrees,2
contribute,2
adequate,2
payments,2
deforestation,2
degradation,2
carbon,2
stocks,2
interventions,2
line,2
delivery,2
elaboration,2
gaps,2
duplication,2
identifying,2
challenges,2
ownership,2
portal,2
area,2
matter,2
request,2
provide,2
improvement,2
priority,2
replenishment,2
reporting,2
update,2
accuracy,2
completeness,2
comparability,2
quality,2
methodology,2
impact,2
measurement,2
system,2
compliance,2
members,2
relevant,2
island,2
cent,2
inventory,2
amendment,2
agreements,2
units,2
value,2
input,2
paper,2
format,2
conduct,2
actor,2
zone,2
engagement,2
act,2
term,2
appointment,2
vulnerabilities,2
take,2
demonstrate,2
pursuit,2
principle,2
eradication,2
reservoirs,2
ability,2
represent,2
targets,2
avoidance,2
authority,2
host,2
costs,2
livelihoods,2
country-driven,2
onset,2
effort,2
variety,2
vision,2
stages,2
cycle,2
transparent,2
extent,2
attention,2
nature,2
proceedings,2
agency,2
thereof,2
instrument,2
number,2
notification,2
distr,1
december,1
contents,1
ge.16-01194,1
page,1
establishment,1
resolution,1
world,1
addis,1
financing,1
sendai,1
disaster,1
societies,1
gap,1
foundation,1
africa,1
mobilize,1
sign,1
arrangement,1
election,1
officers,1
invitation,1
position,1
october,1
document,1
aggregate,1
scenarios,1
cover,1
make,1
collective,1
submits,1
features,1
point,1
periods,1
coverage,1
assumptions,1
contributes,1
half,1
elaborate,1
metrics,1
baselines,1
source,1
activity,1
explanation,1
amongst,1
mid-century,1
website,1
adjustment,1
adopt,1
certification,1
mechanisms,1
linkages,1
synergy,1
respond,1
consider,1
centres,1
networks,1
clearing,1
house,1
task,1
displacement,1
liability,1
compensation,1
regulations,1
floor,1
issue,1
criteria,1
transmission,1
operations,1
relating,1
demonstration,1
findings,1
ideas,1
barriers,1
emerging,1
manage,1
oversee,1
synergies,1
space,1
maintenance,1
theme,1
successes,1
membership,1
march,1
include,1
compilation,1
extension,1
post-2020,1
requirements,1
assist,1
cycles,1
entity,1
design,1
frequency,1
detail,1
reviews,1
flexibilities,1
discretion,1
intervals,1
formats,1
issues,1
submission,1
biennial,1
fields,1
representation,1
gender,1
clauses,1
doha,1
pledge,1
cancun,1
resolve,1
cancellation,1
commitment,1
suggestions,1
experts,1
mandates,1
updates,1
project,1
proposals,1
participants,1
disseminate,1
organizing,1
replicable,1
updating,1
preparing,1
place,1
improve,1
road,1
map,1
acknowledges,1
appreciation,1
summit,1
registration,1
convene,1
dignitaries,1
behalf,1
execution,1
introduction,1
secretary,1
incoming,1
presidents,1
engaging,1
continuity,1
concrete,1
pursued,1
outputs,1
well,1
online,1
scale,1
decrease,1
platform4,1
establishes,1
pricing,1
implications,1
undertaken,1
availability,1
durban,1
principles,1
relationship,1
responses,1
security,1
hunger,1
imperatives,1
transition,1
workforce,1
creation,1
decent,1
jobs,1
ecosystems,1
oceans,1
protection,1
biodiversity,1
cultures,1
concept,1
justice,1
engagements,1
government,1
actors,1
legislations,1
lifestyles,1
patterns,1
consumption,1
definitions,1
risks,1
adapt,1
foster,1
flows,1
reach,1
peaking,1
century,1
maintain,1
objectives,1
move,1
limitation,1
methods,1
economies,1
conserve,1
incentivizing,1
pursue,1
governance,1
fulfil,1
proceeds,1
expenses,1
meet,1
challenge,1
dimensions,1
component,1
protect,1
approach,1
relation,1
observation,1
warning,1
informs,1
services,1
decision-making,1
durability,1
undertakings,1
places,1
monitoring,1
documents,1
plan,1
averting,1
weather,1
facilitation,1
emergency,1
preparedness,1
facilities,1
solutions,1
losses,1
channels,1
funds,1
constraints,1
accelerating,1
innovation,1
growth,1
means,1
aspects,1
participatory,1
genderresponsive,1
capacitybuilding,1
build,1
trust,1
confidence,1
sovereignty,1
analysis,1
drawn,1
overview,1
practice,1
track,1
assess,1
goals,1
outcome,1
enhancing,1
function,1
supreme,1
bureau,1
consensus,1
times,1
object,1
admission,1
procedure,1
case,1
performance,1
cases,1
modification,1
amount,1
ratifies,1
approves,1
conditions,1
purposes,1
amendments,1
constitutes,1
thereto,1
lists,1
forms,1
character,1
settlement,1
exercises,1
vice,1
versa,1
reservations,1
expiry,1
receipt,1
withdraws,1
texts,1
fifteen,1
witness,1
whereof,1
