UN Paris,Frequency,Type,UN_Overlap_Shell,UN_Overlap_BP
Parties,401,Noun,1,1
Agreement,243,Noun,1,1
Article,134,Noun,0,0
Conference,120,Noun,0,1
paragraph,116,Noun,0,0
Convention,84,Noun,0,1
country,76,Noun,1,1
meeting,76,Noun,1,1
implementation,75,Noun,1,1
adaptation,75,Noun,1,1
Paris,71,Noun,1,1
session,60,Noun,0,1
climate,60,Noun,1,1
support,53,Noun,1,1
actions,52,Noun,1,1
mitigation,48,Noun,1,1
building,46,Noun,1,1
contributions,44,Noun,0,1
development,44,Noun,1,1
Party,42,Noun,1,1
change,41,Noun,1,1
efforts,40,Noun,1,1
capacity,39,Noun,1,1
information,38,Noun,1,1
FCCC,38,Noun,0,0
action,32,Noun,1,1
secretariat,32,Noun,0,0
accordance,32,Noun,1,1
modalities,31,Noun,0,0
decision,31,Noun,1,1
adoption,30,Noun,1,1
consideration,29,Noun,1,1
emissions,29,Noun,1,1
account,29,Noun,1,1
Body,28,Noun,1,0
Subsidiary,28,Noun,0,0
procedures,27,Noun,1,1
technology,27,Noun,1,1
process,26,Noun,1,1
Requests,26,Noun,0,1
bodies,26,Noun,1,1
Committee,26,Noun,1,1
transparency,25,Noun,1,1
view,24,Noun,1,1
greenhouse,24,Noun,1,1
work,24,Noun,1,1
Group,24,Noun,1,1
contribution,23,Noun,1,1
requests,23,Noun,0,1
Mechanism,22,Noun,0,1
guidance,22,Noun,1,1
approaches,21,Noun,1,1
Climate,21,Noun,1,1
Hoc,21,Noun,0,0
Working,21,Noun,1,1
practices,20,Noun,1,1
gas,19,Noun,1,1
countries,19,Noun,1,1
progress,19,Noun,1,1
States,19,Noun,1,1
Capacity,19,Noun,1,1
level,19,Noun,1,1
policies,19,Noun,1,1
emission,18,Noun,1,1
need,17,Noun,1,1
Technology,17,Noun,1,1
time,17,Noun,1,1
framework,17,Noun,1,1
needs,17,Noun,1,1
transfer,17,Noun,0,1
arrangements,16,Noun,1,1
importance,16,Noun,1,1
activities,16,Noun,1,1
review,16,Noun,1,1
basis,16,Noun,1,1
provisions,15,Noun,0,1
organizations,15,Noun,0,1
Scientific,15,Noun,0,0
Technological,15,Noun,0,1
report,15,Noun,1,1
Advice,15,Noun,1,0
levels,15,Noun,1,1
United,15,Noun,1,1
decisions,15,Noun,1,1
order,15,Noun,1,1
member,15,Noun,1,1
guidelines,15,Noun,1,1
stocktake,14,Noun,0,0
Nations,14,Noun,1,1
paragraphs,14,Noun,0,0
response,14,Noun,1,1
date,14,Noun,1,1
resources,14,Noun,1,1
manner,13,Noun,1,1
context,13,Noun,1,1
expert,13,Noun,0,1
cooperation,13,Noun,0,0
Implementation,13,Noun,1,1
plans,12,Noun,1,1
light,12,Noun,1,1
strategies,12,Noun,1,1
integration,12,Noun,1,1
subsidiary,12,Noun,0,0
impacts,12,Noun,1,1
measures,12,Noun,1,1
ambition,12,Noun,1,0
priorities,11,Noun,1,1
Articles,11,Noun,0,0
term,11,Noun,1,1
stakeholders,11,Noun,1,1
finance,11,Noun,1,1
circumstances,11,Noun,1,1
provision,11,Noun,1,1
organization,11,Noun,1,1
Action,11,Noun,1,1
Change,11,Noun,1,1
reports,11,Noun,1,1
meetings,11,Noun,1,1
goal,10,Noun,1,1
effects,10,Noun,1,1
force,9,Noun,0,0
knowledge,9,Noun,1,1
island,9,Noun,0,0
understanding,9,Noun,1,1
period,9,Noun,1,1
sessions,9,Noun,0,1
access,9,Noun,1,1
opportunities,9,Noun,1,1
assessment,9,Noun,1,1
institutions,9,Noun,1,1
approval,9,Noun,1,1
entities,9,Noun,1,1
removals,9,Noun,0,0
respect,9,Noun,1,1
participation,9,Noun,1,1
mechanism,9,Noun,0,1
Adaptation,9,Noun,1,1
International,9,Noun,1,1
Protocol,8,Noun,1,0
years,8,Noun,1,1
processes,8,Noun,1,1
conjunction,8,Noun,0,1
Kyoto,8,Noun,0,0
recommendations,8,Noun,1,1
mutatis,8,Noun,0,0
mutandis,8,Noun,0,0
Executive,8,Noun,1,1
functions,8,Noun,0,1
resilience,8,Noun,1,1
experiences,8,Noun,1,1
Financial,8,Noun,1,1
temperature,8,Noun,1,1
purpose,8,Noun,1,1
results,8,Noun,1,1
flexibility,7,Noun,0,1
outcomes,7,Noun,1,1
sources,7,Noun,1,1
year,7,Noun,1,1
initiatives,7,Noun,1,1
lessons,7,Noun,0,1
effectiveness,7,Noun,1,1
Warsaw,7,Noun,0,0
matters,7,Noun,0,0
clarity,7,Noun,1,0
management,7,Noun,1,1
communication,7,Noun,1,1
accession,7,Noun,0,0
enhancement,7,Noun,1,0
acceptance,7,Noun,1,1
ratification,7,Noun,0,0
reductions,7,Noun,1,1
objective,7,Noun,0,1
right,7,Noun,1,1
Depositary,7,Noun,0,0
General,7,Noun,1,0
instruments,7,Noun,0,0
use,6,Noun,1,1
methodologies,6,Noun,0,0
equity,6,Noun,1,1
Fund,6,Noun,1,1
obligations,6,Noun,0,1
counting,6,Noun,0,0
regard,6,Noun,1,1
effect,6,Noun,1,1
reduction,6,Noun,1,1
coordination,6,Noun,0,0
communities,6,Noun,1,1
risk,6,Noun,1,1
increase,6,Noun,1,1
recommendation,6,Noun,1,0
Environment,6,Noun,1,1
Facility,6,Noun,1,1
responsibilities,6,Noun,1,1
capacities,6,Noun,0,0
training,6,Noun,1,1
Transparency,6,Noun,1,1
integrity,6,Noun,1,1
agreement,6,Noun,1,1
summary,6,Noun,1,1
day,6,Noun,1,1
capabilities,6,Noun,1,1
synthesis,6,Noun,0,0
role,6,Noun,1,1
April,6,Noun,1,1
Secretary,6,Noun,0,0
programme,6,Noun,1,1
Network,5,Noun,1,1
alia,5,Noun,0,0
ecosystems,5,Noun,1,1
examination,5,Noun,0,0
ways,5,Noun,1,1
impact,5,Noun,1,1
Support,5,Noun,1,1
Framework,5,Noun,1,1
Information,5,Noun,1,1
forests,5,Noun,1,0
scope,5,Noun,1,1
committee,5,Noun,1,1
communications,5,Noun,1,1
Panel,5,Noun,1,1
Durban,5,Noun,0,0
policymakers,5,Noun,0,1
rules,5,Noun,1,1
sinks,5,Noun,0,0
operation,5,Noun,1,1
signature,5,Noun,0,0
rights,5,Noun,1,1
peoples,5,Noun,1,1
observers,5,Noun,0,1
consistency,5,Noun,0,0
Intergovernmental,5,Noun,1,1
November,5,Noun,1,1
entry,5,Noun,0,1
operating,5,Noun,1,1
Centre,5,Noun,1,1
awareness,5,Noun,1,1
Initiative,5,Noun,1,1
benefits,5,Noun,1,1
achievement,5,Noun,1,1
reporting,5,Noun,1,1
Agenda,5,Noun,0,1
damage,5,Noun,0,1
systems,5,Noun,1,1
policy,5,Noun,1,1
gases,5,Noun,1,1
mobilization,5,Noun,0,0
terms,5,Noun,1,1
assessments,5,Noun,1,1
update,5,Noun,1,1
loss,4,Noun,1,1
co-benefits,4,Noun,0,0
State,4,Noun,1,1
gaps,4,Noun,1,1
concern,4,Noun,1,1
forest,4,Noun,1,1
science,4,Noun,1,1
balance,4,Noun,1,1
assistance,4,Noun,0,0
accounting,4,Noun,1,1
competence,4,Noun,1,1
groups,4,Noun,1,1
burden,4,Noun,0,0
coherence,4,Noun,0,0
input,4,Noun,1,1
Finance,4,Noun,1,1
Countries,4,Noun,1,1
Platform,4,Noun,1,1
programmes,4,Noun,1,1
education,4,Noun,1,1
events,4,Noun,1,1
registry,4,Noun,0,0
engagement,4,Noun,1,1
reference,4,Noun,0,1
President,4,Noun,1,1
champion,4,Noun,0,0
planning,4,Noun,1,1
champions,4,Noun,0,0
options,4,Noun,1,1
people,4,Noun,1,1
notification,4,Noun,0,0
technologies,4,Noun,1,1
consultation,4,Noun,1,1
poverty,4,Noun,1,0
Adoption,3,Noun,1,1
request,3,Noun,0,1
incentives,3,Noun,1,1
part,3,Noun,1,1
outcome,3,Noun,1,0
Standing,3,Noun,1,0
preparation,3,Noun,1,1
instrument,3,Noun,0,0
stock,3,Noun,0,0
withdrawal,3,Noun,0,1
agencies,3,Noun,1,1
coalitions,3,Noun,1,0
advance,3,Noun,1,1
York,3,Noun,0,0
months,3,Noun,1,1
pledges,3,Noun,0,1
food,3,Noun,0,1
vulnerability,3,Noun,1,0
Loss,3,Noun,1,1
submissions,3,Noun,0,0
note,3,Noun,1,0
extent,3,Noun,1,1
production,3,Noun,1,1
document,3,Noun,0,1
body,3,Noun,1,0
adequacy,3,Noun,0,0
diversification,3,Noun,0,0
insurance,3,Noun,1,0
workplan,3,Noun,0,0
experience,3,Noun,1,1
May,3,Noun,1,1
dialogue,3,Noun,1,1
Green,3,Noun,1,0
sharing,3,Noun,1,1
sector,3,Noun,1,1
mandate,3,Noun,1,0
areas,3,Noun,1,1
dissemination,3,Noun,0,0
aim,3,Noun,1,1
draft,3,Noun,0,1
urgency,3,Noun,1,0
deployment,3,Noun,1,1
Cancun,3,Noun,0,0
exchange,3,Noun,1,1
lead,3,Noun,1,0
situations,3,Noun,1,1
health,3,Noun,1,1
progression,3,Noun,0,0
Global,3,Noun,1,1
subject,3,Noun,0,0
host,3,Noun,1,1
addition,3,Noun,1,1
tools,3,Noun,1,1
