UN Paris,Frequency,Type,UN_Overlap_Shell,UN_Overlap_BP
Parties,401,Noun,1,1
Agreement,243,Noun,1,1
Article,134,Noun,0,0
Conference,120,Noun,0,1
paragraph,116,Noun,0,0
Convention,84,Noun,0,1
country,76,Noun,1,1
meeting,76,Noun,1,1
implementation,75,Noun,1,1
adaptation,75,Noun,1,1
Paris,71,Noun,1,1
session,60,Noun,0,1
climate,60,Noun,1,1
support,53,Noun,1,1
actions,52,Noun,1,1
mitigation,48,Noun,1,1
building,46,Noun,1,1
contributions,44,Noun,0,1
development,44,Noun,1,1
Party,42,Noun,1,1
change,41,Noun,1,1
efforts,40,Noun,1,1
capacity,39,Noun,1,1
information,38,Noun,1,1
FCCC,38,Noun,0,0
CP,37,Noun,0,0
action,32,Noun,1,1
secretariat,32,Noun,0,0
accordance,32,Noun,1,1
modalities,31,Noun,0,0
decision,31,Noun,1,1
adoption,30,Noun,1,1
consideration,29,Noun,1,1
emissions,29,Noun,1,1
account,29,Noun,1,1
Body,28,Noun,1,0
Subsidiary,28,Noun,0,0
procedures,27,Noun,1,1
technology,27,Noun,1,1
process,26,Noun,1,1
Requests,26,Noun,0,1
bodies,26,Noun,1,1
Committee,26,Noun,1,1
transparency,25,Noun,1,1
view,24,Noun,1,1
greenhouse,24,Noun,1,1
work,24,Noun,1,1
Group,24,Noun,1,1
contribution,23,Noun,1,1
requests,23,Noun,0,1
Mechanism,22,Noun,0,1
guidance,22,Noun,1,1
approaches,21,Noun,1,1
Climate,21,Noun,1,1
Ad,21,Noun,0,0
Hoc,21,Noun,0,0
Working,21,Noun,1,1
practices,20,Noun,1,1
gas,19,Noun,1,1
countries,19,Noun,1,1
progress,19,Noun,1,1
States,19,Noun,1,1
Capacity,19,Noun,1,1
level,19,Noun,1,1
policies,19,Noun,1,1
emission,18,Noun,1,1
need,17,Noun,1,1
Technology,17,Noun,1,1
time,17,Noun,1,1
framework,17,Noun,1,1
needs,17,Noun,1,1
transfer,17,Noun,0,1
arrangements,16,Noun,1,1
importance,16,Noun,1,1
activities,16,Noun,1,1
review,16,Noun,1,1
basis,16,Noun,1,1
provisions,15,Noun,0,1
organizations,15,Noun,0,1
Scientific,15,Noun,0,0
Technological,15,Noun,0,1
report,15,Noun,1,1
Advice,15,Noun,1,0
levels,15,Noun,1,1
United,15,Noun,1,1
decisions,15,Noun,1,1
order,15,Noun,1,1
member,15,Noun,1,1
guidelines,15,Noun,1,1
stocktake,14,Noun,0,0
Nations,14,Noun,1,1
paragraphs,14,Noun,0,0
response,14,Noun,1,1
date,14,Noun,1,1
resources,14,Noun,1,1
manner,13,Noun,1,1
context,13,Noun,1,1
expert,13,Noun,0,1
cooperation,13,Noun,0,0
Implementation,13,Noun,1,1
plans,12,Noun,1,1
light,12,Noun,1,1
strategies,12,Noun,1,1
integration,12,Noun,1,1
subsidiary,12,Noun,0,0
impacts,12,Noun,1,1
measures,12,Noun,1,1
ambition,12,Noun,1,0
priorities,11,Noun,1,1
Articles,11,Noun,0,0
term,11,Noun,1,1
stakeholders,11,Noun,1,1
finance,11,Noun,1,1
effects,10,Noun,1,1
force,9,Noun,0,0
knowledge,9,Noun,1,1
island,9,Noun,0,0
understanding,9,Noun,1,1
period,9,Noun,1,1
sessions,9,Noun,0,1
Protocol,8,Noun,1,0
years,8,Noun,1,1
processes,8,Noun,1,1
conjunction,8,Noun,0,1
Kyoto,8,Noun,0,0
flexibility,7,Noun,0,1
outcomes,7,Noun,1,1
sources,7,Noun,1,1
year,7,Noun,1,1
c,7,Noun,1,1
initiatives,7,Noun,1,1
use,6,Noun,1,1
methodologies,6,Noun,0,0
equity,6,Noun,1,1
Fund,6,Noun,1,1
obligations,6,Noun,0,1
counting,6,Noun,0,0
Network,5,Noun,1,1
alia,5,Noun,0,0
ecosystems,5,Noun,1,1
examination,5,Noun,0,0
ways,5,Noun,1,1
impact,5,Noun,1,1
Support,5,Noun,1,1
loss,4,Noun,1,1
co-benefits,4,Noun,0,0
State,4,Noun,1,1
gaps,4,Noun,1,1
concern,4,Noun,1,1
Adoption,3,Noun,1,1
request,3,Noun,0,1
incentives,3,Noun,1,1
part,3,Noun,1,1
outcome,3,Noun,1,0
warning,2,Noun,1,1
matter,2,Noun,0,1
December,2,Noun,1,1
livelihoods,2,Noun,1,1
area,2,Noun,1,1
ownership,2,Noun,1,1
Decision,2,Noun,1,1
legislations,1,Noun,0,0
expiry,1,Noun,0,0
lifestyles,1,Noun,1,1
patterns,1,Noun,1,1
consumption,1,Noun,1,1
