,keyword,Relative_Frequency.5,Relative_Frequency
0,ability,0.0008630361612151,0.0003746019853905
1,acceptance,8.630361612151549e-05,0.0013111069488668
2,access,0.0014671614740657,0.0016857089342573
3,accordance,0.0002589108483645,0.005057126802772
4,account,0.000517821696729,0.0054317287881625
5,accounting,0.000172607232243,0.000749203970781
6,accuracy,8.630361612151549e-05,0.0003746019853905
7,achieve,8.630361612151549e-05,0.0001873009926952
8,achievement,8.630361612151549e-05,0.000749203970781
9,act,0.0004315180806075,0.0003746019853905
10,action,0.0006904289289721,0.0080539426858962
11,actions,0.0012082506257012,0.0097396516201535
12,activities,0.0056097350478985,0.0029968158831241
13,activity,0.0021575904030378,0.0001873009926952
14,actors,8.630361612151549e-05,0.0001873009926952
15,adaptation,8.630361612151549e-05,0.0151713804083161
16,addition,0.0010356433934581,0.0005619029780857
17,address,0.0009493397773366,0.0009365049634763
18,adoption,8.630361612151549e-05,0.0061809327589436
19,africa,0.0006041253128506,0.0001873009926952
20,agencies,0.0004315180806075,0.0005619029780857
21,agency,0.0004315180806075,0.0003746019853905
22,agenda,8.630361612151549e-05,0.0009365049634763
23,agreement,0.0008630361612151,0.0460760442030342
24,agreements,0.0006904289289721,0.0003746019853905
25,aim,0.0004315180806075,0.000749203970781
26,america,0.000172607232243,0.0001873009926952
27,amount,0.0004315180806075,0.0001873009926952
28,analysis,8.630361612151549e-05,0.0001873009926952
29,application,0.0002589108483645,0.0003746019853905
30,appointment,8.630361612151549e-05,0.0003746019853905
31,approach,0.0025891084836454,0.0001873009926952
32,approaches,0.0004315180806075,0.0035587188612099
33,appropriate,0.000172607232243,0.0013111069488668
34,approval,0.0002589108483645,0.0016857089342573
35,april,8.630361612151549e-05,0.0011238059561715
36,area,0.0020712867869163,0.0003746019853905
37,areas,0.0054371278156554,0.0005619029780857
38,arrangements,0.000172607232243,0.0029968158831241
39,aspects,0.0009493397773366,0.0001873009926952
40,assess,0.000517821696729,0.0003746019853905
41,assessment,0.0006041253128506,0.001498407941562
42,assessments,0.0010356433934581,0.0009365049634763
43,attention,0.000172607232243,0.0003746019853905
44,authorities,0.0006041253128506,0.0003746019853905
45,authority,8.630361612151549e-05,0.0003746019853905
46,availability,0.0002589108483645,0.0001873009926952
47,awareness,0.000172607232243,0.0009365049634763
48,balance,8.630361612151549e-05,0.000749203970781
49,barriers,8.630361612151549e-05,0.0001873009926952
50,basis,0.0010356433934581,0.0029968158831241
51,behalf,0.000172607232243,0.0001873009926952
