,keyword,Relative_Frequency.2,Relative_Frequency
0,ability,0.0004598123965422,0.0001454545454545
1,accelerate,0.0003678499172337,0.0001454545454545
2,accelerating,9.196247930844216e-05,0.0001454545454545
3,access,0.0015633621482435,0.0010181818181818
4,accordance,0.0007356998344675,0.0068363636363636
5,account,0.0004598123965422,0.005090909090909
6,accountability,0.0001839249586168,0.0001454545454545
7,accounting,0.0002758874379253,0.001890909090909
8,accounts,9.196247930844216e-05,0.0001454545454545
9,acquisition,0.0001839249586168,0.000290909090909
10,action,0.0035865366930292,0.0059636363636363
11,actions,0.001471399668935,0.0040727272727272
12,activities,0.0037704616516461,0.0097454545454545
13,activity,0.0009196247930844,0.0088727272727272
14,actors,9.196247930844216e-05,0.0001454545454545
15,addition,0.000643737355159,0.0010181818181818
16,address,0.0001839249586168,0.0016
17,adoption,0.0002758874379253,0.0020363636363636
18,advance,0.0004598123965422,0.000290909090909
19,advice,9.196247930844216e-05,0.0021818181818181
20,agencies,9.196247930844216e-05,0.0001454545454545
21,agreement,0.0004598123965422,0.0184727272727272
22,aims,0.0071730733860584,0.0001454545454545
23,align,9.196247930844216e-05,0.0001454545454545
24,ambition,0.0015633621482435,0.0026181818181818
25,amendments,9.196247930844216e-05,0.0001454545454545
26,amount,9.196247930844216e-05,0.0010181818181818
27,annual,0.0008276623137759,0.0008727272727272
28,application,9.196247930844216e-05,0.001890909090909
29,applies,9.196247930844216e-05,0.000290909090909
30,approach,0.0035865366930292,0.0048
31,approaches,0.0001839249586168,0.0074181818181818
32,appropriate,0.0001839249586168,0.0005818181818181
33,approval,0.0001839249586168,0.0021818181818181
34,april,9.196247930844216e-05,0.0001454545454545
35,areas,0.0033106492551039,0.0007272727272727
36,arrangements,0.0001839249586168,0.0017454545454545
37,article,0.0002758874379253,0.0184727272727272
38,assessment,0.0001839249586168,0.0011636363636363
39,assist,9.196247930844216e-05,0.000290909090909
40,assistance,0.0001839249586168,0.0007272727272727
41,assurance,0.0023910244620194,0.0001454545454545
42,authority,9.196247930844216e-05,0.000290909090909
43,availability,0.0001839249586168,0.0007272727272727
44,availability,9.196247930844216e-05,0.0007272727272727
45,average,0.0001839249586168,0.0001454545454545
46,avoiding,9.196247930844216e-05,0.0001454545454545
47,awareness,0.000643737355159,0.0001454545454545
48,balance,0.0004598123965422,0.0005818181818181
49,baseline,0.0022070995034026,0.0010181818181818
50,basis,0.002299061982711,0.0023272727272727
51,behaviour,9.196247930844216e-05,0.0001454545454545
52,benchmark,0.0003678499172337,0.0001454545454545
53,benefit,0.0001839249586168,0.0001454545454545
54,benefits,0.000643737355159,0.000290909090909
55,billion,9.196247930844216e-05,0.0001454545454545
56,biodiversity,0.0051498988412727,0.000290909090909
57,board,0.0012874747103181,0.0001454545454545
58,bodies,0.0001839249586168,0.0008727272727272
59,boundaries,0.0001839249586168,0.0001454545454545
60,building,0.001471399668935,0.0001454545454545
61,business,0.0075409233032922,0.0004363636363636
62,businesses,0.0044141990068052,0.000290909090909
63,calculate,9.196247930844216e-05,0.0001454545454545
64,calculation,0.0001839249586168,0.000290909090909
65,capabilities,0.0004598123965422,0.000290909090909
66,capacity,0.001471399668935,0.0007272727272727
67,carbon,0.0106676475997792,0.0008727272727272
68,carbon,9.196247930844216e-05,0.0008727272727272
69,case,0.000643737355159,0.0004363636363636
70,categories,9.196247930844216e-05,0.000290909090909
71,centre,0.000643737355159,0.0001454545454545
72,centres,9.196247930844216e-05,0.000290909090909
73,certification,9.196247930844216e-05,0.0007272727272727
74,challenges,0.0007356998344675,0.0001454545454545
75,change,0.001471399668935,0.008290909090909
76,changes,0.0009196247930844,0.0001454545454545
77,chapter,9.196247930844216e-05,0.0133818181818181
78,circumstances,0.0003678499172337,0.001890909090909
79,clean,0.0001839249586168,0.0004363636363636
80,climate,0.0045981239654221,0.0096
81,collaboration,0.0018392495861688,0.0008727272727272
82,committee,0.0015633621482435,0.0017454545454545
83,communications,0.0004598123965422,0.0005818181818181
84,communities,0.0033106492551039,0.0024727272727272
85,community,0.0025749494206363,0.0001454545454545
86,comparability,0.0001839249586168,0.000290909090909
87,complements,9.196247930844216e-05,0.0001454545454545
88,compliance,0.0011035497517013,0.0001454545454545
89,concern,9.196247930844216e-05,0.0017454545454545
90,concerns,0.001471399668935,0.000290909090909
91,conditions,0.0001839249586168,0.0004363636363636
92,conference,0.0001839249586168,0.0052363636363636
93,consequence,0.0001839249586168,0.0001454545454545
94,conservation,0.0003678499172337,0.0001454545454545
95,consideration,0.0002758874379253,0.0042181818181818
96,considers,9.196247930844216e-05,0.0001454545454545
97,consistency,0.0001839249586168,0.0016
98,consistent,9.196247930844216e-05,0.0001454545454545
99,consultation,0.0005517748758506,0.0004363636363636
100,contact,9.196247930844216e-05,0.0001454545454545
101,contents,9.196247930844216e-05,0.0001454545454545
102,context,0.0001839249586168,0.0013090909090909
103,contribute,0.0004598123965422,0.0004363636363636
104,contribution,0.0002758874379253,0.0014545454545454
105,contributions,0.0004598123965422,0.0030545454545454
106,convention,9.196247930844216e-05,0.0011636363636363
107,countries,0.0012874747103181,0.001890909090909
108,country,0.0003678499172337,0.0059636363636363
109,course,0.0002758874379253,0.0001454545454545
110,creation,0.0002758874379253,0.0005818181818181
111,culture,0.0017472871068604,0.0001454545454545
112,damage,9.196247930844216e-05,0.0017454545454545
113,data,0.0028508368585617,0.0004363636363636
114,database,9.196247930844216e-05,0.0017454545454545
115,date,9.196247930844216e-05,0.0004363636363636
116,decade,0.0004598123965422,0.0004363636363636
117,december,0.0005517748758506,0.0007272727272727
118,decent,0.0001839249586168,0.0005818181818181
119,decision,0.0003678499172337,0.0117818181818181
120,decision-making,0.0002758874379253,0.000290909090909
121,decisions,0.0009196247930844,0.005090909090909
122,definitions,0.0005517748758506,0.0001454545454545
123,deliver,0.0011955122310097,0.0004363636363636
124,delivery,0.0008276623137759,0.0013090909090909
125,demand,0.0005517748758506,0.0001454545454545
126,describe,0.0002758874379253,0.000290909090909
127,design,0.0004598123965422,0.0005818181818181
128,develop,0.0004598123965422,0.0004363636363636
129,developed,0.0002758874379253,0.0001454545454545
130,development,0.0035865366930292,0.0104727272727272
131,dialogue,0.0005517748758506,0.0004363636363636
132,dioxide,0.0002758874379253,0.0007272727272727
133,disabilities,9.196247930844216e-05,0.0011636363636363
134,disease,0.0001839249586168,0.000290909090909
135,diverse,0.000643737355159,0.0001454545454545
136,diversification,9.196247930844216e-05,0.0005818181818181
137,document,0.0004598123965422,0.0001454545454545
138,documents,9.196247930844216e-05,0.000290909090909
139,draft,9.196247930844216e-05,0.0001454545454545
140,economies,9.196247930844216e-05,0.0001454545454545
141,economy,0.0005517748758506,0.0001454545454545
142,effect,9.196247930844216e-05,0.0005818181818181
143,effectiveness,0.0001839249586168,0.0001454545454545
144,efficiency,0.0005517748758506,0.0001454545454545
145,effort,0.0003678499172337,0.0001454545454545
146,efforts,0.0013794371896266,0.001890909090909
147,election,9.196247930844216e-05,0.000290909090909
148,elements,0.0004598123965422,0.0001454545454545
149,emission,0.0002758874379253,0.0075636363636363
150,emissions,0.0129667095824903,0.008
151,empowerment,9.196247930844216e-05,0.0001454545454545
152,encourages,9.196247930844216e-05,0.0007272727272727
153,end,0.0009196247930844,0.0010181818181818
154,energy,0.0140702593341916,0.0004363636363636
155,energy,9.196247930844216e-05,0.0004363636363636
156,engagement,0.0026669118999448,0.0001454545454545
157,enhance,0.0010115872723928,0.0010181818181818
158,enhancement,9.196247930844216e-05,0.0001454545454545
159,entities,0.000643737355159,0.0026181818181818
160,entity,0.0003678499172337,0.0013090909090909
161,environment,0.0007356998344675,0.0004363636363636
162,environments,0.0001839249586168,0.0001454545454545
163,equity,0.0026669118999448,0.0014545454545454
164,equivalent,0.0001839249586168,0.000290909090909
165,events,0.0011955122310097,0.0001454545454545
166,executive,0.0003678499172337,0.0004363636363636
167,experience,0.0004598123965422,0.0001454545454545
168,expert,0.0001839249586168,0.0023272727272727
169,expertise,0.0002758874379253,0.0001454545454545
170,experts,0.0005517748758506,0.0005818181818181
171,facility,0.0002758874379253,0.0004363636363636
172,factors,0.0009196247930844,0.0001454545454545
173,february,0.0011035497517013,0.0001454545454545
174,finance,9.196247930844216e-05,0.0045090909090909
175,financial,0.0005517748758506,0.0004363636363636
176,findings,9.196247930844216e-05,0.0004363636363636
177,first,9.196247930844216e-05,0.0001454545454545
178,focus,0.0013794371896266,0.0007272727272727
179,form,0.0004598123965422,0.000290909090909
180,forms,0.0002758874379253,0.0004363636363636
181,forum,0.0011955122310097,0.0004363636363636
182,fossil,9.196247930844216e-05,0.0001454545454545
183,framework,0.0013794371896266,0.0040727272727272
184,frameworks,0.0002758874379253,0.0001454545454545
185,frequency,0.0005517748758506,0.0001454545454545
186,fuel,0.0008276623137759,0.0001454545454545
187,fund,0.0001839249586168,0.0020363636363636
188,funding,0.0001839249586168,0.000290909090909
189,funds,0.0002758874379253,0.0010181818181818
190,future,0.0011035497517013,0.0005818181818181
191,gaps,0.0002758874379253,0.0004363636363636
192,gas,0.0068052234688247,0.0017454545454545
193,gases,0.0001839249586168,0.000290909090909
194,generate,9.196247930844216e-05,0.0001454545454545
195,generation,9.196247930844216e-05,0.0001454545454545
196,ghg,0.0019312120654772,0.0010181818181818
197,glasgow,9.196247930844216e-05,0.0021818181818181
198,global,0.0011955122310097,0.0005818181818181
199,goal,0.0004598123965422,0.0021818181818181
200,goals,0.0011035497517013,0.0017454545454545
201,governance,0.0011955122310097,0.0007272727272727
202,government,0.001471399668935,0.0001454545454545
203,governments,0.0004598123965422,0.0001454545454545
204,greenhouse,0.0009196247930844,0.0017454545454545
205,grievance,9.196247930844216e-05,0.000290909090909
206,group,0.0032186867757954,0.0008727272727272
207,groups,0.0008276623137759,0.0004363636363636
208,guidance,0.0011955122310097,0.0048
209,guidelines,0.0001839249586168,0.0008727272727272
210,half,0.0003678499172337,0.0001454545454545
211,health,0.0035865366930292,0.0011636363636363
212,help,0.0034026117344123,0.0001454545454545
213,https,9.196247930844216e-05,0.0010181818181818
214,identification,9.196247930844216e-05,0.0008727272727272
215,identifying,9.196247930844216e-05,0.0004363636363636
216,impact,0.0022070995034026,0.0001454545454545
217,impacts,0.0004598123965422,0.0029090909090909
218,impartiality,9.196247930844216e-05,0.0001454545454545
219,implement,0.0003678499172337,0.0004363636363636
220,implementation,0.0005517748758506,0.0125090909090909
221,implications,9.196247930844216e-05,0.0008727272727272
222,importance,0.0005517748758506,0.0020363636363636
223,improvement,0.0004598123965422,0.0001454545454545
224,improvements,0.0005517748758506,0.000290909090909
225,inclusion,0.0017472871068604,0.0001454545454545
226,inclusive,0.0002758874379253,0.0001454545454545
227,inclusivity,0.0001839249586168,0.0001454545454545
228,increase,0.0017472871068604,0.0017454545454545
229,indicator,9.196247930844216e-05,0.0008727272727272
230,indicators,0.0004598123965422,0.0001454545454545
231,indigenous,9.196247930844216e-05,0.0001454545454545
232,information,0.0016553246275519,0.009890909090909
233,infrastructure,0.0004598123965422,0.0004363636363636
234,initiation,9.196247930844216e-05,0.000290909090909
235,initiative,0.0023910244620194,0.000290909090909
236,initiatives,0.0010115872723928,0.0005818181818181
237,input,0.0002758874379253,0.0001454545454545
238,institutions,9.196247930844216e-05,0.0010181818181818
239,integrity,0.0003678499172337,0.0005818181818181
240,interest,9.196247930844216e-05,0.0005818181818181
241,intergovernmental,9.196247930844216e-05,0.0011636363636363
242,international,0.0018392495861688,0.0004363636363636
243,investments,0.0010115872723928,0.0001454545454545
244,issues,0.0021151370240941,0.0001454545454545
245,january,0.0009196247930844,0.0001454545454545
246,jobs,0.0007356998344675,0.0005818181818181
247,june,0.0001839249586168,0.0008727272727272
248,knowledge,0.0002758874379253,0.0004363636363636
249,law,0.0003678499172337,0.0001454545454545
250,leaders,0.0008276623137759,0.000290909090909
251,leadership,0.0019312120654772,0.0001454545454545
252,legislation,9.196247930844216e-05,0.0001454545454545
253,lessons,9.196247930844216e-05,0.0004363636363636
254,level,0.0016553246275519,0.0021818181818181
255,levels,0.0004598123965422,0.0011636363636363
256,leverage,9.196247930844216e-05,0.0001454545454545
257,limit,9.196247930844216e-05,0.000290909090909
258,line,0.001471399668935,0.0008727272727272
259,loss,0.0001839249586168,0.0017454545454545
260,maintain,9.196247930844216e-05,0.0004363636363636
261,majority,0.0004598123965422,0.0001454545454545
262,make,0.0002758874379253,0.0001454545454545
263,management,0.0045981239654221,0.0001454545454545
264,manner,0.0001839249586168,0.0023272727272727
265,march,0.0004598123965422,0.0004363636363636
266,marine,9.196247930844216e-05,0.0001454545454545
267,matter,0.0010115872723928,0.000290909090909
268,matters,0.0007356998344675,0.0005818181818181
269,may,9.196247930844216e-05,0.0001454545454545
270,means,9.196247930844216e-05,0.000290909090909
271,measures,0.0010115872723928,0.0024727272727272
272,mechanism,9.196247930844216e-05,0.0126545454545454
273,mechanisms,0.0002758874379253,0.000290909090909
