,keyword,Relative_Frequency.6,Relative_Frequency
0,ability,0.0008687468326938,0.0001454545454545
1,accelerate,0.0002171867081734,0.0001454545454545
2,access,0.0010859335408672,0.0010181818181818
3,accordance,0.0002171867081734,0.0068363636363636
4,account,7.239556939115326e-05,0.005090909090909
5,accountability,7.239556939115326e-05,0.0001454545454545
6,accounting,0.0007963512633026,0.001890909090909
7,accuracy,0.0002895822775646,0.000290909090909
8,achievement,7.239556939115326e-05,0.0027636363636363
9,acquisition,0.0002171867081734,0.000290909090909
10,action,0.0009411424020849,0.0059636363636363
11,actions,0.0007239556939115,0.0040727272727272
12,activities,0.0021718670817345,0.0097454545454545
13,activity,0.0005791645551292,0.0088727272727272
14,actors,7.239556939115326e-05,0.0001454545454545
15,adaptation,7.239556939115326e-05,0.009890909090909
16,addition,0.0022442626511257,0.0010181818181818
17,address,0.0003619778469557,0.0016
18,addresses,7.239556939115326e-05,0.0001454545454545
19,adjustments,0.0001447911387823,0.0059636363636363
20,administer,7.239556939115326e-05,0.0001454545454545
21,adoption,0.0002895822775646,0.0020363636363636
22,advance,0.0008687468326938,0.000290909090909
23,advancement,0.0001447911387823,0.0001454545454545
24,advice,7.239556939115326e-05,0.0021818181818181
25,agencies,0.0002171867081734,0.0001454545454545
26,aggregate,7.239556939115326e-05,0.0001454545454545
27,agreement,0.0007963512633026,0.0184727272727272
28,aims,0.0001447911387823,0.0001454545454545
29,align,0.0001447911387823,0.0001454545454545
30,ambition,7.239556939115326e-05,0.0026181818181818
31,amount,0.000506768985738,0.0010181818181818
32,annual,0.0002895822775646,0.0008727272727272
33,application,0.0002171867081734,0.001890909090909
34,applies,0.0001447911387823,0.000290909090909
35,applying,0.0001447911387823,0.0001454545454545
36,approach,0.0035473829001665,0.0048
37,approaches,0.0004343734163469,0.0074181818181818
38,appropriate,0.0001447911387823,0.0005818181818181
39,approval,0.0001447911387823,0.0021818181818181
40,april,0.0002171867081734,0.0001454545454545
41,areas,0.0028234272062549,0.0007272727272727
42,assessment,0.0009411424020849,0.0011636363636363
43,assistance,0.0002171867081734,0.0007272727272727
44,assumptions,0.0002171867081734,0.0001454545454545
45,assurance,0.0010135379714761,0.0001454545454545
46,authorization,7.239556939115326e-05,0.0023272727272727
47,authorizations,7.239556939115326e-05,0.000290909090909
48,availability,0.0002895822775646,0.0007272727272727
49,average,0.0002171867081734,0.0001454545454545
50,avoidance,0.0002171867081734,0.0005818181818181
51,avoids,7.239556939115326e-05,0.000290909090909
52,awareness,0.0003619778469557,0.0001454545454545
53,balance,7.239556939115326e-05,0.0005818181818181
54,balances,7.239556939115326e-05,0.000290909090909
55,baseline,0.0005791645551292,0.0010181818181818
56,baselines,7.239556939115326e-05,0.0011636363636363
57,basis,0.0015203069572142,0.0023272727272727
58,behalf,7.239556939115326e-05,0.0001454545454545
59,benchmark,0.0001447911387823,0.0001454545454545
60,benefit,7.239556939115326e-05,0.0001454545454545
61,benefits,0.0002895822775646,0.000290909090909
62,biodiversity,0.0022442626511257,0.000290909090909
63,board,0.0041989430246868,0.0001454545454545
64,bodies,7.239556939115326e-05,0.0008727272727272
65,body,0.0001447911387823,0.0144
66,budget,7.239556939115326e-05,0.0005818181818181
67,budgets,7.239556939115326e-05,0.0001454545454545
68,building,0.0006515601245203,0.0001454545454545
69,business,0.0081806993412003,0.0004363636363636
70,businesses,0.0013031202490407,0.000290909090909
71,calculate,7.239556939115326e-05,0.0001454545454545
72,calculation,0.0005791645551292,0.000290909090909
73,calendar,0.0001447911387823,0.0004363636363636
74,capabilities,0.0016650980959965,0.000290909090909
75,capacity,0.0007963512633026,0.0007272727272727
76,carbon,0.0110041265474552,0.0008727272727272
77,case,0.0003619778469557,0.0004363636363636
78,categories,7.239556939115326e-05,0.000290909090909
79,centre,0.0002171867081734,0.0001454545454545
80,certification,0.0002171867081734,0.0007272727272727
81,certified,7.239556939115326e-05,0.0001454545454545
82,chair,0.0004343734163469,0.0005818181818181
83,challenges,0.0005791645551292,0.0001454545454545
84,change,0.0029682183450372,0.008290909090909
85,change,7.239556939115326e-05,0.008290909090909
86,changes,0.0004343734163469,0.0001454545454545
87,children,0.0002895822775646,0.0014545454545454
88,choices,7.239556939115326e-05,0.0001454545454545
89,clarifies,7.239556939115326e-05,0.0001454545454545
90,clarity,7.239556939115326e-05,0.0001454545454545
91,clean,0.0002171867081734,0.0004363636363636
92,climate,0.0039817563165134,0.0096
93,collaboration,0.0007239556939115,0.0008727272727272
94,commit,0.0001447911387823,0.0001454545454545
95,commitments,0.0002171867081734,0.000290909090909
96,committee,0.0024614493592992,0.0017454545454545
