,keyword,Relative_Frequency.13,Relative_Frequency
0,ability,0.0006720430107526,0.0003746019853905
1,access,0.0013440860215053,0.0016857089342573
2,accordance,0.001008064516129,0.005057126802772
3,accounting,0.0003360215053763,0.000749203970781
4,accuracy,0.0006720430107526,0.0003746019853905
5,achieve,0.0006720430107526,0.0001873009926952
6,action,0.0003360215053763,0.0080539426858962
7,actions,0.0013440860215053,0.0097396516201535
8,activities,0.0050403225806451,0.0029968158831241
9,activity,0.0003360215053763,0.0001873009926952
10,addition,0.001008064516129,0.0005619029780857
11,advice,0.0006720430107526,0.0029968158831241
12,africa,0.0006720430107526,0.0001873009926952
13,agencies,0.0003360215053763,0.0005619029780857
14,aim,0.0003360215053763,0.000749203970781
15,amount,0.0003360215053763,0.0001873009926952
16,application,0.0006720430107526,0.0003746019853905
17,approach,0.002016129032258,0.0001873009926952
18,april,0.0003360215053763,0.0011238059561715
19,area,0.001008064516129,0.0003746019853905
20,areas,0.0023521505376344,0.0005619029780857
21,aspects,0.001008064516129,0.0001873009926952
22,assessment,0.0026881720430107,0.001498407941562
23,assessments,0.001008064516129,0.0009365049634763
24,attention,0.0003360215053763,0.0003746019853905
25,authority,0.001008064516129,0.0003746019853905
26,awareness,0.001008064516129,0.0009365049634763
27,barriers,0.0006720430107526,0.0001873009926952
28,basis,0.0003360215053763,0.0029968158831241
29,behalf,0.0006720430107526,0.0001873009926952
30,biodiversity,0.0016801075268817,0.0001873009926952
31,body,0.0003360215053763,0.0058063307735531
32,build,0.0003360215053763,0.0001873009926952
33,building,0.0013440860215053,0.0005619029780857
34,capabilities,0.001008064516129,0.0011238059561715
35,capacity,0.0013440860215053,0.0022476119123431
36,carbon,0.0013440860215053,0.0003746019853905
37,case,0.0003360215053763,0.0001873009926952
38,certification,0.001008064516129,0.0001873009926952
39,change,0.0006720430107526,0.0097396516201535
40,children,0.0003360215053763,0.0003746019853905
41,climate,0.001008064516129,0.0116126615471062
42,commitment,0.0023521505376344,0.0001873009926952
43,communications,0.0003360215053763,0.0009365049634763
44,communities,0.0073924731182795,0.0011238059561715
45,competence,0.0003360215053763,0.000749203970781
46,compliance,0.0003360215053763,0.0003746019853905
47,comprehensive,0.0006720430107526,0.0003746019853905
48,concern,0.0003360215053763,0.000749203970781
49,concerns,0.0003360215053763,0.0001873009926952
50,conditions,0.0006720430107526,0.0001873009926952
51,conduct,0.002016129032258,0.0005619029780857
52,conference,0.0003360215053763,0.0224761191234313
53,consistency,0.001008064516129,0.0009365049634763
54,consumption,0.0003360215053763,0.0001873009926952
55,continuation,0.0003360215053763,0.0003746019853905
56,contributions,0.0003360215053763,0.0082412436785914
57,costs,0.0006720430107526,0.0003746019853905
58,countries,0.0023521505376344,0.004307922831991
59,country,0.0006720430107526,0.0131110694886682
60,cover,0.0006720430107526,0.0001873009926952
61,creation,0.0006720430107526,0.0001873009926952
62,cycle,0.0013440860215053,0.0003746019853905
63,damage,0.0003360215053763,0.0013111069488668
64,date,0.002016129032258,0.0020603109196478
65,day,0.0003360215053763,0.0011238059561715
66,december,0.0003360215053763,0.0003746019853905
67,decision,0.0006720430107526,0.0059936317662483
68,decisions,0.0003360215053763,0.0031841168758194
69,delivery,0.0003360215053763,0.0003746019853905
70,demonstration,0.0003360215053763,0.0001873009926952
71,deployment,0.0003360215053763,0.0003746019853905
72,design,0.0006720430107526,0.0001873009926952
73,development,0.0057123655913978,0.008615845663982
74,document,0.0006720430107526,0.0001873009926952
75,earth,0.0003360215053763,0.0001873009926952
