,keyword,Relative_Frequency.16,Relative_Frequency
0,ability,5.310815475716296e-05,0.0001454545454545
1,absence,0.0001327703868929,0.0001454545454545
2,accelerate,5.310815475716296e-05,0.0001454545454545
3,access,0.0010621630951432,0.0010181818181818
4,accordance,0.001009054940386,0.0068363636363636
5,account,0.0001327703868929,0.005090909090909
6,accountability,7.966223213574445e-05,0.0001454545454545
7,accounting,0.0001062163095143,0.001890909090909
8,accounts,0.0001593244642714,0.0001454545454545
9,accreditation,2.655407737858148e-05,0.000290909090909
10,accuracy,2.655407737858148e-05,0.000290909090909
11,achievement,5.310815475716296e-05,0.0027636363636363
12,acquisition,0.0007435141666002,0.000290909090909
13,action,0.0010887171725218,0.0059636363636363
14,actions,0.0022039884224222,0.0040727272727272
15,activities,0.003425475981837,0.0097454545454545
16,activity,0.0009825008630075,0.0088727272727272
17,actor,2.655407737858148e-05,0.0001454545454545
18,actors,7.966223213574445e-05,0.0001454545454545
19,adaptation,0.0001062163095143,0.009890909090909
20,addition,0.0009559467856289,0.0010181818181818
21,additions,5.310815475716296e-05,0.0001454545454545
22,address,0.0003452030059215,0.0016
23,addresses,2.655407737858148e-05,0.0001454545454545
24,adjustment,0.0001327703868929,0.0007272727272727
25,adjustments,5.310815475716296e-05,0.0059636363636363
26,administrator,2.655407737858148e-05,0.0010181818181818
27,adoption,0.0001593244642714,0.0020363636363636
28,adopts,5.310815475716296e-05,0.0004363636363636
29,advance,0.00018587854165,0.000290909090909
30,advancement,7.966223213574445e-05,0.0001454545454545
31,advice,0.0001062163095143,0.0021818181818181
32,agencies,5.310815475716296e-05,0.0001454545454545
33,aggregation,2.655407737858148e-05,0.0001454545454545
34,agreement,0.0007700682439788,0.0184727272727272
35,align,2.655407737858148e-05,0.0001454545454545
36,ambition,5.310815475716296e-05,0.0026181818181818
37,amount,0.0008497304761146,0.0010181818181818
38,annex,0.0002389866964072,0.0069818181818181
39,annual,0.0001062163095143,0.0008727272727272
40,application,0.0003983111606787,0.001890909090909
41,applies,7.966223213574445e-05,0.000290909090909
