,keyword,Relative_Frequency.17,Relative_Frequency
0,ability,0.0002292526364053,0.0002298850574712
1,acceptance,0.0001146263182026,0.0002298850574712
2,access,0.0013755158184319,0.0018390804597701
3,accordance,0.0005731315910132,0.0082758620689655
4,account,0.0003438789546079,0.0032183908045977
5,act,0.0001146263182026,0.0004597701149425
6,action,0.0005731315910132,0.0034482758620689
7,actions,0.0011462631820265,0.0059770114942528
8,activities,0.0071068317285648,0.0032183908045977
9,activity,0.0016047684548372,0.0006896551724137
10,actors,0.0001146263182026,0.0004597701149425
11,adaptation,0.0001146263182026,0.0328735632183908
12,address,0.0009170105456212,0.0006896551724137
13,adequacy,0.0001146263182026,0.000919540229885
14,agreement,0.0013755158184319,0.0411494252873563
15,ambition,0.0012608895002292,0.0002298850574712
16,amount,0.0001146263182026,0.0002298850574712
17,analysis,0.0014901421366345,0.0002298850574712
18,approach,0.0028656579550664,0.0016091954022988
19,april,0.0002292526364053,0.0006896551724137
20,areas,0.0028656579550664,0.0006896551724137
21,arrangements,0.0006877579092159,0.0016091954022988
22,aspects,0.0002292526364053,0.0002298850574712
23,assessment,0.0004585052728106,0.0004597701149425
24,assumptions,0.0010316368638239,0.0022988505747126
25,availability,0.0001146263182026,0.0016091954022988
26,avoid,0.0001146263182026,0.0004597701149425
27,avoidance,0.0001146263182026,0.0004597701149425
28,awareness,0.0004585052728106,0.0004597701149425
29,barriers,0.0002292526364053,0.0004597701149425
30,baseline,0.0001146263182026,0.0002298850574712
31,basis,0.0021779000458505,0.0027586206896551
32,bodies,0.0001146263182026,0.0050574712643678
33,building,0.0008023842274186,0.0002298850574712
34,capabilities,0.0005731315910132,0.0002298850574712
35,capacities,0.0001146263182026,0.0006896551724137
36,capacity,0.0011462631820265,0.0020689655172413
37,case,0.0001146263182026,0.0006896551724137
38,categories,0.0001146263182026,0.0016091954022988
39,centre,0.0003438789546079,0.0004597701149425
40,challenges,0.0006877579092159,0.0004597701149425
41,change,0.0030949105914718,0.0041379310344827
42,changes,0.0012608895002292,0.000919540229885
43,channels,0.0006877579092159,0.0004597701149425
44,chapter,0.0020632737276478,0.0002298850574712
45,check,0.0001146263182026,0.0002298850574712
46,choice,0.0001146263182026,0.0002298850574712
47,circumstances,0.0002292526364053,0.0029885057471264
