,keyword,Relative_Frequency.4,Relative_Frequency
0,ability,0.000584248656228,0.0001454545454545
1,access,0.0018695956999298,0.0010181818181818
2,accordance,0.0002336994624912,0.0068363636363636
3,account,0.0001168497312456,0.005090909090909
4,accountability,0.0002336994624912,0.0001454545454545
5,accounting,0.0002336994624912,0.001890909090909
6,accounts,0.0001168497312456,0.0001454545454545
7,acquisition,0.0002336994624912,0.000290909090909
8,action,0.0007010983874737,0.0059636363636363
9,actions,0.0012853470437017,0.0040727272727272
10,activities,0.003038093012386,0.0097454545454545
11,activity,0.0001168497312456,0.0088727272727272
12,adaptation,0.0001168497312456,0.009890909090909
13,addition,0.0011684973124561,0.0010181818181818
14,address,0.000584248656228,0.0016
15,adoption,0.0001168497312456,0.0020363636363636
16,advance,0.0003505491937368,0.000290909090909
17,agencies,0.0003505491937368,0.0001454545454545
18,agreement,0.0001168497312456,0.0184727272727272
19,aims,0.0002336994624912,0.0001454545454545
20,ambition,0.0002336994624912,0.0026181818181818
21,annual,0.000584248656228,0.0008727272727272
22,application,0.000584248656228,0.001890909090909
23,applies,0.0001168497312456,0.000290909090909
24,apply,0.0001168497312456,0.0001454545454545
25,approach,0.0075952325309651,0.0048
26,approaches,0.000584248656228,0.0074181818181818
27,appropriate,0.000584248656228,0.0005818181818181
28,areas,0.0043234400560878,0.0007272727272727
29,assessment,0.0016358962374386,0.0011636363636363
30,assumptions,0.000584248656228,0.0001454545454545
31,availability,0.0010516475812105,0.0007272727272727
32,average,0.0002336994624912,0.0001454545454545
33,avoidance,0.000584248656228,0.0005818181818181
34,awareness,0.000584248656228,0.0001454545454545
35,basis,0.0008179481187193,0.0023272727272727
36,behalf,0.0001168497312456,0.0001454545454545
37,benchmark,0.0001168497312456,0.0001454545454545
38,benefit,0.0004673989249824,0.0001454545454545
39,benefits,0.001519046506193,0.000290909090909
40,biodiversity,0.0014021967749474,0.000290909090909
41,board,0.0051413881748071,0.0001454545454545
42,bodies,0.0001168497312456,0.0008727272727272
43,budget,0.0002336994624912,0.0005818181818181
44,building,0.0009347978499649,0.0001454545454545
45,business,0.011918672587053,0.0004363636363636
46,businesses,0.0037391913998597,0.000290909090909
47,capabilities,0.0003505491937368,0.000290909090909
48,capacity,0.000584248656228,0.0007272727272727
49,carbon,0.000584248656228,0.0008727272727272
50,case,0.0001168497312456,0.0004363636363636
51,centre,0.0001168497312456,0.0001454545454545
52,certification,0.0001168497312456,0.0007272727272727
53,challenges,0.000584248656228,0.0001454545454545
54,change,0.0009347978499649,0.008290909090909
55,changes,0.0017527459686842,0.0001454545454545
56,children,0.0003505491937368,0.0014545454545454
57,circumstances,0.0002336994624912,0.001890909090909
58,clarity,0.0001168497312456,0.0001454545454545
59,climate,0.0021032951624211,0.0096
60,collaboration,0.000584248656228,0.0008727272727272
61,commitments,0.0003505491937368,0.000290909090909
62,committee,0.003038093012386,0.0017454545454545
63,communicate,0.0001168497312456,0.000290909090909
64,communications,0.0004673989249824,0.0005818181818181
65,communities,0.0074783827997195,0.0024727272727272
66,community,0.0053750876372984,0.0001454545454545
67,compliance,0.0017527459686842,0.0001454545454545
68,composition,0.0003505491937368,0.000290909090909
69,concept,0.0001168497312456,0.0001454545454545
70,concerns,0.0012853470437017,0.000290909090909
71,conditions,0.0007010983874737,0.0004363636363636
72,confidentiality,0.0003505491937368,0.0004363636363636
73,conflicts,0.0001168497312456,0.0001454545454545
