,keyword,Relative_Frequency.45,Relative_Frequency
0,ability,0.0001343002954606,0.0002298850574712
1,acceptance,0.0001343002954606,0.0002298850574712
2,access,0.0004700510341122,0.0018390804597701
3,accordance,6.715014773032501e-05,0.0082758620689655
4,account,6.715014773032501e-05,0.0032183908045977
5,achievement,0.0002686005909213,0.0002298850574712
6,act,0.0008058017727639,0.0004597701149425
7,action,0.0007386516250335,0.0034482758620689
8,actions,0.0008729519204942,0.0059770114942528
9,activities,0.0016787536932581,0.0032183908045977
10,activity,0.0002014504431909,0.0006896551724137
11,acts,6.715014773032501e-05,0.0002298850574712
12,adaptation,0.0004029008863819,0.0328735632183908
13,address,0.0002014504431909,0.0006896551724137
14,adoption,0.0002014504431909,0.0013793103448275
15,advance,0.0001343002954606,0.0002298850574712
16,agencies,0.0002014504431909,0.000919540229885
17,agreement,0.0002014504431909,0.0411494252873563
18,agriculture,0.0002014504431909,0.0004597701149425
19,amount,0.0001343002954606,0.0002298850574712
20,analysis,0.0004029008863819,0.0002298850574712
21,application,0.0009401020682245,0.000919540229885
22,appreciation,6.715014773032501e-05,0.000919540229885
23,approach,0.0008729519204942,0.0016091954022988
24,approval,0.0003357507386516,0.0002298850574712
25,april,0.0003357507386516,0.0006896551724137
26,areas,0.0020145044319097,0.0006896551724137
27,articles,6.715014773032501e-05,0.0011494252873563
28,aspects,0.0004700510341122,0.0002298850574712
29,aspirations,0.0002014504431909,0.0002298850574712
30,assessment,0.0004029008863819,0.0004597701149425
31,availability,0.0001343002954606,0.0016091954022988
32,avoid,6.715014773032501e-05,0.0004597701149425
33,awareness,0.0008729519204942,0.0004597701149425
34,balance,0.0004029008863819,0.0011494252873563
35,basis,0.0016116035455278,0.0027586206896551
36,beneficiaries,0.0001343002954606,0.0002298850574712
37,bodies,0.0004029008863819,0.0050574712643678
38,body,6.715014773032501e-05,0.0027586206896551
39,building,0.0003357507386516,0.0002298850574712
40,capabilities,0.0002686005909213,0.0002298850574712
41,capacities,0.0002014504431909,0.0006896551724137
42,capacity,0.0021488047273704,0.0020689655172413
43,carry,6.715014773032501e-05,0.0002298850574712
44,case,0.0001343002954606,0.0006896551724137
45,categories,0.0003357507386516,0.0016091954022988
46,centre,0.0010072522159548,0.0004597701149425
47,chairs,6.715014773032501e-05,0.0004597701149425
48,challenges,0.0004700510341122,0.0004597701149425
49,change,0.0011415525114155,0.0041379310344827
50,changes,0.0003357507386516,0.000919540229885
51,channels,0.0005372011818426,0.0004597701149425
52,check,0.0003357507386516,0.0002298850574712
53,choice,6.715014773032501e-05,0.0002298850574712
54,climate,0.0008058017727639,0.0071264367816091
55,collaboration,6.715014773032501e-05,0.0018390804597701
56,committee,0.0034918076819769,0.008735632183908
57,communication,0.0004700510341122,0.0082758620689655
58,communications,0.0003357507386516,0.0073563218390804
59,communities,0.0008058017727639,0.0002298850574712
60,comparison,6.715014773032501e-05,0.0002298850574712
61,compliance,0.0008729519204942,0.0002298850574712
62,component,6.715014773032501e-05,0.0016091954022988
63,concern,0.0002014504431909,0.0002298850574712
64,concerns,0.0007386516250335,0.0002298850574712
65,conference,6.715014773032501e-05,0.012183908045977
66,connections,0.0003357507386516,0.0004597701149425
67,consequences,0.0002014504431909,0.0002298850574712
68,consideration,0.0001343002954606,0.0055172413793103
69,considerations,6.715014773032501e-05,0.0004597701149425
70,construction,0.0002686005909213,0.0002298850574712
71,consultation,0.0002686005909213,0.0002298850574712
72,contact,0.0002014504431909,0.0002298850574712
73,content,0.0002014504431909,0.000919540229885
74,contents,6.715014773032501e-05,0.0002298850574712
75,context,6.715014773032501e-05,0.0004597701149425
76,contribution,0.0003357507386516,0.0073563218390804
77,contributions,6.715014773032501e-05,0.0114942528735632
78,convention,0.0002014504431909,0.0036781609195402
79,conventions,6.715014773032501e-05,0.0002298850574712
80,countries,0.0002686005909213,0.0064367816091954
81,country,0.0015444533977974,0.0094252873563218
82,coverage,6.715014773032501e-05,0.0006896551724137
83,creation,0.0002014504431909,0.0002298850574712
84,data,0.0012087026591458,0.0011494252873563
85,date,6.715014773032501e-05,0.0006896551724137
86,days,0.0006715014773032,0.0004597701149425
87,december,6.715014773032501e-05,0.0036781609195402
88,decision,6.715014773032501e-05,0.0236781609195402
89,decisions,0.0002686005909213,0.0025287356321839
90,deliberations,6.715014773032501e-05,0.0004597701149425
91,deposit,6.715014773032501e-05,0.0002298850574712
92,development,0.0038275584206285,0.0034482758620689
93,dialogue,0.0002686005909213,0.0002298850574712
94,disaster,0.0004700510341122,0.0002298850574712
95,dissemination,0.0001343002954606,0.0002298850574712
96,diversification,6.715014773032501e-05,0.0018390804597701
97,document,6.715014773032501e-05,0.0011494252873563
98,documents,0.0002014504431909,0.0018390804597701
99,economic,0.0053048616706956,0.0002298850574712
100,economy,0.0001343002954606,0.0002298850574712
101,education,0.0003357507386516,0.0002298850574712
102,effects,6.715014773032501e-05,0.0011494252873563
103,efficiency,0.0014773032500671,0.0002298850574712
104,effort,0.0002014504431909,0.0004597701149425
105,efforts,0.0006715014773032,0.0039080459770114
106,elements,6.715014773032501e-05,0.0013793103448275
107,emission,0.0008729519204942,0.0006896551724137
108,emissions,0.0032232070910556,0.0059770114942528
109,encourages,6.715014773032501e-05,0.0011494252873563
110,end,0.0003357507386516,0.0002298850574712
111,energy,0.0077894171367177,0.0004597701149425
112,enhance,0.0002686005909213,0.0013793103448275
113,entities,6.715014773032501e-05,0.0025287356321839
114,environment,0.0028203062046736,0.0006896551724137
115,equity,6.715014773032501e-05,0.0004597701149425
116,evaluation,0.0002686005909213,0.0002298850574712
117,event,0.0006043513295729,0.0004597701149425
118,events,0.0008058017727639,0.0004597701149425
119,example,0.0001343002954606,0.0004597701149425
120,exchange,6.715014773032501e-05,0.0006896551724137
121,executive,0.0002686005909213,0.0004597701149425
122,experience,0.0002014504431909,0.000919540229885
123,experiences,6.715014773032501e-05,0.0002298850574712
124,expert,6.715014773032501e-05,0.0027586206896551
125,experts,0.0001343002954606,0.0013793103448275
126,facilitate,0.0002686005909213,0.0016091954022988
127,facility,0.0005372011818426,0.0006896551724137
128,factors,6.715014773032501e-05,0.0002298850574712
129,fairness,6.715014773032501e-05,0.0002298850574712
130,features,0.0004029008863819,0.0006896551724137
131,february,6.715014773032501e-05,0.0004597701149425
132,fields,6.715014773032501e-05,0.0002298850574712
133,file,0.0003357507386516,0.0002298850574712
134,finance,0.0002014504431909,0.004367816091954
135,financial,0.0008058017727639,0.0018390804597701
136,forests,6.715014773032501e-05,0.0004597701149425
