,keyword,Relative_Frequency.46,Relative_Frequency
0,access,0.0008177283506419,0.0018390804597701
1,accessibility,0.0001635456701283,0.0002298850574712
2,accordance,0.0001635456701283,0.0082758620689655
3,account,8.177283506419168e-05,0.0032183908045977
4,accounting,8.177283506419168e-05,0.0022988505747126
5,achievement,0.0001635456701283,0.0002298850574712
6,act,0.0002453185051925,0.0004597701149425
7,action,0.0004906370103851,0.0034482758620689
8,actions,0.0003270913402567,0.0059770114942528
9,activities,0.0009812740207703,0.0032183908045977
10,activity,8.177283506419168e-05,0.0006896551724137
11,acts,0.0001635456701283,0.0002298850574712
12,adaptation,0.0001635456701283,0.0328735632183908
13,address,0.0004088641753209,0.0006896551724137
14,adoption,8.177283506419168e-05,0.0013793103448275
15,agencies,0.0002453185051925,0.000919540229885
16,agreement,0.0002453185051925,0.0411494252873563
17,agriculture,8.177283506419168e-05,0.0004597701149425
18,analysis,0.0004088641753209,0.0002298850574712
19,application,0.0001635456701283,0.000919540229885
20,approach,0.0003270913402567,0.0016091954022988
21,april,0.0004906370103851,0.0006896551724137
22,areas,0.0021260937116689,0.0006896551724137
23,arrangements,8.177283506419168e-05,0.0016091954022988
24,aspects,0.0002453185051925,0.0002298850574712
25,aspirations,8.177283506419168e-05,0.0002298850574712
26,assessment,0.0002453185051925,0.0004597701149425
27,availability,0.0001635456701283,0.0016091954022988
28,awareness,0.0011448196908986,0.0004597701149425
29,balance,8.177283506419168e-05,0.0011494252873563
30,basis,0.0007359555155777,0.0027586206896551
31,beneficiaries,8.177283506419168e-05,0.0002298850574712
32,bodies,0.0003270913402567,0.0050574712643678
33,body,0.0001635456701283,0.0027586206896551
34,building,0.0004088641753209,0.0002298850574712
35,capabilities,8.177283506419168e-05,0.0002298850574712
36,capability,0.0001635456701283,0.0004597701149425
37,capacity,0.0016354567012838,0.0020689655172413
38,carry,8.177283506419168e-05,0.0002298850574712
39,case,0.0004088641753209,0.0006896551724137
40,categories,0.0001635456701283,0.0016091954022988
41,centre,0.0004906370103851,0.0004597701149425
42,chairs,8.177283506419168e-05,0.0004597701149425
43,challenges,0.0004088641753209,0.0004597701149425
44,change,0.0007359555155777,0.0041379310344827
45,changes,0.0001635456701283,0.000919540229885
46,channels,0.0002453185051925,0.0004597701149425
47,check,0.0001635456701283,0.0002298850574712
48,choice,0.0001635456701283,0.0002298850574712
49,climate,0.0011448196908986,0.0071264367816091
50,collaboration,8.177283506419168e-05,0.0018390804597701
51,committee,0.0007359555155777,0.008735632183908
52,communicate,8.177283506419168e-05,0.0002298850574712
53,communication,0.0003270913402567,0.0082758620689655
54,communications,0.0001635456701283,0.0073563218390804
