,keyword,Relative_Frequency.34,Relative_Frequency
0,ability,0.0004420866489832,0.0002298850574712
1,academia,0.0001473622163277,0.0002298850574712
2,accordance,0.0002947244326554,0.0082758620689655
3,account,0.0002947244326554,0.0032183908045977
4,act,0.0001473622163277,0.0004597701149425
5,action,0.0014736221632773,0.0034482758620689
6,actions,0.0025051576775714,0.0059770114942528
7,activities,0.0035366931918656,0.0032183908045977
8,activity,0.0005894488653109,0.0006896551724137
9,acts,0.0004420866489832,0.0002298850574712
10,advance,0.0002947244326554,0.0002298850574712
11,advice,0.0001473622163277,0.0011494252873563
12,agencies,0.0002947244326554,0.000919540229885
13,agreement,0.0001473622163277,0.0411494252873563
14,agriculture,0.0001473622163277,0.0004597701149425
15,amount,0.0008841732979664,0.0002298850574712
16,analysis,0.0005894488653109,0.0002298850574712
17,any,0.0001473622163277,0.0002298850574712
18,application,0.0014736221632773,0.000919540229885
19,approach,0.0048629531388152,0.0016091954022988
20,approval,0.0001473622163277,0.0002298850574712
21,april,0.0002947244326554,0.0006896551724137
22,areas,0.0004420866489832,0.0006896551724137
23,aspects,0.0004420866489832,0.0002298850574712
24,assessment,0.0017683465959328,0.0004597701149425
25,assistance,0.0010315355142941,0.0013793103448275
26,attendance,0.0002947244326554,0.0002298850574712
27,availability,0.0007368110816386,0.0016091954022988
28,awareness,0.0019157088122605,0.0004597701149425
29,balance,0.0001473622163277,0.0011494252873563
30,basis,0.0001473622163277,0.0027586206896551
31,bodies,0.001620984379605,0.0050574712643678
32,body,0.0002947244326554,0.0027586206896551
33,building,0.0001473622163277,0.0002298850574712
34,capabilities,0.0001473622163277,0.0002298850574712
35,capacity,0.002210433244916,0.0020689655172413
36,carry,0.0001473622163277,0.0002298850574712
37,case,0.0013262599469496,0.0006896551724137
38,categories,0.0002947244326554,0.0016091954022988
39,centre,0.0002947244326554,0.0004597701149425
40,challenges,0.0004420866489832,0.0004597701149425
41,change,0.0008841732979664,0.0041379310344827
42,changes,0.0008841732979664,0.000919540229885
43,channels,0.0002947244326554,0.0004597701149425
44,check,0.0001473622163277,0.0002298850574712
45,circumstances,0.0001473622163277,0.0029885057471264
46,clarifications,0.0001473622163277,0.0002298850574712
47,climate,0.0002947244326554,0.0071264367816091
48,committee,0.0007368110816386,0.008735632183908
49,communicate,0.0002947244326554,0.0002298850574712
50,communication,0.0023577954612437,0.0082758620689655
51,communications,0.0027998821102269,0.0073563218390804
52,communities,0.0001473622163277,0.0002298850574712
53,compilation,0.0001473622163277,0.0002298850574712
54,compliance,0.0011788977306218,0.0002298850574712
55,components,0.0011788977306218,0.000919540229885
56,concern,0.0001473622163277,0.0002298850574712
57,concerns,0.0002947244326554,0.0002298850574712
58,consequences,0.0001473622163277,0.0002298850574712
59,consideration,0.0001473622163277,0.0055172413793103
60,consistency,0.0001473622163277,0.0013793103448275
61,constraints,0.0001473622163277,0.0004597701149425
62,construction,0.0011788977306218,0.0002298850574712
63,consultation,0.0002947244326554,0.0002298850574712
64,contact,0.0001473622163277,0.0002298850574712
65,content,0.0013262599469496,0.000919540229885
66,contents,0.0001473622163277,0.0002298850574712
67,continue,0.0002947244326554,0.0002298850574712
68,contribute,0.0001473622163277,0.0002298850574712
69,contribution,0.0002947244326554,0.0073563218390804
70,countries,0.0001473622163277,0.0064367816091954
71,country,0.0002947244326554,0.0094252873563218
72,coverage,0.0001473622163277,0.0006896551724137
73,criteria,0.0002947244326554,0.0002298850574712
74,data,0.002210433244916,0.0011494252873563
75,date,0.0007368110816386,0.0006896551724137
76,days,0.0004420866489832,0.0004597701149425
77,december,0.0002947244326554,0.0036781609195402
78,description,0.0005894488653109,0.0004597701149425
79,determines,0.0002947244326554,0.0002298850574712
80,developed,0.0002947244326554,0.0036781609195402
81,development,0.0020630710285882,0.0034482758620689
82,differences,0.0001473622163277,0.0002298850574712
83,document,0.0004420866489832,0.0011494252873563
84,documents,0.0002947244326554,0.0018390804597701
85,economic,0.0011788977306218,0.0002298850574712
86,economy,0.0007368110816386,0.0002298850574712
87,education,0.0007368110816386,0.0002298850574712
88,effectiveness,0.0001473622163277,0.0013793103448275
89,effects,0.0002947244326554,0.0011494252873563
90,efficiency,0.0014736221632773,0.0002298850574712
91,efforts,0.0007368110816386,0.0039080459770114
92,element,0.0004420866489832,0.0002298850574712
93,emissions,0.0047155909224874,0.0059770114942528
94,end,0.0004420866489832,0.0002298850574712
95,energy,0.0051576775714706,0.0004597701149425
96,enhance,0.0005894488653109,0.0013793103448275
97,entities,0.0001473622163277,0.0025287356321839
98,environment,0.0035366931918656,0.0006896551724137
99,evaluation,0.0019157088122605,0.0002298850574712
100,event,0.0007368110816386,0.0004597701149425
101,events,0.0004420866489832,0.0004597701149425
102,example,0.0001473622163277,0.0004597701149425
103,examples,0.0001473622163277,0.0004597701149425
104,exchange,0.0002947244326554,0.0006896551724137
105,executive,0.0002947244326554,0.0004597701149425
106,experience,0.0004420866489832,0.000919540229885
107,explanation,0.0014736221632773,0.0004597701149425
108,facilitate,0.0004420866489832,0.0016091954022988
109,facility,0.0008841732979664,0.0006896551724137
110,factors,0.0007368110816386,0.0002298850574712
111,february,0.0001473622163277,0.0004597701149425
112,fields,0.0002947244326554,0.0002298850574712
113,finance,0.0007368110816386,0.004367816091954
114,financial,0.0004420866489832,0.0018390804597701
115,fisheries,0.0001473622163277,0.0002298850574712
116,following,0.0002947244326554,0.0002298850574712
117,framework,0.0002947244326554,0.0013793103448275
118,frameworks,0.0001473622163277,0.0013793103448275
119,functions,0.0004420866489832,0.0020689655172413
120,gaps,0.0001473622163277,0.0004597701149425
121,gas,0.0063365753020925,0.0022988505747126
122,gases,0.0002947244326554,0.0002298850574712
123,general,0.0013262599469496,0.0002298850574712
124,global,0.0002947244326554,0.000919540229885
125,goal,0.0001473622163277,0.0006896551724137
126,goals,0.0001473622163277,0.000919540229885
127,green,0.0001473622163277,0.0004597701149425
128,greenhouse,0.0008841732979664,0.0022988505747126
129,group,0.0013262599469496,0.0036781609195402
130,groups,0.0004420866489832,0.000919540229885
131,growth,0.0007368110816386,0.0002298850574712
132,guidance,0.0001473622163277,0.008735632183908
133,guide,0.0001473622163277,0.0004597701149425
134,guidelines,0.0008841732979664,0.0016091954022988
135,has,0.0001473622163277,0.0004597701149425
136,help,0.0002947244326554,0.0002298850574712
137,ideas,0.0002947244326554,0.0002298850574712
138,identification,0.0013262599469496,0.0006896551724137
139,impact,0.0004420866489832,0.0016091954022988
140,impacts,0.0010315355142941,0.0032183908045977
