,keyword,Relative_Frequency.29,Relative_Frequency
0,ability,0.0001104057410985,0.0002298850574712
1,access,0.0007728401876897,0.0018390804597701
2,accordance,0.0004968258349434,0.0082758620689655
3,account,0.0002760143527463,0.0032183908045977
4,accounting,0.0001656086116478,0.0022988505747126
5,accuracy,5.520287054926856e-05,0.0004597701149425
6,achievement,0.0001104057410985,0.0002298850574712
7,act,0.0012144631520839,0.0004597701149425
8,action,0.0007728401876897,0.0034482758620689
9,actions,0.005354678443279,0.0059770114942528
10,activities,0.0040850124206458,0.0032183908045977
11,activity,0.0012144631520839,0.0006896551724137
12,actors,5.520287054926856e-05,0.0004597701149425
13,acts,0.000220811482197,0.0002298850574712
14,adaptation,0.0002760143527463,0.0328735632183908
15,address,0.000220811482197,0.0006896551724137
16,adequacy,0.0001656086116478,0.000919540229885
17,adoption,0.0001104057410985,0.0013793103448275
18,advance,5.520287054926856e-05,0.0002298850574712
19,advice,0.0002760143527463,0.0011494252873563
20,agencies,0.0003864200938448,0.000919540229885
21,agreement,0.0009384487993375,0.0411494252873563
22,amount,0.0007176373171404,0.0002298850574712
23,analysis,0.0011592602815346,0.0002298850574712
24,application,0.0006072315760419,0.000919540229885
25,appointments,5.520287054926856e-05,0.0004597701149425
26,appreciation,0.0001104057410985,0.000919540229885
27,approach,0.0017112889870273,0.0016091954022988
28,approval,0.0004968258349434,0.0002298850574712
29,april,0.0004968258349434,0.0006896551724137
30,areas,0.003919403808998,0.0006896551724137
31,article,5.520287054926856e-05,0.0266666666666666
32,articles,0.0002760143527463,0.0011494252873563
33,aspects,0.0009384487993375,0.0002298850574712
34,assessment,0.0007728401876897,0.0004597701149425
35,assistance,0.000220811482197,0.0013793103448275
36,assumptions,5.520287054926856e-05,0.0022988505747126
37,availability,0.0001656086116478,0.0016091954022988
38,avoid,5.520287054926856e-05,0.0004597701149425
39,awareness,0.0001656086116478,0.0004597701149425
40,balance,0.0001656086116478,0.0011494252873563
41,barriers,5.520287054926856e-05,0.0004597701149425
42,basis,0.0009936516698868,0.0027586206896551
43,beginning,0.0001104057410985,0.0002298850574712
44,bodies,0.0004416229643941,0.0050574712643678
45,body,0.0022081148219707,0.0027586206896551
46,capability,0.0001656086116478,0.0004597701149425
47,capacity,0.0007176373171404,0.0020689655172413
48,carry,5.520287054926856e-05,0.0002298850574712
49,case,0.0007728401876897,0.0006896551724137
50,categories,0.0003864200938448,0.0016091954022988
51,challenges,0.0061275186309688,0.0004597701149425
52,change,0.0009384487993375,0.0041379310344827
53,changes,0.0013248688931824,0.000919540229885
54,channels,0.0005520287054926,0.0004597701149425
55,chapter,0.0026497377863648,0.0002298850574712
56,check,0.0001104057410985,0.0002298850574712
57,chosen,5.520287054926856e-05,0.0002298850574712
58,circumstances,5.520287054926856e-05,0.0029885057471264
59,clarifications,5.520287054926856e-05,0.0002298850574712
60,clarity,5.520287054926856e-05,0.0020689655172413
61,climate,0.0009936516698868,0.0071264367816091
62,committee,0.0029809550096605,0.008735632183908
63,communicate,5.520287054926856e-05,0.0002298850574712
64,communication,0.0012696660226331,0.0082758620689655
65,communications,0.0001656086116478,0.0073563218390804
66,communities,0.0018216947281258,0.0002298850574712
67,comparison,0.000220811482197,0.0002298850574712
68,compilation,0.0001656086116478,0.0002298850574712
69,compliance,0.0092188793817278,0.0002298850574712
70,concerns,0.0007728401876897,0.0002298850574712
71,conference,0.000220811482197,0.012183908045977
72,conjunction,5.520287054926856e-05,0.0025287356321839
73,consensus,5.520287054926856e-05,0.0011494252873563
74,consequences,0.000220811482197,0.0002298850574712
75,consideration,0.0001104057410985,0.0055172413793103
76,consistency,5.520287054926856e-05,0.0013793103448275
77,construction,0.0004416229643941,0.0002298850574712
78,consultation,0.0001104057410985,0.0002298850574712
79,contact,0.000220811482197,0.0002298850574712
80,content,0.0010488545404361,0.000919540229885
81,contents,0.0001104057410985,0.0002298850574712
82,context,0.0069555616892078,0.0004597701149425
83,contribute,5.520287054926856e-05,0.0002298850574712
84,contribution,0.0001104057410985,0.0073563218390804
85,contributions,0.0003312172232956,0.0114942528735632
86,convention,5.520287054926856e-05,0.0036781609195402
87,cooperation,5.520287054926856e-05,0.0006896551724137
88,countries,0.0011040574109853,0.0064367816091954
89,country,0.0011592602815346,0.0094252873563218
90,coverage,0.0001104057410985,0.0006896551724137
91,creation,0.0003864200938448,0.0002298850574712
92,criteria,0.0012144631520839,0.0002298850574712
93,data,0.0013800717637317,0.0011494252873563
94,date,0.0001656086116478,0.0006896551724137
95,days,0.0006072315760419,0.0004597701149425
96,december,0.0008832459287882,0.0036781609195402
97,decent,0.0001104057410985,0.0002298850574712
98,decision,0.0003864200938448,0.0236781609195402
99,decisions,0.0003312172232956,0.0025287356321839
100,deliberations,5.520287054926856e-05,0.0004597701149425
101,depositary,5.520287054926856e-05,0.0002298850574712
102,description,5.520287054926856e-05,0.0004597701149425
103,determines,0.0001104057410985,0.0002298850574712
104,development,0.0050786640905327,0.0034482758620689
105,dialogue,0.0001656086116478,0.0002298850574712
106,differences,5.520287054926856e-05,0.0002298850574712
107,dissemination,0.0002760143527463,0.0002298850574712
108,diversification,5.520287054926856e-05,0.0018390804597701
109,document,0.0002760143527463,0.0011494252873563
110,documents,0.0006624344465912,0.0018390804597701
111,domestic,0.0001104057410985,0.0002298850574712
112,draft,5.520287054926856e-05,0.0013793103448275
113,economic,0.000220811482197,0.0002298850574712
114,economy,0.0003864200938448,0.0002298850574712
115,education,0.0013800717637317,0.0002298850574712
116,effectiveness,0.000220811482197,0.0013793103448275
117,effects,0.000220811482197,0.0011494252873563
118,efficiency,0.0013800717637317,0.0002298850574712
119,effort,0.0001104057410985,0.0004597701149425
120,efforts,0.000220811482197,0.0039080459770114
121,elements,0.000220811482197,0.0013793103448275
122,emission,0.0008832459287882,0.0006896551724137
123,emissions,0.0032569693624068,0.0059770114942528
124,end,0.0003312172232956,0.0002298850574712
125,energy,0.0031465636213083,0.0004597701149425
126,enhance,5.520287054926856e-05,0.0013793103448275
127,entities,0.000220811482197,0.0025287356321839
128,environment,0.002484129174717,0.0006896551724137
129,environments,0.0003312172232956,0.0006896551724137
130,equity,0.0001104057410985,0.0004597701149425
131,estimate,5.520287054926856e-05,0.0002298850574712
132,evaluation,0.0011040574109853,0.0002298850574712
133,event,0.0003864200938448,0.0004597701149425
134,events,0.0007728401876897,0.0004597701149425
135,example,0.0006624344465912,0.0004597701149425
136,examples,5.520287054926856e-05,0.0004597701149425
137,exchange,0.0007176373171404,0.0006896551724137
138,executive,0.0038089980678995,0.0004597701149425
139,experience,0.0001104057410985,0.000919540229885
140,experiences,5.520287054926856e-05,0.0002298850574712
141,experts,5.520287054926856e-05,0.0013793103448275
142,explanation,0.0001104057410985,0.0004597701149425
143,facility,5.520287054926856e-05,0.0006896551724137
144,factors,0.0010488545404361,0.0002298850574712
145,february,0.0003312172232956,0.0004597701149425
146,fields,0.0006624344465912,0.0002298850574712
147,finance,0.000220811482197,0.004367816091954
148,financial,0.0009384487993375,0.0018390804597701
149,flexibility,5.520287054926856e-05,0.0004597701149425
150,flows,5.520287054926856e-05,0.0002298850574712
151,following,5.520287054926856e-05,0.0002298850574712
152,forests,0.0001104057410985,0.0004597701149425
153,frameworks,0.0001104057410985,0.0013793103448275
154,functions,0.0001104057410985,0.0020689655172413
155,fund,5.520287054926856e-05,0.0022988505747126
156,gas,0.0075075903947005,0.0022988505747126
157,gases,0.0003312172232956,0.0002298850574712
158,general,0.0006072315760419,0.0002298850574712
159,geography,5.520287054926856e-05,0.0004597701149425
160,global,0.0018216947281258,0.000919540229885
161,goal,0.0004968258349434,0.0006896551724137
162,goals,0.00226331769252,0.000919540229885
163,good,0.0001104057410985,0.0002298850574712
164,greenhouse,0.0009936516698868,0.0022988505747126
165,group,0.0007176373171404,0.0036781609195402
166,groups,0.0003864200938448,0.000919540229885
167,growth,0.0008832459287882,0.0002298850574712
168,guidance,0.0002760143527463,0.008735632183908
169,guide,0.0004416229643941,0.0004597701149425
170,guidelines,0.0013248688931824,0.0016091954022988
171,identification,0.0005520287054926,0.0006896551724137
172,impact,0.0009936516698868,0.0016091954022988
173,impacts,0.0018768975986751,0.0032183908045977
174,implementation,0.0010488545404361,0.0124137931034482
175,implications,5.520287054926856e-05,0.0016091954022988
176,importance,0.0003864200938448,0.0011494252873563
177,incentives,5.520287054926856e-05,0.0002298850574712
178,inclusion,0.0001104057410985,0.0002298850574712
179,increase,0.0016008832459287,0.0006896551724137
180,indication,0.0001104057410985,0.0002298850574712
181,indicator,0.0003864200938448,0.0002298850574712
182,indicators,0.0017664918575765,0.0006896551724137
183,industry,0.0007176373171404,0.0002298850574712
184,inform,5.520287054926856e-05,0.0004597701149425
185,information,0.0056858956665746,0.0188505747126436
186,initiatives,0.0014904775048302,0.0002298850574712
187,input,5.520287054926856e-05,0.0004597701149425
188,institutions,0.0006624344465912,0.0013793103448275
189,instruments,0.0001656086116478,0.0016091954022988
190,integrate,0.0001104057410985,0.0002298850574712
191,integration,0.0003864200938448,0.0002298850574712
192,integrity,0.0010488545404361,0.0004597701149425
193,interaction,0.000220811482197,0.0002298850574712
194,interface,5.520287054926856e-05,0.0004597701149425
195,internet,5.520287054926856e-05,0.000919540229885
196,inventories,5.520287054926856e-05,0.0002298850574712
197,inventory,0.0007176373171404,0.000919540229885
198,investments,0.0018768975986751,0.0002298850574712
199,ipcc,0.0001104057410985,0.0022988505747126
200,issue,0.0001656086116478,0.0002298850574712
201,issues,0.0014352746342809,0.0002298850574712
202,item,5.520287054926856e-05,0.0002298850574712
203,june,0.000220811482197,0.0020689655172413
204,knowledge,0.0006072315760419,0.0011494252873563
205,lands,0.000220811482197,0.0004597701149425
206,language,5.520287054926856e-05,0.0004597701149425
207,languages,5.520287054926856e-05,0.0004597701149425
208,lessons,5.520287054926856e-05,0.0013793103448275
209,level,0.0008832459287882,0.0004597701149425
210,levels,0.0004968258349434,0.0016091954022988
211,limit,0.0002760143527463,0.0002298850574712
212,limitation,0.0001104057410985,0.0002298850574712
213,limitations,0.0001104057410985,0.0002298850574712
214,line,0.0007176373171404,0.0025287356321839
215,links,5.520287054926856e-05,0.0002298850574712
216,maintenance,0.0004416229643941,0.0002298850574712
217,manage,0.000220811482197,0.0004597701149425
218,management,0.0169472812586254,0.0004597701149425
219,manner,0.0003864200938448,0.0004597701149425
220,march,0.0003312172232956,0.0002298850574712
221,matter,0.000220811482197,0.0011494252873563
222,matters,0.0007176373171404,0.0064367816091954
223,measures,0.0010488545404361,0.0055172413793103
224,mechanism,0.0001104057410985,0.0018390804597701
225,meeting,0.000220811482197,0.0117241379310344
226,meetings,0.000828043058239,0.0006896551724137
227,member,0.0002760143527463,0.000919540229885
228,members,0.0019873033397736,0.0025287356321839
229,methodologies,0.0001104057410985,0.0059770114942528
230,methodology,0.0004968258349434,0.0002298850574712
231,methods,5.520287054926856e-05,0.0004597701149425
232,metrics,0.0002760143527463,0.0013793103448275
233,mitigation,0.0004416229643941,0.0045977011494252
234,mobilization,0.0001104057410985,0.0004597701149425
235,model,0.0072867789125034,0.0002298850574712
236,models,0.000220811482197,0.0002298850574712
237,monitoring,0.0010488545404361,0.0002298850574712
238,name,0.0001104057410985,0.0002298850574712
239,national,0.0007176373171404,0.0006896551724137
240,nations,0.0003864200938448,0.0016091954022988
241,nature,0.0002760143527463,0.0004597701149425
242,need,0.0002760143527463,0.0004597701149425
243,needs,0.0002760143527463,0.0034482758620689
244,network,0.0009384487993375,0.0004597701149425
245,note,0.0003864200938448,0.0018390804597701
246,november,0.0004416229643941,0.0016091954022988
247,number,0.00226331769252,0.0006896551724137
248,obligations,0.000220811482197,0.0002298850574712
249,office,0.0007728401876897,0.0004597701149425
250,operation,0.001656086116478,0.0034482758620689
