,keyword,Relative_Frequency.58,Relative_Frequency
0,ability,0.0001460706982179,0.0003746019853905
1,access,0.0002921413964358,0.0016857089342573
2,accordance,0.0002921413964358,0.005057126802772
3,accounting,0.0008764241893076,0.000749203970781
4,accuracy,0.0004382120946538,0.0003746019853905
5,achievement,0.0002921413964358,0.000749203970781
6,act,0.0002921413964358,0.0003746019853905
7,action,0.0004382120946538,0.0080539426858962
8,actions,0.0001460706982179,0.0097396516201535
9,activities,0.0018989190768331,0.0029968158831241
10,activity,0.0001460706982179,0.0001873009926952
11,addition,0.0017528483786152,0.0005619029780857
12,address,0.0011685655857434,0.0009365049634763
13,adequate,0.0001460706982179,0.0003746019853905
14,adoption,0.0002921413964358,0.0061809327589436
15,africa,0.0007303534910896,0.0001873009926952
16,agencies,0.0004382120946538,0.0005619029780857
17,agenda,0.0002921413964358,0.0009365049634763
18,agreement,0.0001460706982179,0.0460760442030342
19,agreements,0.0001460706982179,0.0003746019853905
20,aim,0.0002921413964358,0.000749203970781
21,america,0.0010224948875255,0.0001873009926952
22,amount,0.0001460706982179,0.0001873009926952
23,analysis,0.0007303534910896,0.0001873009926952
24,application,0.0005842827928717,0.0003746019853905
25,appreciation,0.0001460706982179,0.0001873009926952
26,approach,0.002191060473269,0.0001873009926952
27,approaches,0.0001460706982179,0.0035587188612099
28,april,0.0007303534910896,0.0011238059561715
29,area,0.0013146362839614,0.0003746019853905
30,areas,0.0036517674554484,0.0005619029780857
31,aspects,0.0001460706982179,0.0001873009926952
32,assess,0.0004382120946538,0.0003746019853905
33,assessment,0.0020449897750511,0.001498407941562
34,assessments,0.0004382120946538,0.0009365049634763
35,assistance,0.0001460706982179,0.000749203970781
36,authorities,0.0005842827928717,0.0003746019853905
37,availability,0.0010224948875255,0.0001873009926952
38,awareness,0.0020449897750511,0.0009365049634763
39,barriers,0.0002921413964358,0.0001873009926952
40,basis,0.0002921413964358,0.0029968158831241
41,benefit,0.0001460706982179,0.0001873009926952
42,benefits,0.0008764241893076,0.0009365049634763
43,biodiversity,0.0013146362839614,0.0001873009926952
44,bodies,0.0001460706982179,0.0046825248173815
45,body,0.0001460706982179,0.0058063307735531
46,build,0.0002921413964358,0.0001873009926952
47,building,0.0011685655857434,0.0005619029780857
48,capabilities,0.0016067776803973,0.0011238059561715
49,capacity,0.0010224948875255,0.0022476119123431
50,carbon,0.0029214139643587,0.0003746019853905
51,cases,0.0001460706982179,0.0001873009926952
52,categories,0.0001460706982179,0.0003746019853905
53,cent,0.0001460706982179,0.0003746019853905
54,centre,0.0016067776803973,0.0009365049634763
55,centres,0.0001460706982179,0.0001873009926952
56,ceremony,0.0002921413964358,0.0003746019853905
57,certification,0.0004382120946538,0.0001873009926952
58,challenges,0.0001460706982179,0.0003746019853905
59,change,0.0011685655857434,0.0097396516201535
60,channels,0.0001460706982179,0.0001873009926952
61,children,0.0005842827928717,0.0003746019853905
62,clarity,0.0001460706982179,0.0013111069488668
63,climate,0.0008764241893076,0.0116126615471062
64,collaboration,0.0005842827928717,0.0003746019853905
65,collective,0.0002921413964358,0.0001873009926952
66,commitment,0.0005842827928717,0.0001873009926952
67,committee,0.0001460706982179,0.0058063307735531
68,communication,0.0011685655857434,0.0013111069488668
69,communities,0.0011685655857434,0.0011238059561715
70,completeness,0.0001460706982179,0.0003746019853905
71,compliance,0.0011685655857434,0.0003746019853905
72,component,0.0001460706982179,0.0001873009926952
73,concept,0.0002921413964358,0.0001873009926952
74,concerns,0.0014607069821793,0.0001873009926952
75,conditions,0.0004382120946538,0.0001873009926952
76,conduct,0.0007303534910896,0.0005619029780857
77,conference,0.0004382120946538,0.0224761191234313
78,confidence,0.0001460706982179,0.0001873009926952
79,conservation,0.0014607069821793,0.0005619029780857
80,consideration,0.0002921413964358,0.0054317287881625
81,considers,0.0001460706982179,0.0003746019853905
82,consultation,0.0001460706982179,0.000749203970781
83,consumption,0.0004382120946538,0.0001873009926952
84,contents,0.0004382120946538,0.0001873009926952
85,context,0.0005842827928717,0.001498407941562
86,continuity,0.0001460706982179,0.0001873009926952
87,contribute,0.0001460706982179,0.0001873009926952
88,contributions,0.0001460706982179,0.0082412436785914
89,convention,0.0001460706982179,0.0157332833864019
90,coordination,0.0001460706982179,0.0011238059561715
91,countries,0.0008764241893076,0.004307922831991
92,country,0.0014607069821793,0.0131110694886682
93,cover,0.0001460706982179,0.0001873009926952
94,creation,0.0004382120946538,0.0001873009926952
95,cycle,0.0001460706982179,0.0003746019853905
96,date,0.0001460706982179,0.0020603109196478
97,day,0.0001460706982179,0.0011238059561715
98,december,0.0017528483786152,0.0003746019853905
99,decision,0.0005842827928717,0.0059936317662483
100,decisions,0.0001460706982179,0.0031841168758194
101,decrease,0.0001460706982179,0.0001873009926952
102,delivery,0.0007303534910896,0.0003746019853905
103,demonstration,0.0001460706982179,0.0001873009926952
104,deployment,0.0001460706982179,0.0003746019853905
105,design,0.0018989190768331,0.0001873009926952
106,development,0.0087642418930762,0.008615845663982
107,dialogue,0.0004382120946538,0.0005619029780857
108,disaster,0.0002921413964358,0.0001873009926952
109,document,0.0002921413964358,0.0001873009926952
110,education,0.0020449897750511,0.000749203970781
111,effect,0.0002921413964358,0.0011238059561715
112,effort,0.0010224948875255,0.0003746019853905
113,efforts,0.0055506865322816,0.0074920397078104
114,emergency,0.0017528483786152,0.0001873009926952
115,emission,0.0004382120946538,0.0033714178685147
116,emissions,0.0024832018697049,0.0054317287881625
117,energy,0.0056967572304995,0.0005619029780857
118,engagement,0.0002921413964358,0.0003746019853905
119,engagements,0.0011685655857434,0.0001873009926952
120,english,0.0001460706982179,0.0001873009926952
121,enhance,0.0001460706982179,0.0033714178685147
122,enhancement,0.0001460706982179,0.0009365049634763
123,entity,0.0002921413964358,0.0001873009926952
124,environment,0.0032135553607946,0.0011238059561715
125,equality,0.0001460706982179,0.0003746019853905
126,equity,0.0001460706982179,0.0011238059561715
127,eradication,0.0001460706982179,0.0003746019853905
128,establishment,0.0001460706982179,0.0001873009926952
129,event,0.0004382120946538,0.0005619029780857
130,events,0.0002921413964358,0.0009365049634763
131,exchange,0.0001460706982179,0.0005619029780857
132,execution,0.0004382120946538,0.0001873009926952
133,executive,0.0008764241893076,0.0016857089342573
134,exercise,0.0005842827928717,0.000749203970781
135,experience,0.0010224948875255,0.000749203970781
136,experiences,0.0002921413964358,0.001498407941562
137,experts,0.0001460706982179,0.0001873009926952
138,facilitate,0.0001460706982179,0.000749203970781
139,facilities,0.0026292725679228,0.0001873009926952
140,facility,0.0004382120946538,0.0011238059561715
141,fields,0.0001460706982179,0.0001873009926952
142,finance,0.0002921413964358,0.0028095148904289
143,financial,0.0010224948875255,0.0018730099269526
144,findings,0.0005842827928717,0.0001873009926952
145,food,0.0007303534910896,0.0005619029780857
146,forum,0.0004382120946538,0.0001873009926952
147,foundation,0.0004382120946538,0.0001873009926952
148,framework,0.0018989190768331,0.0037460198539052
149,frequency,0.0002921413964358,0.0001873009926952
150,function,0.0001460706982179,0.0001873009926952
151,functions,0.0001460706982179,0.001498407941562
152,gaps,0.0001460706982179,0.0005619029780857
153,gas,0.0111013730645632,0.0035587188612099
154,gases,0.0001460706982179,0.0009365049634763
155,gender,0.0001460706982179,0.0001873009926952
156,general,0.0002921413964358,0.0001873009926952
157,global,0.0005842827928717,0.0013111069488668
158,goals,0.0001460706982179,0.0001873009926952
159,governance,0.0016067776803973,0.0001873009926952
160,government,0.0007303534910896,0.0001873009926952
161,greenhouse,0.0005842827928717,0.0039333208466004
162,group,0.0065731814198071,0.0044952238246862
163,growth,0.0027753432661408,0.0001873009926952
164,guidance,0.0004382120946538,0.0041206218392957
165,guidelines,0.0013146362839614,0.0028095148904289
166,health,0.0062810400233713,0.0005619029780857
167,host,0.0008764241893076,0.0003746019853905
168,impact,0.0002921413964358,0.0003746019853905
169,impacts,0.0010224948875255,0.0018730099269526
170,implementation,0.0013146362839614,0.0157332833864019
171,importance,0.0008764241893076,0.0029968158831241
172,improvement,0.0007303534910896,0.0003746019853905
173,increase,0.0007303534910896,0.0013111069488668
174,information,0.0011685655857434,0.0080539426858962
175,initiative,0.0013146362839614,0.0009365049634763
176,initiatives,0.0017528483786152,0.0013111069488668
177,innovation,0.0004382120946538,0.0001873009926952
178,input,0.0001460706982179,0.0003746019853905
179,institutions,0.0004382120946538,0.0016857089342573
180,integrity,0.0036517674554484,0.0011238059561715
181,international,0.0018989190768331,0.0016857089342573
182,interventions,0.0004382120946538,0.0003746019853905
183,introduction,0.0001460706982179,0.0001873009926952
184,issue,0.0001460706982179,0.0001873009926952
185,issues,0.0013146362839614,0.0001873009926952
186,january,0.0002921413964358,0.0001873009926952
187,knowledge,0.0005842827928717,0.001498407941562
188,launch,0.0002921413964358,0.0001873009926952
189,lessons,0.0001460706982179,0.0013111069488668
190,level,0.0007303534910896,0.0016857089342573
191,levels,0.0007303534910896,0.0028095148904289
192,liability,0.0002921413964358,0.0001873009926952
193,line,0.0011685655857434,0.0003746019853905
194,loss,0.0004382120946538,0.0013111069488668
195,losses,0.0001460706982179,0.0001873009926952
196,maintain,0.0001460706982179,0.0001873009926952
197,maintenance,0.0004382120946538,0.0001873009926952
198,manage,0.0002921413964358,0.0001873009926952
199,management,0.0103710195734735,0.0013111069488668
200,manner,0.0010224948875255,0.0022476119123431
201,march,0.0004382120946538,0.0001873009926952
202,matter,0.0001460706982179,0.0003746019853905
203,matters,0.0001460706982179,0.0013111069488668
204,means,0.0001460706982179,0.0001873009926952
205,measurement,0.0001460706982179,0.0003746019853905
