,keyword,Relative_Frequency.35,Relative_Frequency
0,ability,0.0007159221076746,0.0002298850574712
1,access,0.0002863688430698,0.0018390804597701
2,accordance,0.0001431844215349,0.0082758620689655
3,achievement,0.0001431844215349,0.0002298850574712
4,action,0.0005727376861397,0.0034482758620689
5,actions,0.0008591065292096,0.0059770114942528
6,activities,0.002147766323024,0.0032183908045977
7,address,0.0002863688430698,0.0006896551724137
8,advance,0.0001431844215349,0.0002298850574712
9,advice,0.0004295532646048,0.0011494252873563
10,agencies,0.0001431844215349,0.000919540229885
11,agreement,0.0008591065292096,0.0411494252873563
12,amount,0.0004295532646048,0.0002298850574712
13,analysis,0.0007159221076746,0.0002298850574712
14,application,0.0001431844215349,0.000919540229885
15,approach,0.0065864833906071,0.0016091954022988
16,approval,0.0001431844215349,0.0002298850574712
17,areas,0.0005727376861397,0.0006896551724137
18,aspects,0.0002863688430698,0.0002298850574712
19,assessment,0.0005727376861397,0.0004597701149425
20,assistance,0.0004295532646048,0.0013793103448275
21,awareness,0.0007159221076746,0.0004597701149425
22,baseline,0.0001431844215349,0.0002298850574712
23,basis,0.0002863688430698,0.0027586206896551
24,bodies,0.0002863688430698,0.0050574712643678
25,building,0.0004295532646048,0.0002298850574712
26,capabilities,0.0014318442153493,0.0002298850574712
27,capacity,0.0007159221076746,0.0020689655172413
28,case,0.0002863688430698,0.0006896551724137
29,centre,0.0004295532646048,0.0004597701149425
30,challenges,0.0001431844215349,0.0004597701149425
31,change,0.0015750286368843,0.0041379310344827
32,changes,0.0010022909507445,0.000919540229885
33,channels,0.0001431844215349,0.0004597701149425
34,climate,0.0008591065292096,0.0071264367816091
35,collaboration,0.0005727376861397,0.0018390804597701
36,committee,0.0007159221076746,0.008735632183908
37,communication,0.0002863688430698,0.0082758620689655
38,communications,0.0002863688430698,0.0073563218390804
39,communities,0.0014318442153493,0.0002298850574712
40,comparison,0.0001431844215349,0.0002298850574712
41,compliance,0.0020045819014891,0.0002298850574712
42,component,0.0002863688430698,0.0016091954022988
43,components,0.0018613974799541,0.000919540229885
44,concerns,0.0002863688430698,0.0002298850574712
45,conference,0.0004295532646048,0.012183908045977
46,consistency,0.0001431844215349,0.0013793103448275
47,construction,0.0007159221076746,0.0002298850574712
48,contact,0.0001431844215349,0.0002298850574712
49,content,0.0005727376861397,0.000919540229885
50,contents,0.0001431844215349,0.0002298850574712
51,continue,0.0001431844215349,0.0002298850574712
52,contribute,0.0010022909507445,0.0002298850574712
53,contributes,0.0001431844215349,0.000919540229885
54,contribution,0.0004295532646048,0.0073563218390804
55,convention,0.0001431844215349,0.0036781609195402
56,countries,0.0002863688430698,0.0064367816091954
57,country,0.0017182130584192,0.0094252873563218
58,creation,0.0042955326460481,0.0002298850574712
59,criteria,0.0001431844215349,0.0002298850574712
60,data,0.0005727376861397,0.0011494252873563
61,date,0.0002863688430698,0.0006896551724137
62,days,0.0002863688430698,0.0004597701149425
63,december,0.0010022909507445,0.0036781609195402
64,decision,0.0004295532646048,0.0236781609195402
65,development,0.0120274914089347,0.0034482758620689
66,dialogue,0.0001431844215349,0.0002298850574712
67,diversification,0.0004295532646048,0.0018390804597701
68,documents,0.0001431844215349,0.0018390804597701
69,economic,0.004438717067583,0.0002298850574712
70,economy,0.0011454753722794,0.0002298850574712
71,education,0.0010022909507445,0.0002298850574712
72,effectiveness,0.0004295532646048,0.0013793103448275
73,efficiency,0.0035796105383734,0.0002298850574712
74,effort,0.0002863688430698,0.0004597701149425
75,efforts,0.0014318442153493,0.0039080459770114
76,elements,0.0002863688430698,0.0013793103448275
77,emission,0.0002863688430698,0.0006896551724137
78,emissions,0.0055841924398625,0.0059770114942528
79,end,0.0004295532646048,0.0002298850574712
80,energy,0.0094501718213058,0.0004597701149425
81,enhance,0.0010022909507445,0.0013793103448275
82,enhanced,0.0001431844215349,0.0002298850574712
83,entities,0.0001431844215349,0.0025287356321839
84,environment,0.0022909507445589,0.0006896551724137
85,estimation,0.0001431844215349,0.0002298850574712
86,evaluation,0.0022909507445589,0.0002298850574712
87,events,0.0018613974799541,0.0004597701149425
88,example,0.0001431844215349,0.0004597701149425
89,executive,0.0014318442153493,0.0004597701149425
90,experience,0.0002863688430698,0.000919540229885
91,expert,0.0001431844215349,0.0027586206896551
92,explanation,0.0018613974799541,0.0004597701149425
93,facility,0.0004295532646048,0.0006896551724137
94,fields,0.0008591065292096,0.0002298850574712
95,finance,0.0005727376861397,0.004367816091954
96,financial,0.0001431844215349,0.0018390804597701
97,following,0.0001431844215349,0.0002298850574712
98,forum,0.0012886597938144,0.0027586206896551
99,framework,0.0020045819014891,0.0013793103448275
100,frameworks,0.0001431844215349,0.0013793103448275
101,functions,0.0005727376861397,0.0020689655172413
102,further,0.0001431844215349,0.0025287356321839
103,gas,0.0137457044673539,0.0022988505747126
104,gases,0.0001431844215349,0.0002298850574712
105,general,0.0007159221076746,0.0002298850574712
106,global,0.0004295532646048,0.000919540229885
107,goal,0.0005727376861397,0.0006896551724137
108,goals,0.0004295532646048,0.000919540229885
109,greenhouse,0.0002863688430698,0.0022988505747126
110,group,0.0004295532646048,0.0036781609195402
111,groups,0.0001431844215349,0.000919540229885
112,growth,0.0001431844215349,0.0002298850574712
113,guidance,0.0001431844215349,0.008735632183908
114,guidelines,0.0005727376861397,0.0016091954022988
115,help,0.0004295532646048,0.0002298850574712
