,keyword,Relative_Frequency.30,Relative_Frequency
0,access,0.0001333244450369,0.0016857089342573
1,accordance,0.0005999600026664,0.005057126802772
2,account,0.0009332711152589,0.0054317287881625
3,accounting,0.0001999866675554,0.000749203970781
4,achievement,0.0008666088927404,0.000749203970781
5,action,6.666222251849876e-05,0.0080539426858962
6,actions,0.0018665422305179,0.0097396516201535
7,activities,0.0094660355976268,0.0029968158831241
8,activity,0.0001999866675554,0.0001873009926952
9,adaptation,0.0002666488900739,0.0151713804083161
10,addition,0.0010665955602959,0.0005619029780857
11,address,0.0005332977801479,0.0009365049634763
12,adoption,0.0001333244450369,0.0061809327589436
13,agency,6.666222251849876e-05,0.0003746019853905
14,agenda,0.0001999866675554,0.0009365049634763
15,agreement,0.0003999733351109,0.0460760442030342
16,agreements,0.0019998666755549,0.0003746019853905
17,amount,0.0007332844477034,0.0001873009926952
18,analysis,0.0005999600026664,0.0001873009926952
19,annex,0.0023331777881474,0.0005619029780857
20,application,0.0002666488900739,0.0003746019853905
21,approach,0.0011332577828144,0.0001873009926952
22,approaches,0.0005332977801479,0.0035587188612099
23,approval,0.0004666355576294,0.0016857089342573
24,april,0.0001999866675554,0.0011238059561715
25,area,0.0031331244583694,0.0003746019853905
26,areas,0.0031331244583694,0.0005619029780857
27,arrangements,0.0002666488900739,0.0029968158831241
28,articles,6.666222251849876e-05,0.0016857089342573
29,aspects,0.0009999333377774,0.0001873009926952
30,assembly,6.666222251849876e-05,0.0001873009926952
31,assess,6.666222251849876e-05,0.0003746019853905
32,assessment,0.0003999733351109,0.001498407941562
33,assistance,0.0001999866675554,0.000749203970781
34,assumptions,0.0001333244450369,0.0001873009926952
35,attention,0.0013332444503699,0.0003746019853905
36,authorities,0.0019332044530364,0.0003746019853905
37,authority,0.0001333244450369,0.0003746019853905
38,availability,0.0001999866675554,0.0001873009926952
39,awareness,0.0001333244450369,0.0009365049634763
40,balance,0.0001333244450369,0.000749203970781
41,basis,0.0017998800079994,0.0029968158831241
42,benefit,0.0002666488900739,0.0001873009926952
43,benefits,0.0007332844477034,0.0009365049634763
44,biodiversity,0.0009999333377774,0.0001873009926952
45,bodies,0.0005999600026664,0.0046825248173815
46,body,0.0008666088927404,0.0058063307735531
47,build,6.666222251849876e-05,0.0001873009926952
48,building,0.0002666488900739,0.0005619029780857
49,burden,6.666222251849876e-05,0.000749203970781
50,bureau,0.0001999866675554,0.0003746019853905
51,capacities,0.0002666488900739,0.0011238059561715
52,capacity,0.0003333111125924,0.0022476119123431
53,carbon,0.0001333244450369,0.0003746019853905
54,case,0.0003999733351109,0.0001873009926952
55,cases,0.0009332711152589,0.0001873009926952
56,categories,0.0001333244450369,0.0003746019853905
57,certification,0.0002666488900739,0.0001873009926952
58,challenges,0.0007999466702219,0.0003746019853905
59,champion,6.666222251849876e-05,0.000749203970781
60,change,0.0002666488900739,0.0097396516201535
61,children,0.0001999866675554,0.0003746019853905
62,circumstances,0.0001999866675554,0.0020603109196478
63,cities,0.0001999866675554,0.0003746019853905
64,climate,0.0002666488900739,0.0116126615471062
