,keyword,Relative_Frequency.23,Relative_Frequency
0,ability,0.0006218905472636,0.0003746019853905
1,accelerating,6.909894969596462e-05,0.0001873009926952
2,acceptance,6.909894969596462e-05,0.0013111069488668
3,access,0.0021420674405749,0.0016857089342573
4,accordance,0.0003454947484798,0.005057126802772
5,account,0.0002072968490878,0.0054317287881625
6,accounting,0.0001381978993919,0.000749203970781
7,accuracy,0.0002072968490878,0.0003746019853905
8,achieve,6.909894969596462e-05,0.0001873009926952
9,action,0.0008291873963515,0.0080539426858962
10,actions,0.0002072968490878,0.0097396516201535
11,activities,0.0043532338308457,0.0029968158831241
12,activity,0.0002763957987838,0.0001873009926952
13,adaptation,0.0001381978993919,0.0151713804083161
14,addition,0.0002072968490878,0.0005619029780857
15,address,0.0003454947484798,0.0009365049634763
16,adoption,6.909894969596462e-05,0.0061809327589436
17,advice,0.0002072968490878,0.0029968158831241
18,africa,0.0006909894969596,0.0001873009926952
19,agencies,0.0002763957987838,0.0005619029780857
20,agency,0.0005527915975677,0.0003746019853905
21,agreement,0.0004145936981757,0.0460760442030342
22,agreements,0.0004145936981757,0.0003746019853905
23,aim,0.0001381978993919,0.000749203970781
24,ambition,0.0001381978993919,0.0022476119123431
25,america,0.0006909894969596,0.0001873009926952
26,amount,0.0007600884466556,0.0001873009926952
27,analysis,0.0002763957987838,0.0001873009926952
28,appreciation,6.909894969596462e-05,0.0001873009926952
29,approach,0.0024875621890547,0.0001873009926952
30,approaches,0.0002763957987838,0.0035587188612099
31,appropriate,0.0001381978993919,0.0013111069488668
32,approval,0.0002072968490878,0.0016857089342573
33,april,0.0001381978993919,0.0011238059561715
34,area,0.0017274737423991,0.0003746019853905
35,areas,0.0035931453841901,0.0005619029780857
36,articles,6.909894969596462e-05,0.0016857089342573
37,aspects,6.909894969596462e-05,0.0001873009926952
38,assess,0.0004836926478717,0.0003746019853905
39,assessment,0.0004836926478717,0.001498407941562
40,assessments,0.0006218905472636,0.0009365049634763
41,assumptions,0.0001381978993919,0.0001873009926952
42,attention,6.909894969596462e-05,0.0003746019853905
43,authorities,0.0002072968490878,0.0003746019853905
44,authority,6.909894969596462e-05,0.0003746019853905
45,availability,0.0003454947484798,0.0001873009926952
46,awareness,0.0001381978993919,0.0009365049634763
47,balance,0.0002072968490878,0.000749203970781
48,barriers,0.0002072968490878,0.0001873009926952
49,basis,0.0005527915975677,0.0029968158831241
50,behalf,6.909894969596462e-05,0.0001873009926952
51,benefit,6.909894969596462e-05,0.0001873009926952
52,benefits,0.0009673852957435,0.0009365049634763
53,biodiversity,0.0016583747927031,0.0001873009926952
54,bodies,0.0003454947484798,0.0046825248173815
55,build,0.0001381978993919,0.0001873009926952
56,building,0.0004145936981757,0.0005619029780857
57,bureau,6.909894969596462e-05,0.0003746019853905
58,capabilities,0.0004836926478717,0.0011238059561715
59,capacity,0.0002072968490878,0.0022476119123431
60,carbon,0.003869541182974,0.0003746019853905
61,case,0.0005527915975677,0.0001873009926952
62,cases,0.0002763957987838,0.0001873009926952
63,categories,6.909894969596462e-05,0.0003746019853905
64,centre,0.0007600884466556,0.0009365049634763
65,centres,6.909894969596462e-05,0.0001873009926952
66,century,0.0002763957987838,0.0001873009926952
67,certification,0.0002763957987838,0.0001873009926952
68,challenge,0.0004145936981757,0.0001873009926952
69,challenges,0.0010364842454394,0.0003746019853905
70,change,0.0024875621890547,0.0097396516201535
71,channels,0.0002763957987838,0.0001873009926952
72,children,0.0002072968490878,0.0003746019853905
