,keyword,Relative_Frequency.17,Relative_Frequency
0,ability,0.0005071851225697,0.0003746019853905
1,access,0.0030431107354184,0.0016857089342573
2,accordance,0.0001690617075232,0.005057126802772
3,account,0.0006762468300929,0.0054317287881625
4,accounting,0.0001690617075232,0.000749203970781
5,act,0.0001690617075232,0.0003746019853905
6,action,0.0008453085376162,0.0080539426858962
7,actions,0.0005071851225697,0.0097396516201535
8,activities,0.0028740490278951,0.0029968158831241
9,activity,0.0005071851225697,0.0001873009926952
10,addition,0.0005071851225697,0.0005619029780857
11,address,0.0001690617075232,0.0009365049634763
12,africa,0.0011834319526627,0.0001873009926952
13,agency,0.0011834319526627,0.0003746019853905
14,agreement,0.0005071851225697,0.0460760442030342
15,agreements,0.0001690617075232,0.0003746019853905
16,aim,0.0001690617075232,0.000749203970781
17,america,0.0003381234150464,0.0001873009926952
18,amount,0.0001690617075232,0.0001873009926952
19,analysis,0.0006762468300929,0.0001873009926952
20,application,0.0001690617075232,0.0003746019853905
21,approach,0.0010143702451394,0.0001873009926952
22,approval,0.0003381234150464,0.0016857089342573
23,april,0.0005071851225697,0.0011238059561715
24,arabic,0.0001690617075232,0.0001873009926952
25,area,0.0020287404902789,0.0003746019853905
26,areas,0.0027049873203719,0.0005619029780857
27,aspects,0.0001690617075232,0.0001873009926952
28,assembly,0.0001690617075232,0.0001873009926952
29,assess,0.0001690617075232,0.0003746019853905
30,assessment,0.0003381234150464,0.001498407941562
31,assessments,0.0011834319526627,0.0009365049634763
32,assistance,0.0001690617075232,0.000749203970781
33,attention,0.0001690617075232,0.0003746019853905
34,authorities,0.0003381234150464,0.0003746019853905
35,availability,0.0006762468300929,0.0001873009926952
36,awareness,0.0008453085376162,0.0009365049634763
37,balance,0.0003381234150464,0.000749203970781
38,baselines,0.0001690617075232,0.0001873009926952
39,basis,0.0003381234150464,0.0029968158831241
40,benefit,0.0001690617075232,0.0001873009926952
41,benefits,0.0005071851225697,0.0009365049634763
42,biodiversity,0.0010143702451394,0.0001873009926952
43,body,0.0001690617075232,0.0058063307735531
44,build,0.0003381234150464,0.0001873009926952
45,capabilities,0.0005071851225697,0.0011238059561715
46,capacity,0.0021978021978021,0.0022476119123431
47,carbon,0.0028740490278951,0.0003746019853905
48,case,0.0005071851225697,0.0001873009926952
49,centre,0.0003381234150464,0.0009365049634763
50,challenge,0.0006762468300929,0.0001873009926952
51,challenges,0.0038884192730346,0.0003746019853905
52,change,0.0013524936601859,0.0097396516201535
53,character,0.0005071851225697,0.0001873009926952
54,children,0.0001690617075232,0.0003746019853905
55,climate,0.0005071851225697,0.0116126615471062
56,collaboration,0.0003381234150464,0.0003746019853905
57,commitment,0.0015215553677092,0.0001873009926952
58,committee,0.0001690617075232,0.0058063307735531
59,communicate,0.0001690617075232,0.0009365049634763
60,communication,0.0003381234150464,0.0013111069488668
61,communities,0.0028740490278951,0.0011238059561715
62,compliance,0.0013524936601859,0.0003746019853905
63,component,0.0001690617075232,0.0001873009926952
64,concept,0.0005071851225697,0.0001873009926952
65,concern,0.0003381234150464,0.000749203970781
66,concerns,0.0003381234150464,0.0001873009926952
67,conditions,0.0008453085376162,0.0001873009926952
68,conduct,0.0006762468300929,0.0005619029780857
69,conference,0.0005071851225697,0.0224761191234313
70,consensus,0.0003381234150464,0.0001873009926952
