,keyword,Frequency.2,Frequency
0,ability,6.0,2.0
1,access,15.0,9.0
2,accordance,2.0,27.0
3,account,1.0,29.0
4,accounting,3.0,4.0
5,accuracy,1.0,2.0
6,act,4.0,2.0
7,action,12.0,43.0
8,actions,16.0,52.0
9,activities,44.0,16.0
10,activity,10.0,1.0
11,actors,2.0,1.0
12,adaptation,1.0,81.0
13,addition,5.0,3.0
14,address,4.0,5.0
15,advice,2.0,16.0
16,africa,4.0,1.0
17,agencies,9.0,3.0
18,agency,6.0,2.0
19,agenda,2.0,5.0
20,aggregate,2.0,1.0
21,agreement,8.0,246.0
22,agreements,5.0,2.0
23,aim,7.0,4.0
24,ambition,2.0,12.0
25,amendments,3.0,1.0
26,america,3.0,1.0
27,amount,7.0,1.0
28,analysis,7.0,1.0
29,application,3.0,2.0
30,appointment,2.0,2.0
31,approach,23.0,1.0
32,approaches,3.0,19.0
33,appropriate,1.0,7.0
34,approval,1.0,9.0
35,april,5.0,6.0
36,area,22.0,2.0
37,areas,41.0,3.0
38,arrangements,1.0,16.0
39,aspects,10.0,1.0
40,assess,6.0,2.0
41,assessment,13.0,8.0
42,assessments,12.0,5.0
43,assistance,1.0,4.0
44,attention,3.0,2.0
45,authorities,4.0,2.0
46,authority,1.0,2.0
47,availability,3.0,1.0
48,awareness,1.0,5.0
49,balance,4.0,4.0
50,basis,11.0,16.0
51,behalf,2.0,1.0
52,benefit,3.0,1.0
53,benefits,11.0,5.0
54,biodiversity,12.0,1.0
55,build,1.0,1.0
56,building,14.0,3.0
57,capabilities,12.0,6.0
58,capacity,13.0,12.0
59,carbon,35.0,2.0
60,case,8.0,1.0
61,cases,13.0,1.0
62,categories,3.0,2.0
63,centre,1.0,5.0
64,certification,4.0,1.0
65,challenge,16.0,1.0
66,challenges,11.0,2.0
67,champions,1.0,4.0
68,change,23.0,52.0
69,channels,2.0,1.0
70,children,1.0,2.0
71,circumstances,1.0,11.0
72,cities,1.0,2.0
73,clarity,3.0,7.0
74,climate,34.0,62.0
75,collaboration,5.0,2.0
76,commitment,8.0,1.0
77,committee,26.0,31.0
78,communicate,1.0,5.0
79,communication,3.0,7.0
80,communications,2.0,5.0
81,communities,41.0,6.0
82,compensation,1.0,1.0
83,competence,3.0,4.0
84,complement,1.0,2.0
85,completeness,1.0,2.0
86,compliance,16.0,2.0
87,component,1.0,1.0
88,concern,3.0,4.0
89,concerns,14.0,1.0
90,conditions,8.0,1.0
91,conduct,23.0,3.0
92,conference,2.0,120.0
93,conservation,5.0,3.0
94,consideration,2.0,29.0
95,considers,1.0,2.0
96,consistency,4.0,5.0
97,constitutes,1.0,1.0
98,consultation,5.0,4.0
99,consumption,9.0,1.0
100,contents,2.0,1.0
101,context,5.0,8.0
102,continuity,1.0,1.0
103,contribute,1.0,1.0
104,contribution,12.0,23.0
105,contributions,2.0,44.0
106,costs,11.0,2.0
107,countries,32.0,23.0
108,countries,1.0,23.0
109,country,8.0,70.0
110,cover,4.0,1.0
111,coverage,3.0,1.0
112,creation,1.0,1.0
113,criteria,4.0,1.0
114,cycle,2.0,2.0
115,damage,6.0,7.0
116,date,3.0,11.0
117,day,4.0,6.0
118,december,6.0,2.0
119,decision,2.0,32.0
120,decisions,10.0,17.0
121,decrease,2.0,1.0
122,define,1.0,1.0
123,definitions,1.0,1.0
124,delivery,3.0,2.0
125,demonstration,1.0,1.0
126,deployment,3.0,2.0
127,design,8.0,1.0
128,detail,5.0,1.0
129,development,48.0,46.0
130,dialogue,5.0,3.0
131,disaster,2.0,1.0
132,document,3.0,1.0
133,documents,4.0,1.0
134,doha,1.0,1.0
135,draft,2.0,3.0
136,drawn,1.0,1.0
137,earth,1.0,1.0
138,economies,7.0,1.0
139,ecosystems,2.0,1.0
140,education,5.0,4.0
141,effect,4.0,6.0
142,effects,3.0,10.0
143,effort,1.0,2.0
144,efforts,10.0,40.0
145,emergency,1.0,1.0
146,emission,1.0,18.0
147,emissions,60.0,29.0
148,energy,160.0,3.0
149,engagement,11.0,2.0
150,engagements,2.0,1.0
151,engaging,2.0,1.0
152,enhance,15.0,18.0
153,entities,10.0,9.0
154,entity,3.0,1.0
155,entry,1.0,5.0
156,environment,41.0,6.0
157,environments,9.0,3.0
158,equality,1.0,2.0
159,establishment,1.0,1.0
160,event,3.0,3.0
161,events,16.0,5.0
162,exchange,6.0,3.0
163,executive,23.0,9.0
164,exercise,1.0,4.0
165,experience,17.0,4.0
166,expert,7.0,8.0
167,experts,5.0,1.0
168,explanation,2.0,1.0
169,extension,2.0,1.0
170,extent,1.0,2.0
171,facilitate,1.0,4.0
172,facilities,14.0,1.0
173,facility,9.0,6.0
174,february,2.0,1.0
175,fields,5.0,1.0
176,finance,1.0,15.0
177,financial,4.0,10.0
178,findings,2.0,1.0
179,floor,1.0,1.0
180,food,6.0,3.0
181,format,1.0,2.0
182,forms,2.0,1.0
183,forum,1.0,1.0
184,foundation,3.0,1.0
185,framework,7.0,20.0
186,frequency,8.0,1.0
187,function,10.0,1.0
188,functions,7.0,8.0
189,fund,2.0,6.0
190,further,1.0,1.0
191,gaps,3.0,3.0
192,gas,110.0,19.0
193,gases,2.0,5.0
194,gender,1.0,1.0
195,global,2.0,7.0
196,goal,7.0,10.0
197,goals,13.0,1.0
198,governance,7.0,1.0
199,government,24.0,1.0
200,greenhouse,23.0,21.0
201,group,81.0,24.0
202,groups,6.0,4.0
203,growth,14.0,1.0
204,guidance,6.0,22.0
205,guidelines,4.0,15.0
206,half,2.0,1.0
207,health,24.0,3.0
208,host,4.0,2.0
209,identify,5.0,3.0
210,identifying,1.0,2.0
211,impact,18.0,2.0
212,impacts,56.0,10.0
213,implementation,13.0,84.0
214,implications,4.0,1.0
215,importance,4.0,16.0
216,improvement,15.0,2.0
217,incentives,1.0,3.0
218,include,2.0,2.0
219,increase,11.0,7.0
220,inform,3.0,4.0
221,information,53.0,43.0
222,initiative,5.0,5.0
223,initiatives,7.0,7.0
224,innovation,4.0,1.0
225,input,3.0,2.0
226,institutions,2.0,9.0
227,integrity,6.0,6.0
228,intergovernmental,1.0,4.0
229,international,16.0,9.0
230,introduction,2.0,1.0
231,inventory,6.0,2.0
232,invitation,1.0,1.0
233,issue,4.0,1.0
234,issues,56.0,1.0
235,january,7.0,1.0
236,jobs,8.0,1.0
237,justice,2.0,1.0
238,knowledge,3.0,8.0
239,lead,2.0,3.0
240,lessons,13.0,7.0
241,level,28.0,9.0
242,levels,16.0,15.0
243,liability,1.0,1.0
244,limit,3.0,3.0
245,limitation,1.0,1.0
246,line,11.0,2.0
247,livelihoods,1.0,2.0
248,loss,16.0,7.0
249,losses,6.0,1.0
250,maintain,1.0,1.0
251,maintenance,2.0,1.0
252,make,1.0,1.0
253,manage,27.0,1.0
254,management,107.0,7.0
255,march,6.0,1.0
256,matter,4.0,2.0
257,matters,8.0,7.0
258,may,7.0,3.0
259,means,1.0,1.0
260,measures,13.0,9.0
261,mechanism,1.0,31.0
262,meet,11.0,1.0
263,meeting,4.0,75.0
264,meetings,5.0,11.0
265,member,17.0,15.0
266,members,6.0,2.0
267,methodology,3.0,2.0
268,methods,3.0,1.0
269,metrics,4.0,1.0
270,mitigation,7.0,50.0
271,move,1.0,1.0
272,nations,2.0,14.0
273,nature,4.0,2.0
274,need,1.0,13.0
275,needs,10.0,14.0
276,network,2.0,5.0
277,networks,2.0,1.0
278,new,11.0,3.0
279,notes,1.0,3.0
280,november,4.0,5.0
281,number,28.0,2.0
282,objectives,2.0,1.0
283,obligations,2.0,6.0
284,october,2.0,1.0
285,officers,1.0,1.0
286,online,14.0,1.0
287,operation,13.0,5.0
288,operations,123.0,1.0
289,opportunities,18.0,9.0
290,opportunity,6.0,2.0
291,options,7.0,4.0
292,order,3.0,15.0
293,organization,14.0,11.0
294,organizations,12.0,15.0
295,outcome,1.0,1.0
296,outcomes,3.0,7.0
297,overview,1.0,1.0
298,page,12.0,1.0
299,panel,4.0,5.0
300,paper,2.0,2.0
301,part,38.0,4.0
302,participants,2.0,1.0
303,participation,1.0,9.0
304,parties,2.0,399.0
305,party,1.0,44.0
306,patterns,1.0,1.0
307,payments,9.0,2.0
308,people,67.0,4.0
309,performance,81.0,1.0
310,period,4.0,9.0
311,periods,3.0,1.0
312,place,17.0,1.0
313,places,3.0,1.0
314,plan,5.0,1.0
315,planning,10.0,3.0
316,plans,18.0,10.0
317,platform,1.0,5.0
318,point,2.0,1.0
319,policies,9.0,19.0
320,policy,29.0,5.0
321,position,5.0,1.0
322,practice,10.0,1.0
323,practices,29.0,20.0
324,preparedness,4.0,1.0
325,president,3.0,4.0
326,pricing,2.0,1.0
327,principle,2.0,2.0
328,principles,24.0,1.0
329,priorities,10.0,11.0
330,priority,9.0,2.0
331,procedures,10.0,25.0
332,proceedings,7.0,2.0
333,proceeds,2.0,1.0
334,process,68.0,26.0
335,processes,17.0,6.0
336,production,37.0,3.0
