,keyword,Frequency.2,Frequency
0,ability,5.0,1.0
1,accelerate,4.0,1.0
2,accelerating,1.0,1.0
3,access,17.0,7.0
4,accordance,8.0,47.0
5,account,5.0,35.0
6,accountability,2.0,1.0
7,accounting,3.0,13.0
8,accounts,1.0,1.0
9,acquisition,2.0,2.0
10,action,39.0,41.0
11,actions,16.0,28.0
12,activities,41.0,67.0
13,activity,10.0,61.0
14,actors,1.0,1.0
15,addition,7.0,7.0
16,address,2.0,11.0
17,adoption,3.0,14.0
18,advance,5.0,2.0
19,advice,1.0,15.0
20,agencies,1.0,1.0
21,agreement,5.0,127.0
22,aims,78.0,1.0
23,align,1.0,1.0
24,ambition,17.0,18.0
25,amendments,1.0,1.0
26,amount,1.0,7.0
27,annual,9.0,6.0
28,application,1.0,13.0
29,applies,1.0,2.0
30,approach,39.0,33.0
31,approaches,2.0,51.0
32,appropriate,2.0,4.0
33,approval,2.0,15.0
34,april,1.0,1.0
35,areas,36.0,5.0
36,arrangements,2.0,12.0
37,article,3.0,127.0
38,assessment,2.0,8.0
39,assist,1.0,2.0
40,assistance,2.0,5.0
41,assurance,26.0,1.0
42,authority,1.0,2.0
43,availability,2.0,5.0
44,availability,1.0,5.0
45,average,2.0,1.0
46,avoiding,1.0,1.0
47,awareness,7.0,1.0
48,balance,5.0,4.0
49,baseline,24.0,7.0
50,basis,25.0,16.0
51,behaviour,1.0,1.0
52,benchmark,4.0,1.0
53,benefit,2.0,1.0
54,benefits,7.0,2.0
55,billion,1.0,1.0
56,biodiversity,56.0,2.0
57,board,14.0,1.0
58,bodies,2.0,6.0
59,boundaries,2.0,1.0
60,building,16.0,1.0
61,business,82.0,3.0
62,businesses,48.0,2.0
63,calculate,1.0,1.0
64,calculation,2.0,2.0
65,capabilities,5.0,2.0
66,capacity,16.0,5.0
67,carbon,116.0,6.0
68,carbon,1.0,6.0
69,case,7.0,3.0
70,categories,1.0,2.0
71,centre,7.0,1.0
72,centres,1.0,2.0
73,certification,1.0,5.0
74,challenges,8.0,1.0
75,change,16.0,57.0
76,changes,10.0,1.0
77,chapter,1.0,92.0
78,circumstances,4.0,13.0
79,clean,2.0,3.0
80,climate,50.0,66.0
81,collaboration,20.0,6.0
82,committee,17.0,12.0
83,communications,5.0,4.0
84,communities,36.0,17.0
85,community,28.0,1.0
86,comparability,2.0,2.0
87,complements,1.0,1.0
88,compliance,12.0,1.0
89,concern,1.0,12.0
90,concerns,16.0,2.0
91,conditions,2.0,3.0
92,conference,2.0,36.0
93,consequence,2.0,1.0
94,conservation,4.0,1.0
95,consideration,3.0,29.0
96,considers,1.0,1.0
97,consistency,2.0,11.0
98,consistent,1.0,1.0
99,consultation,6.0,3.0
100,contact,1.0,1.0
101,contents,1.0,1.0
102,context,2.0,9.0
103,contribute,5.0,3.0
104,contribution,3.0,10.0
105,contributions,5.0,21.0
106,convention,1.0,8.0
107,countries,14.0,13.0
108,country,4.0,41.0
109,course,3.0,1.0
110,creation,3.0,4.0
111,culture,19.0,1.0
112,damage,1.0,12.0
113,data,31.0,3.0
114,database,1.0,12.0
115,date,1.0,3.0
116,decade,5.0,3.0
117,december,6.0,5.0
118,decent,2.0,4.0
119,decision,4.0,81.0
120,decision-making,3.0,2.0
121,decisions,10.0,35.0
122,definitions,6.0,1.0
123,deliver,13.0,3.0
124,delivery,9.0,9.0
125,demand,6.0,1.0
126,describe,3.0,2.0
127,design,5.0,4.0
128,develop,5.0,3.0
129,developed,3.0,1.0
130,development,39.0,72.0
131,dialogue,6.0,3.0
132,dioxide,3.0,5.0
133,disabilities,1.0,8.0
134,disease,2.0,2.0
135,diverse,7.0,1.0
136,diversification,1.0,4.0
137,document,5.0,1.0
138,documents,1.0,2.0
139,draft,1.0,1.0
140,economies,1.0,1.0
141,economy,6.0,1.0
142,effect,1.0,4.0
143,effectiveness,2.0,1.0
144,efficiency,6.0,1.0
145,effort,4.0,1.0
146,efforts,15.0,13.0
147,election,1.0,2.0
148,elements,5.0,1.0
149,emission,3.0,52.0
150,emissions,141.0,55.0
151,empowerment,1.0,1.0
152,encourages,1.0,5.0
153,end,10.0,7.0
154,energy,153.0,3.0
155,energy,1.0,3.0
156,engagement,29.0,1.0
157,enhance,11.0,7.0
158,enhancement,1.0,1.0
159,entities,7.0,18.0
160,entity,4.0,9.0
161,environment,8.0,3.0
162,environments,2.0,1.0
163,equity,29.0,10.0
164,equivalent,2.0,2.0
165,events,13.0,1.0
166,executive,4.0,3.0
167,experience,5.0,1.0
168,expert,2.0,16.0
169,expertise,3.0,1.0
170,experts,6.0,4.0
171,facility,3.0,3.0
172,factors,10.0,1.0
173,february,12.0,1.0
174,finance,1.0,31.0
175,financial,6.0,3.0
176,findings,1.0,3.0
177,first,1.0,1.0
178,focus,15.0,5.0
179,form,5.0,2.0
180,forms,3.0,3.0
181,forum,13.0,3.0
182,fossil,1.0,1.0
183,framework,15.0,28.0
184,frameworks,3.0,1.0
185,frequency,6.0,1.0
186,fuel,9.0,1.0
187,fund,2.0,14.0
188,funding,2.0,2.0
189,funds,3.0,7.0
190,future,12.0,4.0
