,keyword,Frequency.6,Frequency
0,ability,12.0,1.0
1,accelerate,3.0,1.0
2,access,15.0,7.0
3,accordance,3.0,47.0
4,account,1.0,35.0
5,accountability,1.0,1.0
6,accounting,11.0,13.0
7,accuracy,4.0,2.0
8,achievement,1.0,19.0
9,acquisition,3.0,2.0
10,action,13.0,41.0
11,actions,10.0,28.0
12,activities,30.0,67.0
13,activity,8.0,61.0
14,actors,1.0,1.0
15,adaptation,1.0,68.0
16,addition,31.0,7.0
17,address,5.0,11.0
18,addresses,1.0,1.0
19,adjustments,2.0,41.0
20,administer,1.0,1.0
21,adoption,4.0,14.0
22,advance,12.0,2.0
23,advancement,2.0,1.0
24,advice,1.0,15.0
25,agencies,3.0,1.0
26,aggregate,1.0,1.0
27,agreement,11.0,127.0
28,aims,2.0,1.0
29,align,2.0,1.0
30,ambition,1.0,18.0
31,amount,7.0,7.0
32,annual,4.0,6.0
33,application,3.0,13.0
34,applies,2.0,2.0
35,applying,2.0,1.0
36,approach,49.0,33.0
37,approaches,6.0,51.0
38,appropriate,2.0,4.0
39,approval,2.0,15.0
40,april,3.0,1.0
41,areas,39.0,5.0
42,assessment,13.0,8.0
43,assistance,3.0,5.0
44,assumptions,3.0,1.0
45,assurance,14.0,1.0
46,authorization,1.0,16.0
47,authorizations,1.0,2.0
48,availability,4.0,5.0
49,average,3.0,1.0
50,avoidance,3.0,4.0
51,avoids,1.0,2.0
52,awareness,5.0,1.0
53,balance,1.0,4.0
54,balances,1.0,2.0
55,baseline,8.0,7.0
56,baselines,1.0,8.0
57,basis,21.0,16.0
58,behalf,1.0,1.0
59,benchmark,2.0,1.0
60,benefit,1.0,1.0
61,benefits,4.0,2.0
62,biodiversity,31.0,2.0
63,board,58.0,1.0
64,bodies,1.0,6.0
65,body,2.0,99.0
66,budget,1.0,4.0
67,budgets,1.0,1.0
68,building,9.0,1.0
69,business,113.0,3.0
70,businesses,18.0,2.0
71,calculate,1.0,1.0
72,calculation,8.0,2.0
73,calendar,2.0,3.0
74,capabilities,23.0,2.0
75,capacity,11.0,5.0
76,carbon,152.0,6.0
77,case,5.0,3.0
78,categories,1.0,2.0
79,centre,3.0,1.0
80,certification,3.0,5.0
81,certified,1.0,1.0
82,chair,6.0,4.0
83,challenges,8.0,1.0
84,change,41.0,57.0
85,change,1.0,57.0
86,changes,6.0,1.0
87,children,4.0,10.0
88,choices,1.0,1.0
89,clarifies,1.0,1.0
90,clarity,1.0,1.0
91,clean,3.0,3.0
92,climate,55.0,66.0
93,collaboration,10.0,6.0
94,commit,2.0,1.0
95,commitments,3.0,2.0
96,committee,34.0,12.0
97,committee,1.0,12.0
98,communications,1.0,4.0
99,communities,41.0,17.0
100,community,35.0,1.0
101,comparability,4.0,2.0
102,complements,1.0,1.0
103,completeness,1.0,1.0
104,completion,2.0,1.0
105,compliance,20.0,1.0
106,composition,4.0,2.0
107,comprehensive,2.0,1.0
108,concept,3.0,1.0
109,concern,2.0,12.0
110,concerns,4.0,2.0
111,conditions,8.0,3.0
112,confidential,1.0,2.0
113,conjunction,2.0,4.0
114,consensus,2.0,2.0
115,consequence,1.0,1.0
116,conservation,13.0,1.0
117,consistency,2.0,11.0
118,consistent,4.0,1.0
119,consultation,1.0,3.0
120,contact,1.0,1.0
121,continuation,1.0,2.0
122,contribute,5.0,3.0
123,contribution,5.0,10.0
124,contributions,16.0,21.0
125,convention,1.0,8.0
126,conversion,3.0,3.0
127,cooperation,1.0,5.0
128,coordination,2.0,8.0
129,coronavirus,1.0,1.0
130,costs,6.0,7.0
131,countries,8.0,13.0
132,country,5.0,41.0
133,course,1.0,1.0
134,creation,9.0,4.0
135,culture,29.0,1.0
136,cycle,3.0,5.0
137,data,107.0,3.0
138,database,2.0,12.0
139,date,4.0,3.0
140,decade,2.0,3.0
141,december,2.0,5.0
142,decent,1.0,4.0
143,decision,3.0,81.0
144,decision-making,1.0,2.0
145,decisions,5.0,35.0
146,definitions,4.0,1.0
147,deliver,4.0,3.0
148,delivery,5.0,9.0
149,demand,5.0,1.0
150,demonstrate,1.0,2.0
151,deployment,8.0,1.0
152,describe,4.0,2.0
153,description,7.0,2.0
154,design,22.0,4.0
155,designation,1.0,1.0
156,determination,1.0,2.0
157,develop,3.0,3.0
158,developed,2.0,1.0
159,development,69.0,72.0
160,dialogue,2.0,3.0
161,dioxide,1.0,5.0
162,disabilities,2.0,8.0
163,discussions,2.0,1.0
164,disease,1.0,2.0
165,document,1.0,1.0
166,earth,4.0,1.0
167,economies,1.0,1.0
168,economy,6.0,1.0
169,ecosystems,2.0,2.0
170,effectiveness,5.0,1.0
171,effects,2.0,16.0
172,efficiency,11.0,1.0
173,effort,3.0,1.0
174,efforts,24.0,13.0
175,elements,4.0,1.0
176,emission,3.0,52.0
177,emissions,202.0,55.0
178,empowerment,1.0,1.0
179,encourages,1.0,5.0
180,end,9.0,7.0
181,energy,147.0,3.0
182,engagement,22.0,1.0
183,enhance,6.0,7.0
184,ensure,2.0,2.0
185,entities,3.0,18.0
186,environment,54.0,3.0
187,environments,1.0,1.0
188,equality,4.0,9.0
189,equity,31.0,10.0
190,events,7.0,1.0
191,executive,13.0,3.0
192,expenses,1.0,13.0
193,experience,14.0,1.0
194,expertise,3.0,1.0
195,experts,9.0,4.0
196,facilitate,1.0,2.0
197,facilitates,1.0,1.0
198,facility,17.0,3.0
199,factors,14.0,1.0
200,february,5.0,1.0
201,finance,1.0,31.0
202,financial,5.0,3.0
203,financing,1.0,1.0
204,focus,12.0,5.0
205,forests,1.0,2.0
206,form,6.0,2.0
207,forum,6.0,3.0
208,fossil,1.0,1.0
209,fosters,2.0,1.0
210,framework,9.0,28.0
211,frameworks,8.0,1.0
212,frequency,4.0,1.0
213,fuel,21.0,1.0
214,functions,1.0,7.0
215,fund,7.0,14.0
216,funding,2.0,2.0
217,funds,4.0,7.0
218,future,24.0,4.0
219,gaps,2.0,3.0
220,gas,93.0,12.0
221,generate,1.0,1.0
222,generation,5.0,1.0
223,ghg,99.0,7.0
224,ghgs,50.0,5.0
225,global,17.0,4.0
226,goal,8.0,15.0
227,goals,19.0,12.0
228,governance,24.0,5.0
229,government,19.0,1.0
230,governments,6.0,1.0
231,grants,2.0,1.0
232,greenhouse,8.0,12.0
233,grievance,7.0,2.0
234,group,8.0,6.0
235,groups,10.0,3.0
236,guidance,16.0,33.0
237,guidelines,6.0,6.0
238,half,1.0,1.0
239,health,72.0,8.0
240,help,21.0,1.0
241,holdings,1.0,1.0
242,host,1.0,38.0
243,humankind,2.0,7.0
244,identification,4.0,6.0
245,impact,13.0,1.0
246,impacts,21.0,20.0
247,imperatives,1.0,3.0
248,implement,4.0,3.0
249,implementation,10.0,86.0
250,implications,1.0,6.0
251,importance,2.0,14.0
252,improvement,5.0,1.0
253,improvements,6.0,2.0
254,include,3.0,1.0
255,inclusion,20.0,1.0
256,increase,8.0,12.0
257,indicator,1.0,6.0
258,indicators,6.0,1.0
259,indigenous,7.0,1.0
260,information,44.0,68.0
261,infrastructure,9.0,3.0
262,initiative,12.0,2.0
263,initiatives,9.0,4.0
264,innovation,20.0,1.0
265,input,3.0,1.0
266,inputs,4.0,2.0
267,institutions,2.0,7.0
268,instructions,1.0,1.0
269,instruments,2.0,2.0
270,integrated,2.0,1.0
271,integrity,10.0,4.0
272,inter,2.0,8.0
273,interest,2.0,4.0
274,intergovernmental,2.0,8.0
275,international,12.0,3.0
276,investments,6.0,1.0
277,island,2.0,2.0
278,issue,3.0,1.0
279,issues,41.0,1.0
280,january,2.0,1.0
281,jobs,7.0,4.0
282,june,2.0,6.0
283,justice,11.0,1.0
284,knowledge,3.0,3.0
285,kyoto,1.0,4.0
286,law,3.0,1.0
287,leaders,9.0,2.0
288,leadership,30.0,1.0
289,legislation,2.0,1.0
290,lessons,2.0,3.0
291,level,10.0,15.0
292,levels,9.0,8.0
293,leverage,3.0,1.0
294,line,3.0,6.0
295,loss,5.0,12.0
296,maintain,2.0,3.0
297,make,1.0,1.0
298,management,94.0,1.0
299,mapping,1.0,1.0
300,march,5.0,3.0
301,marine,4.0,1.0
302,matter,8.0,2.0
303,matters,6.0,4.0
304,may,2.0,1.0
305,measures,8.0,17.0
306,mechanism,2.0,87.0
307,mechanisms,7.0,2.0
308,meet,5.0,10.0
309,meeting,2.0,50.0
310,meetings,4.0,8.0
311,meets,3.0,1.0
312,member,11.0,11.0
313,members,12.0,36.0
314,membership,7.0,2.0
315,methane,46.0,1.0
316,method,6.0,7.0
317,methodologies,4.0,22.0
318,methodology,26.0,6.0
319,methods,13.0,4.0
320,metrics,19.0,10.0
321,mitigation,9.0,135.0
322,monitoring,3.0,8.0
323,nations,5.0,4.0
324,nature,3.0,2.0
325,need,1.0,3.0
326,needs,13.0,10.0
327,network,14.0,6.0
328,note,5.0,5.0
329,notes,1.0,10.0
330,november,2.0,12.0
331,number,10.0,4.0
332,objectives,5.0,2.0
333,obligations,1.0,10.0
334,observers,1.0,2.0
335,october,1.0,1.0
336,office,7.0,2.0
337,operate,3.0,2.0
338,operating,5.0,1.0
339,operation,2.0,7.0
340,operations,72.0,1.0
341,opportunities,38.0,3.0
342,options,4.0,7.0
343,order,1.0,9.0
344,organization,23.0,2.0
345,organizations,8.0,8.0
346,outcomes,1.0,20.0
347,package,6.0,1.0
348,page,12.0,1.0
349,pandemic,7.0,1.0
350,panel,2.0,9.0
351,papers,1.0,1.0
352,paris,4.0,126.0
353,part,23.0,13.0
354,participants,6.0,12.0
