,keyword,Frequency.11,Frequency
0,ability,4.0,1.0
1,academia,1.0,1.0
2,access,14.0,8.0
3,accordance,2.0,36.0
4,accounting,3.0,10.0
5,accuracy,1.0,2.0
6,act,2.0,2.0
7,action,1.0,15.0
8,actions,12.0,26.0
9,activities,6.0,14.0
10,acts,1.0,1.0
11,address,3.0,3.0
12,adoption,1.0,6.0
13,advance,1.0,1.0
14,advice,3.0,5.0
15,agencies,4.0,4.0
16,agreement,3.0,179.0
17,amount,4.0,1.0
18,analysis,1.0,1.0
19,application,1.0,4.0
20,approach,10.0,7.0
21,approaches,1.0,8.0
22,april,1.0,3.0
23,areas,11.0,3.0
24,areas,1.0,3.0
25,aspects,1.0,1.0
26,assessment,1.0,2.0
27,assumptions,1.0,10.0
28,awareness,1.0,2.0
29,balance,1.0,5.0
30,baseline,1.0,1.0
31,basis,21.0,12.0
32,bodies,2.0,22.0
33,building,2.0,1.0
34,capabilities,6.0,1.0
35,capacity,3.0,9.0
36,case,1.0,3.0
37,centre,1.0,2.0
38,challenges,7.0,2.0
39,change,16.0,18.0
40,changes,5.0,4.0
41,choice,2.0,1.0
42,climate,9.0,31.0
43,collaboration,1.0,8.0
44,committee,13.0,38.0
45,communication,2.0,36.0
46,communities,28.0,1.0
47,compliance,2.0,1.0
48,component,1.0,7.0
49,concerns,5.0,1.0
50,consequences,2.0,1.0
51,considers,2.0,3.0
52,consistency,3.0,6.0
53,construction,1.0,1.0
54,consultation,1.0,1.0
55,content,2.0,4.0
56,contribution,4.0,32.0
57,contributions,3.0,50.0
58,countries,7.0,28.0
59,country,1.0,41.0
60,coverage,1.0,3.0
61,creation,2.0,1.0
62,data,31.0,5.0
63,date,3.0,3.0
64,days,2.0,2.0
65,decent,2.0,1.0
66,decision,2.0,103.0
67,decisions,3.0,11.0
68,definitions,3.0,2.0
69,description,1.0,2.0
70,development,31.0,15.0
71,document,1.0,5.0
72,economic,1.0,1.0
73,education,15.0,1.0
74,effects,2.0,5.0
75,efficiency,6.0,1.0
76,efforts,5.0,17.0
77,elements,2.0,6.0
78,emission,1.0,3.0
79,emissions,56.0,26.0
80,encourages,1.0,5.0
81,end,1.0,1.0
82,energy,72.0,2.0
83,enhance,2.0,6.0
84,entities,1.0,11.0
85,environment,33.0,3.0
86,environments,3.0,3.0
87,equity,11.0,2.0
88,evaluation,1.0,1.0
89,event,1.0,2.0
90,events,5.0,2.0
91,example,5.0,2.0
92,executive,10.0,2.0
93,experience,3.0,4.0
94,experiences,3.0,1.0
95,experts,1.0,6.0
96,facility,3.0,3.0
97,factors,8.0,1.0
98,february,3.0,2.0
99,finance,1.0,19.0
100,flexibility,1.0,2.0
101,footnote,1.0,1.0
102,framework,2.0,6.0
103,frameworks,1.0,6.0
104,fund,4.0,10.0
105,further,1.0,11.0
106,gas,32.0,10.0
107,gases,1.0,1.0
108,global,6.0,4.0
109,goal,1.0,3.0
110,goals,10.0,4.0
111,greenhouse,10.0,10.0
112,group,5.0,16.0
113,groups,3.0,4.0
114,growth,3.0,1.0
115,guidance,10.0,38.0
116,guide,1.0,2.0
117,guidelines,3.0,7.0
118,help,4.0,1.0
119,ideas,3.0,1.0
120,identification,1.0,3.0
121,impact,6.0,7.0
122,impacts,7.0,14.0
123,implementation,3.0,54.0
124,include,1.0,4.0
125,inclusion,16.0,1.0
126,increase,1.0,3.0
127,indicators,4.0,3.0
128,industry,23.0,1.0
129,inform,1.0,2.0
130,information,18.0,82.0
131,initiatives,4.0,1.0
132,input,1.0,2.0
133,integrate,1.0,1.0
134,integrity,5.0,2.0
135,intention,1.0,1.0
136,inventory,2.0,4.0
137,investments,9.0,1.0
138,issue,1.0,1.0
139,issues,31.0,1.0
140,jobs,5.0,1.0
141,just,2.0,1.0
142,knowledge,3.0,5.0
143,kyoto,1.0,7.0
144,languages,1.0,2.0
145,level,4.0,2.0
146,levels,3.0,7.0
147,limit,1.0,1.0
148,limitations,1.0,1.0
149,line,3.0,11.0
150,manage,9.0,2.0
151,management,33.0,2.0
152,manner,5.0,2.0
153,march,1.0,1.0
154,matter,3.0,5.0
155,matters,2.0,28.0
156,measures,3.0,24.0
157,mechanism,5.0,8.0
158,meeting,5.0,51.0
159,member,1.0,4.0
160,members,6.0,11.0
161,methodologies,2.0,26.0
162,methodology,2.0,1.0
163,methods,7.0,2.0
164,metrics,8.0,6.0
165,monitoring,1.0,1.0
166,national,4.0,3.0
167,nations,8.0,7.0
168,needs,2.0,15.0
169,network,4.0,2.0
170,notes,1.0,8.0
171,number,10.0,3.0
172,office,1.0,2.0
173,opportunities,12.0,1.0
174,options,3.0,3.0
175,order,2.0,6.0
176,organization,7.0,1.0
177,organizations,11.0,14.0
178,outcome,1.0,1.0
179,outcomes,3.0,1.0
180,page,10.0,2.0
181,paris,2.0,180.0
182,part,13.0,9.0
183,participation,1.0,2.0
184,parties,1.0,231.0
185,partner,6.0,2.0
186,parts,1.0,2.0
187,party,1.0,34.0
188,peoples,3.0,2.0
189,period,1.0,3.0
190,periods,1.0,2.0
191,planning,1.0,4.0
192,plans,2.0,16.0
193,point,4.0,12.0
194,policies,6.0,5.0
195,policy,22.0,4.0
196,position,2.0,1.0
197,poverty,2.0,2.0
198,practices,8.0,9.0
199,preparation,1.0,5.0
200,president,2.0,1.0
201,priorities,1.0,7.0
202,priority,3.0,1.0
203,procedures,4.0,18.0
204,process,25.0,3.0
205,processes,8.0,3.0
206,products,7.0,2.0
207,progress,15.0,7.0
208,project,12.0,1.0
209,projections,3.0,2.0
210,projects,9.0,2.0
211,promote,3.0,2.0
212,proposals,1.0,1.0
213,protocol,1.0,7.0
214,provide,1.0,8.0
215,provision,1.0,6.0
216,provisions,1.0,5.0
217,public,3.0,1.0
218,purpose,1.0,1.0
219,purposes,2.0,1.0
220,qualifications,1.0,1.0
221,quality,8.0,1.0
222,recognition,2.0,3.0
223,record,5.0,4.0
224,reduction,4.0,4.0
225,reference,1.0,13.0
226,relationship,1.0,2.0
227,relevant,1.0,1.0
228,report,28.0,14.0
229,reports,4.0,10.0
230,request,1.0,1.0
231,resilience,1.0,2.0
232,resources,22.0,26.0
233,respect,2.0,1.0
234,respond,4.0,1.0
235,response,1.0,23.0
236,responses,1.0,1.0
237,responsibilities,1.0,1.0
238,result,2.0,1.0
239,results,12.0,1.0
240,review,1.0,4.0
241,risk,17.0,1.0
242,risks,29.0,1.0
243,scope,19.0,4.0
244,section,4.0,5.0
245,security,11.0,2.0
246,services,14.0,1.0
247,sessions,2.0,9.0
248,settlements,3.0,1.0
249,share,5.0,1.0
250,source,1.0,3.0
251,sources,11.0,5.0
252,stakeholders,16.0,8.0
253,state,1.0,1.0
254,states,5.0,4.0
255,status,1.0,2.0
256,stock,1.0,1.0
257,stocktake,1.0,9.0
258,strategies,4.0,8.0
259,strengthen,1.0,1.0
260,structure,2.0,2.0
261,support,8.0,44.0
262,system,8.0,1.0
263,systems,8.0,4.0
264,targets,3.0,3.0
265,technology,10.0,8.0
266,term,1.0,2.0
267,terms,6.0,4.0
268,time,6.0,12.0
269,tools,7.0,5.0
270,track,2.0,1.0
271,transition,2.0,2.0
272,transport,1.0,1.0
273,understanding,1.0,2.0
274,united,10.0,7.0
275,use,14.0,8.0
276,users,1.0,5.0
277,values,7.0,2.0
278,variety,2.0,1.0
279,vehicle,3.0,1.0
280,version,2.0,3.0
281,vulnerabilities,2.0,1.0
282,water,72.0,1.0
283,way,19.0,1.0
284,ways,4.0,2.0
