,keyword,Frequency.16,Frequency
0,ability,2.0,1.0
1,absence,5.0,1.0
2,accelerate,2.0,1.0
3,access,40.0,7.0
4,accordance,38.0,47.0
5,account,5.0,35.0
6,accountability,3.0,1.0
7,accounting,4.0,13.0
8,accounts,6.0,1.0
9,accreditation,1.0,2.0
10,accuracy,1.0,2.0
11,achievement,2.0,19.0
12,acquisition,28.0,2.0
13,action,41.0,41.0
14,actions,83.0,28.0
15,activities,129.0,67.0
16,activity,37.0,61.0
17,actor,1.0,1.0
18,actors,3.0,1.0
19,adaptation,4.0,68.0
20,addition,36.0,7.0
21,additions,2.0,1.0
22,address,13.0,11.0
23,addresses,1.0,1.0
24,adjustment,5.0,5.0
25,adjustments,2.0,41.0
26,administrator,1.0,7.0
27,adoption,6.0,14.0
28,adopts,2.0,3.0
29,advance,7.0,2.0
30,advancement,3.0,1.0
31,advice,4.0,15.0
32,agencies,2.0,1.0
33,aggregation,1.0,1.0
34,agreement,29.0,127.0
35,align,1.0,1.0
36,ambition,2.0,18.0
37,amount,32.0,7.0
38,annex,9.0,48.0
39,annual,4.0,6.0
40,application,15.0,13.0
41,applies,3.0,2.0
42,apply,1.0,1.0
43,appreciation,4.0,1.0
44,approach,41.0,33.0
45,approaches,1.0,51.0
46,appropriate,3.0,4.0
47,approval,12.0,15.0
48,april,5.0,1.0
49,areas,144.0,5.0
50,article,2.0,127.0
51,assessment,36.0,8.0
52,assistance,5.0,5.0
53,assumptions,1.0,1.0
54,assurance,37.0,1.0
55,authority,19.0,2.0
56,authorization,2.0,16.0
57,authorizations,9.0,2.0
58,availability,8.0,5.0
59,average,14.0,1.0
60,awareness,3.0,1.0
61,balance,18.0,4.0
62,banks,2.0,3.0
63,baseline,6.0,7.0
64,baselines,6.0,8.0
65,basis,10.0,16.0
66,behalf,1.0,1.0
67,benchmark,5.0,1.0
68,benefit,15.0,1.0
69,benefits,36.0,2.0
70,billion,14.0,1.0
71,biodiversity,79.0,2.0
72,board,119.0,1.0
73,bodies,28.0,6.0
74,body,16.0,99.0
75,boundaries,1.0,1.0
76,budget,9.0,4.0
77,budgets,2.0,1.0
78,building,2.0,1.0
79,business,147.0,3.0
80,businesses,31.0,2.0
81,calculate,1.0,1.0
82,calculation,21.0,2.0
83,cancellation,1.0,14.0
84,capabilities,14.0,2.0
85,capacity,38.0,5.0
86,carbon,49.0,6.0
87,case,14.0,3.0
88,catalyst,1.0,2.0
89,categories,5.0,2.0
90,certification,15.0,5.0
91,certified,1.0,1.0
92,chair,1.0,4.0
93,chair,1.0,4.0
94,challenges,28.0,1.0
