,keyword,Frequency.19,Frequency
0,ability,2.0,1.0
1,academia,2.0,1.0
2,access,5.0,8.0
3,accordance,3.0,36.0
4,account,3.0,14.0
5,act,1.0,2.0
6,action,10.0,15.0
7,actions,20.0,26.0
8,activities,47.0,14.0
9,activity,6.0,3.0
10,adoption,1.0,6.0
11,advice,1.0,5.0
12,agencies,1.0,4.0
13,agreement,4.0,179.0
14,ambition,6.0,1.0
15,amount,3.0,1.0
16,analysis,11.0,1.0
17,application,2.0,4.0
18,approach,16.0,7.0
19,approaches,2.0,8.0
20,areas,28.0,3.0
21,arrangements,2.0,7.0
22,aspects,1.0,1.0
23,assessment,5.0,2.0
24,assist,1.0,1.0
25,assumptions,6.0,10.0
26,availability,1.0,7.0
27,awareness,13.0,2.0
28,balance,1.0,5.0
29,baseline,6.0,1.0
30,basis,20.0,12.0
31,bodies,1.0,22.0
32,building,7.0,1.0
33,capabilities,6.0,1.0
34,capability,2.0,2.0
35,capacity,10.0,9.0
36,case,3.0,3.0
37,centre,2.0,2.0
38,challenges,3.0,2.0
39,change,20.0,18.0
40,changes,7.0,4.0
41,channels,2.0,2.0
42,chapter,1.0,1.0
43,choice,1.0,1.0
44,climate,45.0,31.0
45,collaboration,10.0,8.0
46,committee,25.0,38.0
47,communicate,1.0,1.0
48,communication,7.0,36.0
49,communications,1.0,32.0
50,communities,13.0,1.0
51,comparability,1.0,1.0
52,comparison,1.0,1.0
53,compliance,14.0,1.0
54,component,1.0,7.0
55,concern,1.0,1.0
56,concerns,9.0,1.0
57,conference,2.0,53.0
58,consideration,1.0,24.0
59,considerations,3.0,2.0
60,constraints,1.0,2.0
61,construction,4.0,1.0
62,consultation,2.0,1.0
63,content,8.0,4.0
64,contents,1.0,1.0
65,context,8.0,2.0
66,continue,1.0,1.0
67,contribution,2.0,32.0
68,contributions,7.0,50.0
69,cooperation,1.0,3.0
70,countries,14.0,28.0
71,country,5.0,41.0
72,creation,5.0,1.0
73,criteria,3.0,1.0
74,data,34.0,5.0
75,date,3.0,3.0
76,days,3.0,2.0
77,decision,4.0,103.0
78,decisions,6.0,11.0
79,definitions,3.0,2.0
80,development,56.0,15.0
81,dialogue,3.0,1.0
82,disturbances,1.0,2.0
83,draft,1.0,6.0
84,economic,6.0,1.0
85,economy,1.0,1.0
86,education,6.0,1.0
87,effects,7.0,5.0
88,efficiency,23.0,1.0
89,efforts,15.0,17.0
90,element,2.0,1.0
91,elements,3.0,6.0
92,emission,16.0,3.0
93,emissions,87.0,26.0
94,end,3.0,1.0
95,energy,142.0,2.0
96,enhance,1.0,6.0
97,entities,2.0,11.0
98,environment,24.0,3.0
99,environments,1.0,3.0
100,equity,13.0,2.0
101,estimation,1.0,1.0
102,evaluation,1.0,1.0
103,event,2.0,2.0
104,events,6.0,2.0
105,example,4.0,2.0
106,examples,4.0,2.0
107,exchange,1.0,3.0
108,executive,10.0,2.0
109,experience,6.0,4.0
110,experiences,1.0,1.0
111,experts,3.0,6.0
112,facilitate,1.0,7.0
113,factors,16.0,1.0
114,february,1.0,2.0
115,fields,9.0,1.0
116,financial,6.0,8.0
117,fisheries,1.0,1.0
118,flexibility,2.0,2.0
119,forests,2.0,2.0
120,forum,5.0,12.0
121,framework,10.0,6.0
122,functions,2.0,9.0
123,fund,1.0,10.0
124,gaps,2.0,2.0
125,gas,106.0,10.0
126,gases,2.0,1.0
127,general,1.0,1.0
128,global,15.0,4.0
129,goal,2.0,3.0
130,goals,12.0,4.0
131,greenhouse,13.0,10.0
132,group,19.0,16.0
133,groups,5.0,4.0
134,growth,7.0,1.0
135,guidance,2.0,38.0
136,guide,1.0,2.0
137,guidelines,2.0,7.0
138,help,3.0,1.0
139,ideas,1.0,1.0
140,impact,25.0,7.0
141,impacts,20.0,14.0
142,implementation,13.0,54.0
143,importance,5.0,5.0
144,incentives,2.0,1.0
145,include,1.0,4.0
146,inclusion,9.0,1.0
147,increase,15.0,3.0
148,indicator,8.0,1.0
149,indicators,14.0,3.0
150,industry,31.0,1.0
151,inform,1.0,2.0
152,information,18.0,82.0
153,initiatives,10.0,1.0
154,input,1.0,2.0
155,institutions,5.0,6.0
156,integrity,10.0,2.0
157,interaction,2.0,1.0
158,intergovernmental,1.0,7.0
159,investments,21.0,1.0
160,ipcc,2.0,10.0
161,issues,22.0,1.0
162,jobs,5.0,1.0
163,lands,1.0,2.0
164,level,10.0,2.0
165,levels,12.0,7.0
166,line,12.0,11.0
167,maintenance,1.0,1.0
168,manage,7.0,2.0
169,management,48.0,2.0
170,matters,1.0,28.0
171,measures,5.0,24.0
172,mechanism,1.0,8.0
173,meeting,1.0,51.0
174,meetings,9.0,3.0
175,member,1.0,4.0
176,members,4.0,11.0
177,methodologies,1.0,26.0
178,methodology,1.0,1.0
179,metrics,3.0,6.0
180,minimize,1.0,1.0
181,mining,1.0,1.0
182,model,3.0,1.0
183,models,2.0,1.0
184,monitoring,4.0,1.0
185,move,1.0,1.0
186,name,1.0,1.0
187,national,2.0,3.0
188,nations,9.0,7.0
189,need,1.0,2.0
190,needs,2.0,15.0
191,network,2.0,2.0
192,november,2.0,7.0
193,number,40.0,3.0
194,operation,5.0,15.0
