,keyword,Frequency.6,Frequency
0,ability,6.0,2.0
1,access,18.0,9.0
2,accordance,2.0,27.0
3,account,2.0,29.0
4,accuracy,2.0,2.0
5,achieve,2.0,1.0
6,achievement,1.0,4.0
7,act,6.0,2.0
8,action,15.0,43.0
9,actions,3.0,52.0
10,activities,35.0,16.0
11,activity,3.0,1.0
12,addition,10.0,3.0
13,address,15.0,5.0
14,adoption,2.0,33.0
15,advice,4.0,16.0
16,africa,10.0,1.0
17,agencies,3.0,3.0
18,agency,6.0,2.0
19,agenda,1.0,5.0
20,aggregate,1.0,1.0
21,agreement,2.0,246.0
22,agreements,5.0,2.0
23,aim,2.0,4.0
24,amendment,1.0,2.0
25,america,10.0,1.0
26,amount,3.0,1.0
27,analysis,16.0,1.0
28,application,12.0,2.0
29,appointment,1.0,2.0
30,approach,38.0,1.0
31,approach,1.0,1.0
32,approaches,7.0,19.0
33,appropriate,1.0,7.0
34,approval,1.0,9.0
35,april,4.0,6.0
36,area,11.0,2.0
37,areas,36.0,3.0
38,arrangements,1.0,16.0
39,aspects,7.0,1.0
40,assess,3.0,2.0
41,assessment,21.0,8.0
42,assessments,16.0,5.0
43,assistance,1.0,4.0
44,assumptions,1.0,1.0
45,attention,4.0,2.0
46,authorities,4.0,2.0
47,authority,3.0,2.0
48,availability,4.0,1.0
49,awareness,7.0,5.0
50,balance,2.0,4.0
51,barriers,5.0,1.0
52,basis,7.0,16.0
53,behalf,4.0,1.0
54,benefit,5.0,1.0
55,benefits,11.0,5.0
56,biodiversity,23.0,1.0
57,bodies,1.0,25.0
58,build,3.0,1.0
59,building,8.0,3.0
60,bureau,1.0,2.0
61,capabilities,10.0,6.0
62,capacities,1.0,6.0
63,capacity,23.0,12.0
64,carbon,13.0,2.0
65,case,19.0,1.0
66,cases,9.0,1.0
67,categories,1.0,2.0
68,centre,2.0,5.0
69,century,2.0,1.0
70,certification,4.0,1.0
71,challenge,6.0,1.0
72,challenges,20.0,2.0
73,change,28.0,52.0
74,children,3.0,2.0
75,climate,27.0,62.0
76,collaboration,7.0,2.0
77,commitment,21.0,1.0
78,committee,17.0,31.0
79,communicate,5.0,5.0
80,communication,10.0,7.0
81,communications,1.0,5.0
82,communities,40.0,6.0
83,compensation,19.0,1.0
84,completeness,3.0,2.0
85,compliance,13.0,2.0
86,component,3.0,1.0
87,comprehensive,2.0,2.0
88,concern,5.0,4.0
89,concerns,36.0,1.0
90,conditions,9.0,1.0
91,conduct,23.0,3.0
92,conference,4.0,120.0
93,conjunction,1.0,8.0
94,consensus,3.0,1.0
95,conservation,30.0,3.0
96,conserve,1.0,1.0
97,consideration,2.0,29.0
98,consistency,4.0,5.0
99,consultation,15.0,4.0
100,consumption,12.0,1.0
101,contents,2.0,1.0
102,continuous,1.0,1.0
103,contribute,1.0,1.0
104,contribution,3.0,23.0
105,contributions,21.0,44.0
106,convention,3.0,84.0
107,cooperation,6.0,11.0
108,costs,4.0,2.0
109,countries,57.0,23.0
110,country,27.0,70.0
111,cover,2.0,1.0
112,coverage,1.0,1.0
113,creation,2.0,1.0
114,criteria,6.0,1.0
115,cultures,5.0,1.0
116,cycle,17.0,2.0
117,damage,3.0,7.0
118,date,4.0,11.0
119,day,14.0,6.0
120,december,1.0,2.0
121,decision,1.0,32.0
122,decision-making,2.0,1.0
123,decisions,7.0,17.0
124,define,3.0,1.0
125,delivery,1.0,2.0
126,demonstration,2.0,1.0
127,deployment,8.0,2.0
128,design,21.0,1.0
129,detail,2.0,1.0
130,development,106.0,46.0
131,development,1.0,46.0
132,dialogue,11.0,3.0
133,disaster,3.0,1.0
134,displacement,1.0,1.0
135,document,3.0,1.0
136,documents,3.0,1.0
137,durban,2.0,5.0
138,earth,2.0,1.0
139,economies,13.0,1.0
140,education,16.0,4.0
141,effectiveness,2.0,5.0
142,effects,4.0,10.0
143,effort,9.0,2.0
144,efforts,26.0,40.0
145,election,3.0,1.0
146,emergency,15.0,1.0
147,emerging,2.0,1.0
148,emission,3.0,18.0
149,emissions,81.0,29.0
150,encouraging,2.0,1.0
151,energy,146.0,3.0
152,engagement,28.0,2.0
153,english,2.0,1.0
154,enhance,7.0,18.0
155,enhanced,1.0,4.0
156,enhancing,1.0,1.0
157,entities,2.0,9.0
158,entity,1.0,1.0
159,environment,36.0,6.0
160,environments,6.0,3.0
161,equality,2.0,2.0
162,equity,10.0,6.0
163,eradication,2.0,2.0
164,establishes,2.0,1.0
165,establishment,1.0,1.0
166,events,14.0,5.0
167,exchange,4.0,3.0
168,execution,13.0,1.0
169,executive,12.0,9.0
170,exercise,3.0,4.0
171,expenses,5.0,1.0
172,experience,9.0,4.0
173,experiences,4.0,8.0
174,experts,7.0,1.0
175,facilities,31.0,1.0
176,facility,25.0,6.0
177,features,1.0,1.0
178,february,2.0,1.0
179,fields,6.0,1.0
180,finance,1.0,15.0
181,financial,1.0,10.0
182,financing,1.0,1.0
183,findings,4.0,1.0
184,flexibility,3.0,7.0
185,food,2.0,3.0
186,force,1.0,9.0
187,forms,3.0,1.0
188,formulate,1.0,2.0
189,forum,4.0,1.0
190,foster,1.0,1.0
191,foundation,8.0,1.0
192,framework,30.0,20.0
193,frequency,2.0,1.0
194,functions,5.0,8.0
195,fund,1.0,6.0
196,gaps,1.0,3.0
197,gas,109.0,19.0
198,gases,1.0,5.0
199,gender,6.0,1.0
200,global,27.0,7.0
201,goal,15.0,10.0
202,goals,18.0,1.0
203,governance,11.0,1.0
204,government,22.0,1.0
205,greenhouse,20.0,21.0
206,group,19.0,24.0
207,groups,15.0,4.0
208,growth,22.0,1.0
209,guidance,16.0,22.0
210,guidelines,22.0,15.0
211,headquarters,5.0,1.0
212,health,81.0,3.0
213,host,7.0,2.0
214,house,1.0,1.0
215,ideas,2.0,1.0
216,identify,10.0,3.0
