,keyword,Frequency.28,Frequency
0,access,24.0,8.0
1,accordance,27.0,36.0
2,account,28.0,14.0
3,accounting,6.0,10.0
4,accuracy,2.0,2.0
5,achievement,14.0,1.0
6,action,18.0,15.0
7,actions,15.0,26.0
8,activities,177.0,14.0
9,activity,15.0,3.0
10,adaptation,2.0,143.0
11,address,2.0,3.0
12,adoption,3.0,6.0
13,adopts,1.0,2.0
14,advance,1.0,1.0
15,advice,3.0,5.0
16,agencies,3.0,4.0
17,agreement,33.0,179.0
18,agriculture,2.0,2.0
19,alia,6.0,9.0
20,ambition,1.0,1.0
21,amount,23.0,1.0
22,amount,1.0,1.0
23,analysis,16.0,1.0
24,application,11.0,4.0
25,approach,32.0,7.0
26,approaches,6.0,8.0
27,approval,17.0,1.0
28,april,5.0,3.0
29,areas,88.0,3.0
30,arrangements,4.0,7.0
31,article,2.0,116.0
32,articles,5.0,5.0
33,aspects,20.0,1.0
34,assessment,39.0,2.0
35,assistance,5.0,6.0
36,assumptions,1.0,10.0
37,availability,4.0,7.0
38,avoid,1.0,2.0
39,awareness,8.0,2.0
40,balance,7.0,5.0
41,barriers,8.0,2.0
42,baseline,11.0,1.0
43,basis,40.0,12.0
44,beneficiaries,1.0,1.0
45,bodies,47.0,22.0
46,body,11.0,12.0
47,building,8.0,1.0
48,burden,1.0,2.0
49,capabilities,5.0,1.0
50,capacities,8.0,3.0
51,capacity,41.0,9.0
52,case,5.0,3.0
53,categories,9.0,7.0
54,centre,2.0,2.0
55,challenges,6.0,2.0
56,change,41.0,18.0
57,changes,27.0,4.0
58,channels,6.0,2.0
59,chapter,10.0,1.0
60,check,2.0,1.0
61,choice,3.0,1.0
62,circumstances,1.0,13.0
63,clarity,1.0,9.0
64,climate,58.0,31.0
65,coherence,1.0,2.0
66,collaboration,23.0,8.0
67,collaboration,1.0,8.0
68,committee,59.0,38.0
69,communication,13.0,36.0
70,communications,13.0,32.0
71,communities,41.0,1.0
72,comparability,2.0,1.0
73,comparison,1.0,1.0
74,completeness,1.0,1.0
75,compliance,66.0,1.0
76,components,2.0,4.0
77,concerns,7.0,1.0
78,conference,15.0,53.0
79,confirm,1.0,1.0
80,consequences,10.0,1.0
81,consideration,3.0,24.0
82,consistency,1.0,6.0
83,constraints,1.0,2.0
84,construction,83.0,1.0
85,consultation,1.0,1.0
86,contact,4.0,1.0
87,contacts,4.0,1.0
88,content,25.0,4.0
89,contents,2.0,1.0
90,context,1.0,2.0
91,continue,1.0,1.0
92,contribute,3.0,1.0
93,contributes,1.0,4.0
94,contribution,52.0,32.0
95,contributions,1.0,50.0
96,cooperation,63.0,3.0
97,countries,56.0,28.0
98,country,1.0,41.0
99,country,14.0,41.0
100,coverage,4.0,3.0
101,creation,7.0,1.0
102,criteria,11.0,1.0
103,data,3.0,5.0
104,data,39.0,5.0
105,date,3.0,3.0
106,days,10.0,2.0
107,december,44.0,16.0
108,decent,2.0,1.0
109,decision,3.0,103.0
110,decisions,10.0,11.0
111,definitions,1.0,2.0
112,depositary,1.0,1.0
113,description,6.0,2.0
114,development,288.0,15.0
115,dialogue,18.0,1.0
116,differences,3.0,1.0
117,diversification,2.0,8.0
118,document,11.0,5.0
119,documents,28.0,8.0
120,domestic,4.0,1.0
121,draft,7.0,6.0
122,economic,17.0,1.0
123,economy,24.0,1.0
124,education,54.0,1.0
125,effectiveness,5.0,6.0
126,effects,6.0,5.0
127,efficiency,75.0,1.0
128,effort,6.0,2.0
129,efforts,29.0,17.0
130,element,5.0,1.0
131,emission,1.0,3.0
132,emissions,102.0,26.0
133,end,41.0,1.0
134,energy,348.0,2.0
135,enhance,11.0,6.0
136,entities,93.0,11.0
137,environment,46.0,3.0
138,environments,2.0,3.0
139,equity,1.0,2.0
140,evaluation,7.0,1.0
141,event,11.0,2.0
142,events,1.0,2.0
143,events,41.0,2.0
144,example,6.0,2.0
145,examples,7.0,2.0
146,exchange,19.0,3.0
147,executive,11.0,2.0
148,experience,9.0,4.0
149,expert,8.0,12.0
150,experts,12.0,6.0
151,explanation,1.0,2.0
152,expo,1.0,1.0
153,facilitate,1.0,7.0
154,facility,11.0,3.0
155,factors,20.0,1.0
156,features,3.0,3.0
157,february,5.0,2.0
158,fields,29.0,1.0
159,finance,2.0,19.0
160,financial,14.0,8.0
161,flexibility,1.0,2.0
162,forestry,1.0,1.0
163,forests,3.0,2.0
164,format,3.0,2.0
165,forum,18.0,12.0
166,framework,17.0,6.0
167,frameworks,1.0,6.0
168,functions,6.0,9.0
169,fund,2.0,10.0
170,gas,742.0,10.0
171,gases,4.0,1.0
172,general,32.0,1.0
173,geography,6.0,2.0
174,global,13.0,4.0
175,goal,11.0,3.0
176,goals,43.0,4.0
177,green,2.0,2.0
178,greenhouse,25.0,10.0
179,group,994.0,16.0
180,groups,30.0,4.0
181,growth,18.0,1.0
182,guidance,7.0,38.0
183,guidelines,5.0,7.0
184,has,1.0,2.0
185,help,8.0,1.0
186,identification,14.0,3.0
187,impact,63.0,7.0
188,impacts,25.0,14.0
189,implementation,76.0,54.0
190,implications,3.0,7.0
191,importance,8.0,5.0
192,incentives,8.0,1.0
193,include,1.0,4.0
194,inclusion,1.0,1.0
195,increase,18.0,3.0
196,indicator,45.0,1.0
197,indicators,25.0,3.0
198,indicators,3.0,3.0
199,industry,23.0,1.0
200,inform,2.0,2.0
201,information,119.0,82.0
202,information,1.0,82.0
203,initiatives,1.0,1.0
204,initiatives,56.0,1.0
205,input,2.0,2.0
206,institutions,46.0,6.0
207,instruments,2.0,7.0
208,integrate,1.0,1.0
209,integration,3.0,1.0
210,integrity,2.0,2.0
211,intention,1.0,1.0
212,interaction,18.0,1.0
213,intergovernmental,1.0,7.0
214,internet,2.0,4.0
215,inventory,1.0,4.0
216,investments,33.0,1.0
217,ipcc,1.0,10.0
218,island,4.0,1.0
219,issue,2.0,1.0
220,issues,25.0,1.0
221,item,4.0,1.0
222,jobs,9.0,1.0
223,june,13.0,9.0
224,knowledge,15.0,5.0
225,lands,7.0,2.0
226,language,1.0,2.0
227,languages,3.0,2.0
228,level,34.0,2.0
229,levels,17.0,7.0
230,line,31.0,11.0
231,look,1.0,1.0
232,maintenance,11.0,1.0
233,manage,5.0,2.0
234,management,301.0,2.0
235,manner,4.0,2.0
236,march,6.0,1.0
237,matter,2.0,5.0
238,matters,15.0,28.0
239,measures,60.0,24.0
240,mechanism,7.0,8.0
241,meeting,14.0,51.0
242,meetings,34.0,3.0
243,members,48.0,11.0
244,methodologies,2.0,26.0
245,methodology,6.0,1.0
246,methods,8.0,2.0
247,minimize,3.0,1.0
248,mining,2.0,1.0
249,mitigation,8.0,20.0
250,model,16.0,1.0
251,models,3.0,1.0
252,monitoring,32.0,1.0
253,move,1.0,1.0
254,name,37.0,1.0
255,national,40.0,3.0
256,nations,5.0,7.0
257,nature,8.0,2.0
258,navigation,1.0,2.0
259,needs,16.0,15.0
260,network,18.0,2.0
261,note,2.0,8.0
262,november,9.0,7.0
263,number,2.0,3.0
264,number,132.0,3.0
265,obligations,16.0,1.0
266,observers,1.0,1.0
267,office,9.0,2.0
268,official,5.0,2.0
269,operation,60.0,15.0
270,opportunities,20.0,1.0
271,order,55.0,6.0
272,order,1.0,6.0
273,organization,34.0,1.0
274,organizations,52.0,14.0
275,original,1.0,1.0
276,outcome,2.0,1.0
277,outcomes,4.0,1.0
278,page,50.0,2.0
279,page,4.0,2.0
280,panel,2.0,7.0
281,paper,2.0,1.0
282,papers,1.0,1.0
283,parameters,4.0,1.0
284,paris,2.0,180.0
285,part,97.0,9.0
286,participation,28.0,2.0
287,parties,16.0,231.0
288,partner,10.0,2.0
289,parts,2.0,2.0
290,party,2.0,34.0
291,peoples,30.0,2.0
292,percentage,9.0,1.0
293,period,63.0,3.0
294,periods,6.0,2.0
295,plan,25.0,4.0
296,planning,9.0,4.0
297,plans,23.0,16.0
298,platform,9.0,3.0
299,point,7.0,12.0
300,points,5.0,2.0
301,policies,15.0,5.0
302,policy,107.0,4.0
303,portal,3.0,2.0
304,position,7.0,1.0
305,poverty,2.0,2.0
306,practices,17.0,9.0
307,predictability,1.0,1.0
308,preparation,12.0,5.0
309,prepare,3.0,4.0
310,president,2.0,1.0
311,principle,8.0,1.0
312,priorities,6.0,7.0
313,priority,12.0,1.0
314,procedures,37.0,18.0
315,process,110.0,3.0
316,processes,10.0,3.0
317,products,43.0,2.0
318,progress,10.0,7.0
319,project,90.0,1.0
320,project,1.0,1.0
321,projects,112.0,2.0
322,promote,11.0,2.0
323,proposals,12.0,1.0
324,prototype,1.0,2.0
325,provide,2.0,8.0
326,provides,1.0,6.0
327,provision,4.0,6.0
328,provisions,9.0,5.0
329,public,12.0,1.0
330,purpose,2.0,1.0
331,purposes,13.0,1.0
332,pursuant,4.0,1.0
333,qualifications,11.0,1.0
334,quality,73.0,1.0
335,receipt,1.0,1.0
336,recognition,2.0,3.0
337,recommendations,11.0,8.0
338,record,4.0,4.0
339,reduction,46.0,4.0
340,reference,48.0,13.0
341,regions,74.0,1.0
342,regions,1.0,1.0
343,relation,14.0,12.0
344,relevant,5.0,1.0
345,report,717.0,14.0
346,reports,12.0,10.0
347,requests,6.0,29.0
348,resilience,2.0,2.0
349,resources,93.0,26.0
350,respect,14.0,1.0
351,response,15.0,23.0
352,responses,5.0,1.0
353,responsibilities,2.0,1.0
354,responsiveness,2.0,1.0
355,result,22.0,1.0
356,results,53.0,1.0
357,review,5.0,4.0
358,risk,67.0,1.0
359,risks,89.0,1.0
360,scientific,3.0,5.0
361,scope,25.0,4.0
362,second,1.0,1.0
363,section,56.0,5.0
364,sections,8.0,1.0
365,sector,14.0,1.0
366,sector,14.0,2.0
367,sectors,2.0,4.0
368,security,13.0,2.0
369,services,52.0,1.0
370,session,7.0,28.0
371,sessions,7.0,9.0
372,settlements,5.0,1.0
373,share,85.0,1.0
374,source,14.0,3.0
375,sources,26.0,5.0
376,special,1.0,3.0
377,specific,2.0,2.0
378,stakeholders,61.0,8.0
379,state,53.0,1.0
380,states,7.0,4.0
381,status,15.0,2.0
382,steps,11.0,2.0
383,stock,9.0,1.0
384,strategies,3.0,8.0
385,strengthen,6.0,1.0
386,structure,19.0,2.0
387,studies,7.0,3.0
388,submission,1.0,9.0
389,submissions,1.0,6.0
390,submit,2.0,3.0
391,subsidiary,7.0,30.0
392,support,57.0,44.0
393,synthesis,1.0,5.0
394,system,139.0,1.0
395,systems,34.0,4.0
396,target,71.0,3.0
397,targets,77.0,3.0
398,technological,5.0,5.0
399,technology,13.0,8.0
400,temperature,4.0,1.0
401,term,4.0,2.0
402,terms,27.0,4.0
403,time,26.0,12.0
404,title,1.0,2.0
405,tools,8.0,5.0
406,towards,6.0,3.0
407,track,1.0,1.0
408,transfer,1.0,2.0
409,transformation,3.0,1.0
410,transition,6.0,2.0
411,transmission,13.0,1.0
412,transparency,10.0,12.0
413,transport,16.0,1.0
414,type,9.0,2.0
415,types,14.0,2.0
416,united,5.0,7.0
417,use,75.0,8.0
418,users,2.0,5.0
419,values,39.0,2.0
420,values,1.0,2.0
421,variety,6.0,1.0
422,vehicle,29.0,1.0
423,version,11.0,3.0
424,view,6.0,10.0
425,views,2.0,7.0
426,water,149.0,1.0
427,way,21.0,1.0
428,ways,3.0,2.0
429,web,8.0,2.0
430,work,40.0,33.0
431,working,5.0,3.0
432,workshop,3.0,1.0
433,workshops,2.0,5.0
434,world,24.0,1.0
435,year,90.0,10.0
436,years,50.0,3.0
