,keyword,Frequency.44,Frequency
0,ability,1.0,1.0
1,academia,1.0,1.0
2,access,8.0,8.0
3,accessibility,1.0,1.0
4,accordance,3.0,36.0
5,account,2.0,14.0
6,achievement,1.0,1.0
7,act,14.0,2.0
8,action,8.0,15.0
9,actions,13.0,26.0
10,activities,18.0,14.0
11,activity,7.0,3.0
12,acts,2.0,1.0
13,adaptation,3.0,143.0
14,address,5.0,3.0
15,adoption,2.0,6.0
16,agencies,3.0,4.0
17,agreement,6.0,179.0
18,agriculture,1.0,2.0
19,amount,3.0,1.0
20,analysis,12.0,1.0
21,any,4.0,1.0
22,applicable,1.0,1.0
23,application,20.0,4.0
24,approach,9.0,7.0
25,approval,3.0,1.0
26,april,6.0,3.0
27,areas,17.0,3.0
28,articles,1.0,5.0
29,aspects,6.0,1.0
30,aspirations,2.0,1.0
31,assessment,19.0,2.0
32,assistance,3.0,6.0
33,availability,5.0,7.0
34,avoid,1.0,2.0
35,awareness,9.0,2.0
36,balance,7.0,5.0
37,basis,13.0,12.0
38,bodies,5.0,22.0
39,body,1.0,12.0
40,building,8.0,1.0
41,burden,1.0,2.0
42,capabilities,5.0,1.0
43,capability,3.0,2.0
44,capacity,27.0,9.0
45,carry,1.0,1.0
46,case,3.0,3.0
47,categories,6.0,7.0
48,centre,24.0,2.0
49,challenges,12.0,2.0
50,change,13.0,18.0
51,changes,2.0,4.0
52,channels,1.0,2.0
53,check,3.0,1.0
54,choice,2.0,1.0
55,circumstances,1.0,13.0
56,clarity,1.0,9.0
57,climate,9.0,31.0
58,collaboration,6.0,8.0
59,committee,38.0,38.0
60,communication,7.0,36.0
61,communications,4.0,32.0
62,communities,9.0,1.0
63,comparison,1.0,1.0
64,compliance,10.0,1.0
65,component,3.0,7.0
66,concern,7.0,1.0
67,concerns,11.0,1.0
68,conference,4.0,53.0
69,connections,4.0,2.0
70,consequences,2.0,1.0
71,consideration,3.0,24.0
72,considerations,1.0,2.0
73,considers,3.0,3.0
74,constraints,1.0,2.0
75,construction,3.0,1.0
76,consultation,3.0,1.0
77,contact,2.0,1.0
78,content,1.0,4.0
79,contribution,8.0,32.0
80,contributions,1.0,50.0
81,convention,4.0,16.0
82,conventions,3.0,1.0
83,countries,5.0,28.0
84,country,19.0,41.0
85,coverage,1.0,3.0
86,creation,1.0,1.0
87,data,15.0,5.0
88,date,4.0,3.0
89,days,8.0,2.0
90,december,3.0,16.0
91,decent,2.0,1.0
92,decision,1.0,103.0
93,decisions,6.0,11.0
94,deposit,2.0,1.0
95,description,1.0,2.0
96,development,41.0,15.0
97,disaster,16.0,1.0
98,documents,1.0,8.0
99,economic,99.0,1.0
100,education,5.0,1.0
101,effects,2.0,5.0
102,effort,9.0,2.0
103,efforts,10.0,17.0
104,element,2.0,1.0
105,emission,12.0,3.0
106,emissions,45.0,26.0
107,encourages,1.0,5.0
108,end,2.0,1.0
109,energy,106.0,2.0
110,environment,34.0,3.0
111,environments,1.0,3.0
112,equity,2.0,2.0
113,estimate,1.0,1.0
114,evaluation,1.0,1.0
115,event,3.0,2.0
116,events,11.0,2.0
117,example,1.0,2.0
118,exchange,3.0,3.0
119,executive,8.0,2.0
120,experience,2.0,4.0
121,experiences,1.0,1.0
122,expert,2.0,12.0
123,explanation,13.0,2.0
124,facility,5.0,3.0
125,factors,4.0,1.0
126,features,5.0,3.0
127,february,3.0,2.0
128,file,2.0,1.0
129,finance,1.0,19.0
130,financial,8.0,8.0
131,format,1.0,2.0
132,forum,7.0,12.0
133,framework,5.0,6.0
134,frameworks,1.0,6.0
135,functions,8.0,9.0
136,fund,9.0,10.0
137,further,1.0,11.0
138,gas,54.0,10.0
139,gases,2.0,1.0
140,general,10.0,1.0
141,global,13.0,4.0
142,goal,2.0,3.0
143,goals,3.0,4.0
144,green,4.0,2.0
145,greenhouse,2.0,10.0
146,group,17.0,16.0
147,groups,2.0,4.0
148,growth,13.0,1.0
149,guidelines,27.0,7.0
150,help,7.0,1.0
151,ideas,10.0,1.0
152,impact,16.0,7.0
153,impacts,11.0,14.0
154,implementation,6.0,54.0
155,implications,1.0,7.0
156,importance,11.0,5.0
157,include,1.0,4.0
158,increase,9.0,3.0
159,indicators,1.0,3.0
160,industry,23.0,1.0
161,information,48.0,82.0
162,initiatives,22.0,1.0
163,input,1.0,2.0
164,institutions,2.0,6.0
165,integrate,1.0,1.0
166,integration,5.0,1.0
167,integrity,13.0,2.0
168,internet,1.0,4.0
169,interventions,2.0,2.0
170,inventory,4.0,4.0
171,investments,1.0,1.0
172,issues,45.0,1.0
173,jobs,1.0,1.0
174,knowledge,6.0,5.0
175,kyoto,1.0,7.0
176,lands,1.0,2.0
177,languages,1.0,2.0
178,lessons,1.0,6.0
179,level,22.0,2.0
180,levels,10.0,7.0
181,limit,3.0,1.0
182,limitations,11.0,1.0
183,line,12.0,11.0
184,maintenance,5.0,1.0
185,manage,3.0,2.0
186,management,74.0,2.0
187,manner,7.0,2.0
188,march,16.0,1.0
189,matter,7.0,5.0
190,matters,2.0,28.0
191,measures,19.0,24.0
192,mechanism,9.0,8.0
193,meetings,19.0,3.0
194,member,3.0,4.0
195,members,6.0,11.0
196,methods,1.0,2.0
197,minimize,1.0,1.0
198,mining,2.0,1.0
199,mitigation,10.0,20.0
200,modalities,1.0,31.0
201,monitoring,5.0,1.0
202,name,6.0,1.0
203,national,15.0,3.0
204,nations,7.0,7.0
205,nature,4.0,2.0
206,navigation,1.0,2.0
207,need,1.0,2.0
208,needs,7.0,15.0
209,network,18.0,2.0
210,note,1.0,8.0
211,november,2.0,7.0
212,number,27.0,3.0
213,office,1.0,2.0
214,operation,7.0,15.0
215,opportunities,8.0,1.0
216,options,2.0,3.0
217,order,17.0,6.0
218,organization,32.0,1.0
219,organizations,5.0,14.0
220,outcomes,3.0,1.0
221,page,17.0,2.0
222,panel,1.0,7.0
223,paper,23.0,1.0
224,papers,4.0,1.0
225,parameters,5.0,1.0
226,paris,3.0,180.0
227,part,17.0,9.0
228,participation,9.0,2.0
229,parties,1.0,231.0
230,partner,4.0,2.0
231,party,9.0,34.0
232,percentage,3.0,1.0
233,period,5.0,3.0
234,plan,10.0,4.0
235,planning,6.0,4.0
236,plans,2.0,16.0
237,platform,4.0,3.0
238,point,4.0,12.0
239,points,8.0,2.0
240,policies,8.0,5.0
241,policy,45.0,4.0
242,portal,5.0,2.0
243,position,10.0,1.0
244,poverty,3.0,2.0
245,practices,16.0,9.0
246,principle,8.0,1.0
247,priorities,1.0,7.0
248,priority,3.0,1.0
249,procedures,4.0,18.0
250,process,19.0,3.0
251,processes,5.0,3.0
252,products,34.0,2.0
253,programme,14.0,15.0
254,programmes,7.0,3.0
255,progress,3.0,7.0
256,project,45.0,1.0
257,projections,1.0,2.0
258,projects,23.0,2.0
259,promote,3.0,2.0
260,proposals,2.0,1.0
261,provide,2.0,8.0
262,provision,2.0,6.0
263,provisions,6.0,5.0
264,public,26.0,1.0
265,purpose,1.0,1.0
266,purposes,1.0,1.0
267,pursuant,1.0,1.0
268,quality,14.0,1.0
269,recognition,7.0,3.0
270,recognize,1.0,1.0
271,recommendations,2.0,8.0
272,recommends,1.0,1.0
273,record,4.0,4.0
274,reduction,19.0,4.0
275,reference,2.0,13.0
276,regions,1.0,1.0
277,relationship,8.0,2.0
278,relevant,1.0,1.0
279,report,132.0,14.0
280,reports,6.0,10.0
281,representation,1.0,1.0
282,resilience,1.0,2.0
283,resources,13.0,26.0
284,respect,3.0,1.0
285,respond,2.0,1.0
286,response,11.0,23.0
287,responses,1.0,1.0
288,responsibilities,3.0,1.0
289,result,3.0,1.0
290,results,5.0,1.0
291,review,3.0,4.0
292,revisions,2.0,1.0
293,risk,45.0,1.0
294,risks,19.0,1.0
295,roles,1.0,2.0
296,row,2.0,2.0
297,scope,17.0,4.0
298,section,7.0,5.0
299,sections,3.0,1.0
300,sector,32.0,1.0
301,sector,32.0,2.0
302,sectors,5.0,4.0
303,security,36.0,2.0
304,services,28.0,1.0
305,session,1.0,28.0
306,sessions,6.0,9.0
307,share,13.0,1.0
308,source,3.0,3.0
309,sources,6.0,5.0
310,special,1.0,3.0
311,stakeholders,45.0,8.0
312,state,15.0,1.0
313,states,2.0,4.0
314,status,6.0,2.0
315,steps,6.0,2.0
316,stock,2.0,1.0
317,strategies,5.0,8.0
318,strengthen,1.0,1.0
319,structure,2.0,2.0
320,studies,2.0,3.0
321,submit,1.0,3.0
322,support,9.0,44.0
323,system,25.0,1.0
324,systems,16.0,4.0
325,target,10.0,3.0
326,targets,3.0,3.0
327,technological,1.0,5.0
328,technology,110.0,8.0
329,temperature,3.0,1.0
330,term,6.0,2.0
331,terms,10.0,4.0
332,time,23.0,12.0
333,title,13.0,2.0
334,tools,2.0,5.0
335,tourism,1.0,1.0
336,towards,21.0,3.0
337,track,2.0,1.0
338,transformation,1.0,1.0
339,transition,5.0,2.0
340,transparency,15.0,12.0
341,transport,5.0,1.0
342,type,3.0,2.0
343,understanding,1.0,2.0
344,undertaken,2.0,6.0
345,united,11.0,7.0
346,use,5.0,8.0
347,users,3.0,5.0
348,values,5.0,2.0
349,variety,3.0,1.0
350,vehicle,1.0,1.0
351,view,3.0,10.0
352,vulnerability,1.0,2.0
353,water,80.0,1.0
354,water,1.0,1.0
355,way,7.0,1.0
356,ways,1.0,2.0
357,web,1.0,2.0
358,wishes,1.0,1.0
359,work,19.0,33.0
360,workforce,7.0,1.0
361,working,2.0,3.0
362,workshops,11.0,5.0
363,world,15.0,1.0
364,year,137.0,10.0
365,years,14.0,3.0
