,keyword,Frequency.33,Frequency
0,ability,2.0,1.0
1,academia,1.0,1.0
2,acceptance,1.0,1.0
3,access,4.0,8.0
4,accordance,10.0,36.0
5,account,3.0,14.0
6,accounting,2.0,10.0
7,accuracy,3.0,2.0
8,action,6.0,15.0
9,actions,3.0,26.0
10,activities,14.0,14.0
11,activity,2.0,3.0
12,address,2.0,3.0
13,adequacy,1.0,4.0
14,agencies,3.0,4.0
15,agreement,4.0,179.0
16,alia,1.0,9.0
17,ambition,1.0,1.0
18,amount,8.0,1.0
19,analysis,6.0,1.0
20,application,2.0,4.0
21,appreciation,2.0,4.0
22,approach,16.0,7.0
23,april,7.0,3.0
24,areas,10.0,3.0
25,aspects,5.0,1.0
26,assessment,11.0,2.0
27,assist,1.0,1.0
28,assistance,3.0,6.0
29,assumptions,2.0,10.0
30,attendance,2.0,1.0
31,availability,3.0,7.0
32,awareness,10.0,2.0
33,balance,2.0,5.0
34,basis,10.0,12.0
35,bodies,7.0,22.0
36,body,5.0,12.0
37,building,6.0,1.0
38,capabilities,3.0,1.0
39,capability,1.0,2.0
40,capacities,1.0,3.0
41,capacity,17.0,9.0
42,carry,1.0,1.0
43,case,11.0,3.0
44,centre,3.0,2.0
45,challenges,2.0,2.0
46,change,10.0,18.0
47,changes,7.0,4.0
48,chapter,2.0,1.0
49,check,1.0,1.0
50,clarifications,2.0,1.0
51,climate,5.0,31.0
52,collaboration,2.0,8.0
53,committee,12.0,38.0
54,common,3.0,2.0
55,communication,11.0,36.0
56,communications,11.0,32.0
57,communities,3.0,1.0
58,compilation,1.0,1.0
59,compliance,16.0,1.0
60,concern,3.0,1.0
61,concerns,7.0,1.0
62,concrete,1.0,1.0
63,connections,1.0,2.0
64,construction,9.0,1.0
65,consultation,1.0,1.0
66,contact,1.0,1.0
67,content,5.0,4.0
68,contribution,2.0,32.0
69,contributions,1.0,50.0
70,convention,3.0,16.0
71,cooperation,1.0,3.0
72,countries,1.0,28.0
73,country,9.0,41.0
74,coverage,2.0,3.0
75,creation,1.0,1.0
76,criteria,3.0,1.0
77,data,21.0,5.0
78,date,9.0,3.0
79,days,4.0,2.0
80,december,2.0,16.0
81,decision,1.0,103.0
82,decisions,3.0,11.0
83,deposit,1.0,1.0
84,description,8.0,2.0
85,development,14.0,15.0
86,differences,1.0,1.0
87,document,1.0,5.0
88,documents,3.0,8.0
89,draft,1.0,6.0
90,economic,4.0,1.0
91,economy,5.0,1.0
92,education,5.0,1.0
93,effects,1.0,5.0
94,efficiency,3.0,1.0
95,effort,4.0,2.0
96,efforts,7.0,17.0
97,element,1.0,1.0
98,elements,1.0,6.0
99,emissions,28.0,26.0
100,end,5.0,1.0
101,energy,13.0,2.0
102,enhance,6.0,6.0
103,enhanced,3.0,1.0
104,entities,3.0,11.0
105,environment,33.0,3.0
106,environments,1.0,3.0
107,event,4.0,2.0
108,events,3.0,2.0
109,example,2.0,2.0
110,exchange,2.0,3.0
111,executive,7.0,2.0
112,experience,6.0,4.0
113,facility,5.0,3.0
114,fields,4.0,1.0
115,file,1.0,1.0
116,finance,3.0,19.0
117,financial,6.0,8.0
118,framework,9.0,6.0
119,further,4.0,11.0
120,gaps,2.0,2.0
121,gas,103.0,10.0
122,gases,12.0,1.0
123,general,12.0,1.0
124,global,8.0,4.0
125,goal,3.0,3.0
126,goals,3.0,4.0
127,green,18.0,2.0
128,greenhouse,9.0,10.0
129,group,9.0,16.0
130,groups,3.0,4.0
131,growth,4.0,1.0
132,guidelines,11.0,7.0
133,identification,3.0,3.0
