,keyword,Frequency.38,Frequency
0,ability,1,2.0
1,acceptance,1,7.0
2,access,13,9.0
3,accordance,9,27.0
4,account,14,29.0
5,accounting,10,4.0
6,achieve,2,1.0
7,act,15,2.0
8,action,20,43.0
9,actions,74,52.0
10,activities,81,16.0
11,activity,5,1.0
12,addition,52,3.0
13,address,3,5.0
14,adjustment,4,1.0
15,adoption,6,33.0
16,advice,1,16.0
17,africa,6,1.0
18,agencies,16,3.0
19,agency,11,2.0
20,agenda,12,5.0
21,agreement,17,246.0
22,agreements,19,2.0
23,aim,4,4.0
24,america,14,1.0
25,amount,40,1.0
26,analysis,14,1.0
27,annex,1,3.0
28,annexes,9,4.0
29,application,7,2.0
30,appointment,1,2.0
31,appreciation,1,1.0
32,approach,2,1.0
33,approaches,3,19.0
34,approval,5,9.0
35,april,5,6.0
36,area,107,2.0
37,areas,99,3.0
38,article,1,127.0
39,aspects,17,1.0
40,assembly,1,1.0
41,assess,4,2.0
42,assessment,25,8.0
43,assessments,11,5.0
44,assistance,2,4.0
45,assumptions,3,1.0
46,authorities,4,2.0
47,availability,8,1.0
48,awareness,6,5.0
49,balance,7,4.0
50,barriers,4,1.0
51,basis,7,16.0
52,being,3,1.0
53,benefit,6,1.0
54,benefits,20,5.0
55,biodiversity,44,1.0
56,bodies,12,25.0
57,body,14,31.0
58,building,13,3.0
59,bureau,1,2.0
60,calls,1,1.0
61,capacities,1,6.0
62,capacity,53,12.0
63,carbon,19,2.0
64,case,17,1.0
65,cases,23,1.0
66,categories,11,2.0
67,certification,10,1.0
68,challenge,4,1.0
69,challenges,17,2.0
70,change,25,52.0
71,channels,19,1.0
72,children,18,2.0
73,cities,11,2.0
74,clarity,1,7.0
75,climate,18,62.0
76,coherence,1,4.0
77,collaboration,1,2.0
78,collective,1,1.0
79,commitment,26,1.0
80,committee,30,31.0
81,communicate,1,5.0
82,communication,20,7.0
83,communications,22,5.0
84,communities,45,6.0
85,compensation,21,1.0
86,compliance,18,2.0
87,concept,2,1.0
88,concerns,11,1.0
89,conditions,28,1.0
90,conduct,9,3.0
91,conference,5,120.0
92,confidence,1,1.0
93,consensus,2,1.0
94,conservation,19,3.0
95,consideration,1,29.0
96,considers,1,2.0
97,consistency,1,5.0
98,constraints,1,1.0
99,consultation,1,4.0
100,consumption,30,1.0
101,contains,1,2.0
102,contents,7,1.0
103,context,2,8.0
104,continuity,4,1.0
105,continuous,1,1.0
106,contribute,1,1.0
107,contributes,1,1.0
108,contribution,15,23.0
109,contributions,23,44.0
110,convention,3,84.0
111,cooperation,8,11.0
112,coordination,4,6.0
113,costs,15,2.0
114,countries,49,23.0
115,country,22,70.0
116,cover,2,1.0
117,coverage,4,1.0
118,creation,7,1.0
119,criteria,14,1.0
120,cultures,1,1.0
121,cycle,9,2.0
122,cycles,4,1.0
123,damage,3,7.0
124,date,3,11.0
125,day,28,6.0
126,december,21,2.0
127,decent,1,1.0
128,decision,4,32.0
129,decisions,5,17.0
130,decrease,2,1.0
131,define,2,1.0
132,delivery,9,2.0
133,demonstration,2,1.0
134,deployment,8,2.0
135,depositary,1,7.0
136,design,5,1.0
137,developed,3,10.0
138,development,119,46.0
139,dialogue,8,3.0
140,dimensions,5,1.0
141,disabilities,3,2.0
142,disseminate,3,1.0
143,dissemination,8,3.0
144,diversification,1,3.0
145,document,5,1.0
146,documents,4,1.0
147,doha,1,1.0
148,draft,1,3.0
149,duplication,1,2.0
150,durban,1,5.0
151,economies,1,1.0
152,ecosystems,2,1.0
153,education,35,4.0
154,effect,4,6.0
155,effects,7,10.0
156,effort,1,2.0
157,efforts,7,40.0
158,elaboration,1,2.0
159,election,4,1.0
160,emergency,27,1.0
161,emission,1,18.0
162,emissions,75,29.0
163,encourages,4,3.0
164,energy,115,3.0
165,engagement,10,2.0
166,engagements,2,1.0
167,english,3,1.0
168,enhance,3,18.0
169,enhancement,1,5.0
170,entities,14,9.0
171,entity,4,1.0
172,entry,9,5.0
173,environment,88,6.0
174,environments,4,3.0
175,equality,7,2.0
176,equity,15,6.0
177,eradication,2,2.0
178,event,9,3.0
179,events,8,5.0
180,examination,1,5.0
181,exchange,29,3.0
182,execution,1,1.0
183,executive,41,9.0
184,exercise,2,4.0
185,expenses,1,1.0
186,experience,4,4.0
187,experiences,1,8.0
188,experts,5,1.0
189,explanation,2,1.0
190,extension,2,1.0
191,extent,2,2.0
192,facilitate,3,4.0
193,facilities,30,1.0
194,facility,4,6.0
195,features,1,1.0
196,february,3,1.0
197,fields,19,1.0
198,finance,5,15.0
199,financial,17,10.0
200,financing,1,1.0
201,flexibility,4,7.0
202,flows,2,1.0
203,food,13,3.0
204,force,5,9.0
205,forests,2,5.0
206,forms,10,1.0
207,forum,4,1.0
208,foster,3,1.0
209,foundation,5,1.0
210,framework,3,20.0
211,frequency,4,1.0
212,function,4,1.0
213,functions,4,8.0
214,fund,17,6.0
215,funds,10,1.0
216,gaps,2,3.0
217,gas,291,19.0
218,gases,3,5.0
219,gender,18,1.0
220,general,17,1.0
221,global,18,7.0
222,goal,9,10.0
223,goals,17,1.0
224,governance,45,1.0
225,government,37,1.0
226,green,6,3.0
227,greenhouse,17,21.0
228,group,19,24.0
229,groups,13,4.0
230,growth,31,1.0
231,guidance,9,22.0
232,guidelines,39,15.0
233,half,8,1.0
234,health,92,3.0
235,identify,2,3.0
236,impact,13,2.0
237,impacts,49,10.0
238,implementation,14,84.0
239,implications,1,1.0
240,importance,5,16.0
241,improvement,14,2.0
242,incentives,4,3.0
243,include,2,2.0
244,increase,38,7.0
245,information,107,43.0
246,initiative,17,5.0
247,initiatives,32,7.0
248,innovation,8,1.0
249,input,5,2.0
250,inputs,3,1.0
251,institutions,23,9.0
252,instrument,3,2.0
253,instruments,1,8.0
254,insurance,28,3.0
255,integration,10,12.0
256,integrity,6,6.0
257,intergovernmental,1,4.0
258,international,31,9.0
259,interventions,1,2.0
260,introduction,3,1.0
261,inventory,7,2.0
262,island,2,4.0
263,issue,8,1.0
264,issues,49,1.0
265,january,4,1.0
266,jobs,2,1.0
