,keyword,Frequency.25,Frequency
0,ability,10.0,1.0
1,absence,1.0,1.0
2,accelerate,3.0,1.0
3,accelerating,1.0,1.0
4,access,13.0,7.0
5,accordance,24.0,47.0
6,account,5.0,35.0
7,accountability,6.0,1.0
8,accounting,9.0,13.0
9,accreditation,3.0,2.0
10,accuracy,3.0,2.0
11,achievement,5.0,19.0
12,acquisition,1.0,2.0
13,action,28.0,41.0
14,actions,9.0,28.0
15,activities,47.0,67.0
16,activity,6.0,61.0
17,addition,6.0,7.0
18,address,3.0,11.0
19,adjustment,3.0,5.0
20,adjustments,2.0,41.0
21,advance,2.0,2.0
22,advancement,1.0,1.0
23,advice,1.0,15.0
24,agencies,4.0,1.0
25,agreement,6.0,127.0
26,ambition,2.0,18.0
27,amount,16.0,7.0
28,annual,4.0,6.0
29,application,18.0,13.0
30,appointment,1.0,1.0
31,approach,4.0,33.0
32,approval,3.0,15.0
33,april,1.0,1.0
34,areas,65.0,5.0
35,arrangements,2.0,12.0
36,assessment,24.0,8.0
37,assist,1.0,2.0
38,assistance,8.0,5.0
39,assumptions,1.0,1.0
40,assurance,21.0,1.0
41,authority,5.0,2.0
42,authorization,3.0,16.0
43,availability,1.0,5.0
44,average,6.0,1.0
45,avoidance,1.0,4.0
46,awareness,4.0,1.0
47,balance,3.0,4.0
48,basis,19.0,16.0
49,behaviour,1.0,1.0
50,benefit,6.0,1.0
51,benefits,9.0,2.0
52,biodiversity,21.0,2.0
53,board,73.0,1.0
54,bodies,1.0,6.0
55,body,4.0,99.0
56,boundaries,1.0,1.0
57,budgets,1.0,1.0
58,building,29.0,1.0
59,business,121.0,3.0
60,businesses,40.0,2.0
61,calculation,5.0,2.0
62,cancellation,2.0,14.0
63,capabilities,16.0,2.0
64,capacity,27.0,5.0
65,carbon,132.0,6.0
66,case,16.0,3.0
67,categories,6.0,2.0
68,centralized,1.0,4.0
69,certification,13.0,5.0
70,chair,2.0,4.0
71,challenges,2.0,1.0
72,change,31.0,57.0
73,changes,5.0,1.0
74,chapter,6.0,92.0
75,chapters,2.0,3.0
76,check,2.0,5.0
77,children,1.0,10.0
78,circumstances,2.0,13.0
79,clean,16.0,3.0
80,climate,33.0,66.0
81,coal,28.0,1.0
82,collaboration,1.0,6.0
83,commit,2.0,1.0
84,commitments,3.0,2.0
85,committee,31.0,12.0
86,communicate,1.0,2.0
87,communications,2.0,4.0
88,communities,27.0,17.0
89,community,59.0,1.0
90,comparability,3.0,2.0
91,complements,1.0,1.0
92,completion,1.0,1.0
93,compliance,63.0,1.0
94,composition,3.0,2.0
95,comprehensive,7.0,1.0
96,concept,7.0,1.0
97,concerns,6.0,2.0
98,conditions,11.0,3.0
99,conference,2.0,36.0
100,confidentiality,2.0,3.0
101,consequence,1.0,1.0
102,conservation,28.0,1.0
103,consideration,4.0,29.0
104,consistency,5.0,11.0
105,consultation,15.0,3.0
106,contents,5.0,1.0
107,context,1.0,9.0
108,contribution,17.0,10.0
109,contributions,4.0,21.0
110,convene,2.0,1.0
111,convention,10.0,8.0
112,conversion,6.0,3.0
113,cooperation,22.0,5.0
114,coordination,6.0,8.0
115,corresponding,2.0,6.0
116,costs,1.0,7.0
117,countries,21.0,13.0
118,country,10.0,41.0
119,course,3.0,1.0
120,creation,1.0,4.0
121,culture,16.0,1.0
122,cultures,1.0,1.0
123,cycle,5.0,5.0
124,damage,2.0,12.0
125,data,58.0,3.0
126,database,2.0,12.0
127,date,1.0,3.0
128,december,4.0,5.0
129,decent,4.0,4.0
130,decision,2.0,81.0
131,decision-making,4.0,2.0
132,decisions,2.0,35.0
133,demand,8.0,1.0
134,demonstration,28.0,2.0
135,deployment,2.0,1.0
136,describe,9.0,2.0
137,description,22.0,2.0
138,descriptions,1.0,1.0
139,design,4.0,4.0
140,development,267.0,72.0
141,dioxide,15.0,5.0
142,discretion,1.0,1.0
143,discussions,4.0,1.0
144,diverse,1.0,1.0
145,diversification,1.0,4.0
146,documents,1.0,2.0
147,earth,5.0,1.0
148,economies,3.0,1.0
149,economy,7.0,1.0
150,ecosystems,1.0,2.0
151,effect,2.0,4.0
152,effectiveness,3.0,1.0
153,effects,1.0,16.0
154,efficiency,33.0,1.0
155,effort,7.0,1.0
156,efforts,18.0,13.0
157,election,1.0,2.0
158,elements,4.0,1.0
159,emission,78.0,52.0
160,emissions,105.0,55.0
161,empowerment,2.0,1.0
162,end,6.0,7.0
163,energy,297.0,3.0
164,engagement,9.0,1.0
165,enhance,16.0,7.0
166,enhancement,3.0,1.0
167,enhances,1.0,1.0
168,ensure,2.0,2.0
169,ensuring,2.0,1.0
170,entities,11.0,18.0
171,entity,1.0,9.0
172,environment,85.0,3.0
173,environments,4.0,1.0
174,equality,6.0,9.0
175,equivalent,11.0,2.0
176,establish,1.0,2.0
177,events,10.0,1.0
178,executive,5.0,3.0
179,expenses,1.0,13.0
180,experience,11.0,1.0
181,expert,2.0,16.0
182,experts,9.0,4.0
183,explanation,3.0,3.0
184,facility,5.0,3.0
185,factor,7.0,1.0
186,factors,8.0,1.0
187,february,1.0,1.0
188,finance,4.0,31.0
189,financial,5.0,3.0
190,findings,2.0,3.0
191,first,5.0,1.0
192,focus,4.0,5.0
193,form,5.0,2.0
194,forms,12.0,3.0
195,formulation,1.0,1.0
196,fossil,10.0,1.0
197,framework,12.0,28.0
198,fuel,13.0,1.0
199,functions,4.0,7.0
200,fund,2.0,14.0
201,funding,2.0,2.0
202,funds,7.0,7.0
203,further,5.0,5.0
204,future,8.0,4.0
205,gas,263.0,12.0
206,gases,2.0,2.0
207,generation,15.0,1.0
208,ghg,22.0,7.0
209,ghgs,4.0,5.0
210,global,15.0,4.0
211,goal,12.0,15.0
212,goals,28.0,12.0
213,governance,131.0,5.0
214,government,14.0,1.0
215,governments,13.0,1.0
216,greenhouse,23.0,12.0
217,group,6.0,6.0
218,groups,4.0,3.0
219,guidance,8.0,33.0
220,guidelines,12.0,6.0
221,half,3.0,1.0
222,health,85.0,8.0
223,help,11.0,1.0
224,hereinafter,3.0,14.0
225,host,5.0,38.0
226,humankind,1.0,7.0
227,identification,8.0,6.0
228,identifying,1.0,3.0
229,impact,28.0,1.0
230,impacts,4.0,20.0
231,impartiality,1.0,1.0
232,implement,6.0,3.0
233,implementation,42.0,86.0
234,importance,30.0,14.0
235,improvement,34.0,1.0
236,improvements,3.0,2.0
237,incentives,5.0,1.0
238,include,1.0,1.0
239,inclusion,1.0,1.0
240,incorporation,1.0,1.0
241,increase,16.0,12.0
242,increment,1.0,1.0
243,indicator,11.0,6.0
244,indicators,21.0,1.0
245,information,47.0,68.0
246,infrastructure,9.0,3.0
247,initiative,6.0,2.0
248,initiatives,8.0,4.0
249,innovation,26.0,1.0
250,input,1.0,1.0
251,institutions,6.0,7.0
252,instruments,2.0,2.0
253,integrated,1.0,1.0
254,integrity,15.0,4.0
255,interest,2.0,4.0
256,international,18.0,3.0
257,inventory,1.0,1.0
258,issuance,3.0,11.0
259,issue,6.0,1.0
260,issues,32.0,1.0
261,january,1.0,1.0
262,jobs,2.0,4.0
263,june,3.0,6.0
264,justice,4.0,1.0
265,knowledge,7.0,3.0
266,law,48.0,1.0
267,leaders,4.0,2.0
268,leadership,3.0,1.0
269,leakage,10.0,7.0
270,level,18.0,15.0
271,levels,16.0,8.0
272,limits,1.0,4.0
273,line,8.0,6.0
274,links,3.0,1.0
275,loss,4.0,12.0
276,maintain,3.0,3.0
277,make,1.0,1.0
278,management,311.0,1.0
279,manner,22.0,16.0
280,march,3.0,3.0
281,marine,2.0,1.0
282,matter,3.0,2.0
283,matters,14.0,4.0
284,means,8.0,2.0
285,measures,67.0,17.0
286,mechanism,27.0,87.0
287,mechanisms,1.0,2.0
288,meet,4.0,10.0
289,meeting,14.0,50.0
290,meetings,26.0,8.0
291,meets,2.0,1.0
292,member,6.0,11.0
293,members,7.0,36.0
294,membership,2.0,2.0
295,methane,22.0,1.0
296,method,6.0,7.0
297,methodologies,1.0,22.0
298,methodology,1.0,6.0
299,methods,14.0,4.0
300,metrics,2.0,10.0
301,minimum,1.0,1.0
302,mitigation,2.0,135.0
303,monitoring,33.0,8.0
304,nations,9.0,4.0
305,nature,15.0,2.0
306,needs,7.0,10.0
307,network,9.0,6.0
308,nomination,2.0,1.0
309,note,5.0,5.0
310,notify,1.0,1.0
311,november,2.0,12.0
312,number,38.0,4.0
313,objectives,8.0,2.0
314,obligations,1.0,10.0
315,office,8.0,2.0
316,operate,2.0,2.0
317,operating,5.0,1.0
318,operation,64.0,7.0
319,operations,22.0,1.0
320,opportunities,22.0,3.0
321,order,27.0,9.0
322,organization,14.0,2.0
323,organizations,5.0,8.0
324,outcomes,2.0,20.0
325,page,7.0,1.0
326,pandemic,3.0,1.0
327,parameters,2.0,1.0
328,paris,3.0,126.0
329,part,2.0,13.0
330,participants,1.0,12.0
331,participates,1.0,2.0
332,participation,12.0,30.0
333,parties,1.0,209.0
334,partnerships,2.0,1.0
335,party,6.0,108.0
336,people,52.0,9.0
337,percentage,21.0,1.0
338,perform,3.0,1.0
339,period,3.0,36.0
340,periods,3.0,18.0
341,persons,8.0,8.0
342,physical,1.0,1.0
343,place,11.0,4.0
344,plan,49.0,2.0
345,planning,10.0,1.0
346,plans,13.0,7.0
347,platform,23.0,17.0
348,policies,34.0,10.0
349,policy,11.0,1.0
350,poverty,19.0,8.0
351,power,46.0,2.0
352,practice,6.0,2.0
353,practices,21.0,2.0
354,prepare,1.0,2.0
355,press,1.0,1.0
356,principle,6.0,1.0
357,principles,19.0,2.0
