,keyword,Frequency.56,Frequency
0,ability,3.0,2.0
1,access,2.0,9.0
2,accordance,1.0,27.0
3,account,1.0,29.0
4,achievement,1.0,4.0
5,act,2.0,2.0
6,action,4.0,43.0
7,actions,1.0,52.0
8,activities,22.0,16.0
9,addition,3.0,3.0
10,africa,9.0,1.0
11,agreement,3.0,246.0
12,aim,2.0,4.0
13,america,6.0,1.0
14,amount,1.0,1.0
15,analysis,2.0,1.0
16,approach,15.0,1.0
17,approval,1.0,9.0
18,area,8.0,2.0
19,areas,23.0,3.0
20,arrangements,1.0,16.0
21,assessment,11.0,8.0
22,assessments,6.0,5.0
23,assistance,1.0,4.0
24,authorities,1.0,2.0
25,authority,1.0,2.0
26,availability,1.0,1.0
27,awareness,4.0,5.0
28,balance,3.0,4.0
29,basis,3.0,16.0
30,benefit,4.0,1.0
31,benefits,2.0,5.0
32,biodiversity,13.0,1.0
33,body,4.0,31.0
34,build,1.0,1.0
35,building,1.0,3.0
36,capabilities,4.0,6.0
37,capacity,9.0,12.0
38,capacity-building,2.0,24.0
39,carbon,15.0,2.0
40,case,3.0,1.0
41,cases,4.0,1.0
42,categories,1.0,2.0
43,centre,5.0,5.0
44,centres,1.0,1.0
45,challenge,1.0,1.0
46,challenges,6.0,2.0
47,champion,1.0,4.0
48,change,9.0,52.0
49,children,6.0,2.0
50,clarity,1.0,7.0
51,climate,9.0,62.0
52,collaboration,1.0,2.0
53,commitment,2.0,1.0
54,committee,5.0,31.0
55,communicate,3.0,5.0
56,communication,1.0,7.0
57,communities,10.0,6.0
58,complement,1.0,2.0
59,completeness,1.0,2.0
60,compliance,1.0,2.0
61,comprehensive,1.0,2.0
62,concern,1.0,4.0
63,concerns,3.0,1.0
64,conduct,4.0,3.0
65,conservation,13.0,3.0
66,consistency,3.0,5.0
67,consultation,2.0,4.0
68,consumption,8.0,1.0
69,contents,2.0,1.0
70,contribute,1.0,1.0
71,contribution,1.0,23.0
72,coordination,1.0,6.0
73,countries,15.0,23.0
74,country,1.0,70.0
75,creation,1.0,1.0
76,cycles,1.0,1.0
77,damage,2.0,7.0
78,date,3.0,11.0
79,december,1.0,2.0
80,decisions,2.0,17.0
81,decrease,1.0,1.0
82,demonstration,1.0,1.0
83,development,56.0,46.0
84,dissemination,1.0,3.0
85,document,2.0,1.0
86,documents,1.0,1.0
87,durban,1.0,5.0
88,economies,1.0,1.0
89,education,16.0,4.0
90,effect,2.0,6.0
91,effectiveness,1.0,5.0
92,effort,3.0,2.0
93,efforts,7.0,40.0
94,emergency,4.0,1.0
95,emissions,29.0,29.0
96,encouraging,1.0,1.0
97,energy,35.0,3.0
98,engagement,2.0,2.0
99,engagements,3.0,1.0
100,enhance,6.0,18.0
101,enhancement,5.0,5.0
102,entity,3.0,1.0
103,entry,1.0,5.0
104,environment,25.0,6.0
105,environments,2.0,3.0
106,equity,1.0,6.0
107,eradication,1.0,2.0
108,establishment,3.0,1.0
109,event,1.0,3.0
110,executive,6.0,9.0
111,exercise,2.0,4.0
112,experience,1.0,4.0
113,experts,2.0,1.0
114,facilities,15.0,1.0
115,facility,8.0,6.0
116,february,3.0,1.0
117,fields,1.0,1.0
118,financial,4.0,10.0
119,findings,1.0,1.0
120,food,2.0,3.0
121,force,1.0,9.0
122,forms,1.0,1.0
123,forum,1.0,1.0
124,foundation,1.0,1.0
125,framework,6.0,20.0
126,frequency,8.0,1.0
127,function,1.0,1.0
128,functions,1.0,8.0
129,further,1.0,1.0
130,gas,82.0,19.0
131,gases,2.0,5.0
132,gender,1.0,1.0
133,general,1.0,1.0
134,global,7.0,7.0
135,goal,3.0,10.0
136,goals,1.0,1.0
137,governance,14.0,1.0
138,government,3.0,1.0
