,keyword,Frequency.17,Frequency
0,ability,8.0,1.0
1,absence,1.0,1.0
2,access,10.0,7.0
3,accordance,37.0,47.0
4,account,23.0,35.0
5,accounting,6.0,13.0
6,accounts,5.0,1.0
7,accreditation,7.0,2.0
8,accuracy,4.0,2.0
9,achievement,14.0,19.0
10,acquisition,2.0,2.0
11,action,141.0,41.0
12,actions,46.0,28.0
13,activities,138.0,67.0
14,activity,12.0,61.0
15,adaptation,5.0,68.0
16,addition,25.0,7.0
17,additions,1.0,1.0
18,address,6.0,11.0
19,adjustment,1.0,5.0
20,adjustments,1.0,41.0
21,adoption,4.0,14.0
22,advance,2.0,2.0
23,advancement,1.0,1.0
24,advice,1.0,15.0
25,agencies,9.0,1.0
26,aggregation,1.0,1.0
27,agreement,58.0,127.0
28,aims,1.0,1.0
29,amendments,5.0,1.0
30,amount,11.0,7.0
31,annex,1.0,48.0
32,annual,22.0,6.0
33,application,9.0,13.0
34,applies,2.0,2.0
35,apply,3.0,1.0
36,applying,1.0,1.0
37,appointment,2.0,1.0
38,approach,118.0,33.0
39,approaches,14.0,51.0
40,appropriate,1.0,4.0
41,approval,7.0,15.0
42,april,6.0,1.0
43,areas,92.0,5.0
44,arrangements,1.0,12.0
45,assessment,35.0,8.0
46,assistance,4.0,5.0
47,assumptions,1.0,1.0
48,assurance,40.0,1.0
49,authority,3.0,2.0
50,availability,6.0,5.0
51,average,15.0,1.0
52,avoidance,1.0,4.0
53,awareness,5.0,1.0
54,balance,7.0,4.0
55,banks,2.0,3.0
56,baseline,2.0,7.0
57,baselines,1.0,8.0
58,basis,28.0,16.0
59,behaviour,3.0,1.0
60,benefit,3.0,1.0
61,benefits,12.0,2.0
62,billion,1.0,1.0
63,biodiversity,37.0,2.0
64,board,82.0,1.0
65,bodies,41.0,6.0
66,body,8.0,99.0
67,boundaries,6.0,1.0
68,budget,4.0,4.0
69,budgets,9.0,1.0
70,building,14.0,1.0
71,business,245.0,3.0
72,businesses,8.0,2.0
73,calculation,4.0,2.0
74,calls,4.0,4.0
75,capabilities,12.0,2.0
76,capacity,9.0,5.0
77,carbon,181.0,6.0
78,case,17.0,3.0
79,catalyst,13.0,2.0
80,categories,7.0,2.0
81,centre,61.0,1.0
82,centres,7.0,2.0
83,certification,16.0,5.0
84,challenges,9.0,1.0
85,champions,4.0,2.0
86,change,42.0,57.0
87,changes,22.0,1.0
88,chapter,9.0,92.0
89,check,1.0,5.0
90,children,17.0,10.0
91,circumstances,1.0,13.0
92,clean,4.0,3.0
93,climate,186.0,66.0
94,coal,6.0,1.0
95,collaboration,2.0,6.0
96,commitments,10.0,2.0
97,committee,52.0,12.0
98,common,1.0,1.0
99,communicate,1.0,2.0
100,communications,5.0,4.0
101,communities,22.0,17.0
102,community,8.0,1.0
103,complements,1.0,1.0
104,completeness,3.0,1.0
105,completion,8.0,1.0
106,compliance,110.0,1.0
107,composition,2.0,2.0
108,comprehensive,6.0,1.0
109,concept,9.0,1.0
110,concerns,6.0,2.0
111,conditions,47.0,3.0
112,conference,18.0,36.0
113,confidential,1.0,2.0
114,confidentiality,3.0,3.0
115,conflicts,15.0,1.0
116,consequence,1.0,1.0
117,conservation,47.0,1.0
118,consideration,1.0,29.0
119,considers,2.0,1.0
120,consistency,3.0,11.0
121,consultation,1.0,3.0
122,contact,9.0,1.0
123,contents,1.0,1.0
124,context,1.0,9.0
125,contribute,2.0,3.0
126,contributes,1.0,1.0
127,contribution,19.0,10.0
128,contributions,13.0,21.0
129,convention,7.0,8.0
130,conversion,5.0,3.0
131,cooperation,61.0,5.0
132,coordinate,1.0,1.0
133,coordination,1.0,8.0
134,coronavirus,10.0,1.0
135,costs,16.0,7.0
136,counting,1.0,2.0
137,countries,16.0,13.0
138,country,13.0,41.0
139,course,23.0,1.0
140,creation,4.0,4.0
141,culture,28.0,1.0
142,cycle,7.0,5.0
143,damage,11.0,12.0
144,data,55.0,3.0
145,database,2.0,12.0
146,date,6.0,3.0
147,december,30.0,5.0
148,decision,7.0,81.0
149,decision-making,1.0,2.0
150,decisions,12.0,35.0
151,definitions,1.0,1.0
152,deliver,2.0,3.0
153,delivery,13.0,9.0
154,demand,25.0,1.0
155,deployment,2.0,1.0
156,description,6.0,2.0
157,design,53.0,4.0
158,desk,3.0,1.0
159,develop,2.0,3.0
160,development,561.0,72.0
161,dialogue,3.0,3.0
162,dioxide,3.0,5.0
163,disabilities,2.0,8.0
164,discussions,5.0,1.0
165,disease,3.0,2.0
166,diversification,1.0,4.0
167,document,8.0,1.0
168,documents,36.0,2.0
169,draft,6.0,1.0
170,duration,4.0,2.0
171,earth,2.0,1.0
172,economy,16.0,1.0
173,ecosystems,19.0,2.0
174,effect,12.0,4.0
175,effectiveness,9.0,1.0
176,effects,3.0,16.0
177,efficiency,86.0,1.0
178,effort,8.0,1.0
179,efforts,23.0,13.0
180,election,1.0,2.0
181,elements,4.0,1.0
182,emission,10.0,52.0
183,emissions,152.0,55.0
184,end,22.0,7.0
185,energy,286.0,3.0
186,engagement,30.0,1.0
187,enhancement,3.0,1.0
188,ensure,3.0,2.0
189,ensures,1.0,1.0
190,ensuring,7.0,1.0
191,entities,11.0,18.0
192,entity,2.0,9.0
193,environment,174.0,3.0
194,environments,2.0,1.0
195,equity,3.0,10.0
196,equivalent,7.0,2.0
197,estimate,2.0,1.0
198,events,30.0,1.0
199,executive,24.0,3.0
200,expenses,13.0,13.0
201,experience,10.0,1.0
202,expert,8.0,16.0
203,expertise,4.0,1.0
204,experts,17.0,4.0
205,explanation,28.0,3.0
206,facilitate,3.0,2.0
207,facility,21.0,3.0
208,factor,7.0,1.0
209,factors,10.0,1.0
210,february,8.0,1.0
211,finance,3.0,31.0
212,financial,18.0,3.0
213,financing,4.0,1.0
214,findings,4.0,3.0
215,first,5.0,1.0
216,focus,21.0,5.0
217,following,3.0,2.0
218,forests,3.0,2.0
219,form,3.0,2.0
220,format,4.0,3.0
221,forms,5.0,3.0
222,formulation,1.0,1.0
223,forum,8.0,3.0
224,fossil,9.0,1.0
225,fosters,1.0,1.0
226,framework,57.0,28.0
227,frequency,8.0,1.0
228,fuel,97.0,1.0
229,functions,19.0,7.0
230,fund,6.0,14.0
231,funding,4.0,2.0
232,funds,9.0,7.0
233,future,76.0,4.0
234,gaps,2.0,3.0
235,gas,261.0,12.0
236,gases,4.0,2.0
237,generation,18.0,1.0
238,ghg,24.0,7.0
239,global,22.0,4.0
240,goal,8.0,15.0
241,goals,97.0,12.0
242,governance,25.0,5.0
243,government,28.0,1.0
244,governments,2.0,1.0
245,grants,3.0,1.0
246,greenhouse,45.0,12.0
247,group,216.0,6.0
248,groups,13.0,3.0
249,guidance,18.0,33.0
250,guidelines,12.0,6.0
251,half,2.0,1.0
252,heads,8.0,1.0
253,health,226.0,8.0
254,help,12.0,1.0
255,hereinafter,4.0,14.0
256,host,1.0,38.0
257,https,6.0,7.0
258,identification,8.0,6.0
259,identifying,2.0,3.0
260,impact,48.0,1.0
261,impacts,45.0,20.0
262,impartiality,1.0,1.0
263,implement,7.0,3.0
264,implementation,67.0,86.0
265,importance,12.0,14.0
266,improvement,22.0,1.0
267,improvements,5.0,2.0
268,incentives,1.0,1.0
269,include,2.0,1.0
270,inclusion,2.0,1.0
271,inconsistencies,1.0,5.0
272,incorporation,1.0,1.0
273,increase,33.0,12.0
274,indicator,20.0,6.0
275,indicators,63.0,1.0
276,indigenous,12.0,1.0
277,information,98.0,68.0
278,infrastructure,30.0,3.0
279,initiation,1.0,2.0
280,initiative,16.0,2.0
281,initiatives,44.0,4.0
282,innovation,21.0,1.0
283,input,1.0,1.0
284,institutions,21.0,7.0
285,instructions,4.0,1.0
286,instruments,1.0,2.0
287,integrated,9.0,1.0
288,integrity,17.0,4.0
289,interest,30.0,4.0
290,international,37.0,3.0
291,inventory,3.0,1.0
292,investments,22.0,1.0
293,issue,3.0,1.0
294,issues,27.0,1.0
295,itmo,1.0,2.0
296,january,3.0,1.0
297,jobs,11.0,4.0
298,june,9.0,6.0
299,justification,1.0,2.0
300,knowledge,9.0,3.0
301,law,11.0,1.0
302,leaders,12.0,2.0
303,leadership,23.0,1.0
304,legislation,23.0,1.0
305,lessons,5.0,3.0
306,level,35.0,15.0
307,levels,24.0,8.0
308,leverage,1.0,1.0
309,limit,2.0,2.0
310,limits,1.0,4.0
311,line,30.0,6.0
312,loss,3.0,12.0
313,maintain,9.0,3.0
314,majority,7.0,1.0
315,make,1.0,1.0
316,management,656.0,1.0
317,manner,2.0,16.0
318,march,6.0,3.0
319,marine,14.0,1.0
320,matter,3.0,2.0
321,matters,18.0,4.0
322,may,7.0,1.0
323,means,3.0,2.0
324,measures,80.0,17.0
325,mechanism,2.0,87.0
326,mechanisms,5.0,2.0
327,meet,13.0,10.0
328,meeting,20.0,50.0
329,meetings,18.0,8.0
330,meets,4.0,1.0
331,member,14.0,11.0
332,members,25.0,36.0
333,membership,2.0,2.0
334,meteorological,1.0,1.0
335,methane,45.0,1.0
336,method,5.0,7.0
337,methodologies,7.0,22.0
338,methodology,10.0,6.0
339,methods,5.0,4.0
340,metrics,3.0,10.0
341,micro,3.0,1.0
342,minimize,5.0,4.0
343,minimum,3.0,1.0
344,mitigation,3.0,135.0
345,mobilization,2.0,3.0
346,monitoring,38.0,8.0
347,nations,5.0,4.0
348,nature,16.0,2.0
349,ndcs,10.0,25.0
350,need,4.0,3.0
351,needs,20.0,10.0
352,negative,1.0,1.0
353,network,19.0,6.0
354,non-state,2.0,1.0
355,notes,2.0,10.0
356,november,11.0,12.0
357,number,126.0,4.0
358,objectives,23.0,2.0
359,obligations,5.0,10.0
360,october,7.0,1.0
361,office,20.0,2.0
362,operate,1.0,2.0
363,operating,11.0,1.0
364,operation,55.0,7.0
365,operations,96.0,1.0
366,opportunities,42.0,3.0
367,option,4.0,1.0
368,options,3.0,7.0
369,order,29.0,9.0
370,organization,5.0,2.0
371,organizations,9.0,8.0
372,outcome,1.0,14.0
373,outlines,1.0,3.0
374,overview,2.0,1.0
375,page,17.0,1.0
376,pandemic,10.0,1.0
377,parameters,6.0,1.0
378,paris,14.0,126.0
379,part,149.0,13.0
380,participants,22.0,12.0
