,keyword,Frequency.22,Frequency
0,ability,5.0,2.0
1,acceptance,1.0,7.0
2,access,22.0,9.0
3,accordance,3.0,27.0
4,account,3.0,29.0
5,accounting,2.0,4.0
6,accuracy,3.0,2.0
7,achieve,1.0,1.0
8,act,1.0,2.0
9,action,10.0,43.0
10,activities,64.0,16.0
11,activity,5.0,1.0
12,adaptation,1.0,81.0
13,addition,5.0,3.0
14,address,7.0,5.0
15,adoption,1.0,33.0
16,advice,1.0,16.0
17,africa,11.0,1.0
18,agencies,5.0,3.0
19,agency,8.0,2.0
20,agreement,6.0,246.0
21,agreements,3.0,2.0
22,aim,4.0,4.0
23,ambition,1.0,12.0
24,america,6.0,1.0
25,amount,4.0,1.0
26,analysis,2.0,1.0
27,application,1.0,2.0
28,appreciation,1.0,1.0
29,approach,28.0,1.0
30,approaches,1.0,19.0
31,appropriate,1.0,7.0
32,approval,2.0,9.0
33,approves,1.0,1.0
34,april,2.0,6.0
35,area,18.0,2.0
36,areas,40.0,3.0
37,aspects,4.0,1.0
38,assess,1.0,2.0
39,assessment,7.0,8.0
40,assessments,9.0,5.0
41,assumptions,3.0,1.0
42,attention,1.0,2.0
43,authorities,5.0,2.0
44,availability,4.0,1.0
45,awareness,6.0,5.0
46,balance,2.0,4.0
47,barriers,2.0,1.0
48,basis,8.0,16.0
49,behalf,3.0,1.0
50,biodiversity,16.0,1.0
51,bodies,2.0,25.0
52,body,1.0,31.0
53,build,1.0,1.0
54,building,8.0,3.0
55,burden,1.0,4.0
56,capabilities,3.0,6.0
57,capacity,6.0,12.0
58,carbon,45.0,2.0
59,case,4.0,1.0
60,cases,5.0,1.0
61,centre,5.0,5.0
62,centres,8.0,1.0
63,century,1.0,1.0
64,challenge,7.0,1.0
65,challenges,22.0,2.0
66,change,22.0,52.0
67,channels,4.0,1.0
68,children,2.0,2.0
69,circumstances,1.0,11.0
70,cities,10.0,2.0
71,climate,20.0,62.0
72,collaboration,16.0,2.0
73,commitment,8.0,1.0
74,committee,26.0,31.0
75,communication,3.0,7.0
76,communications,1.0,5.0
77,communities,71.0,6.0
78,compensation,2.0,1.0
79,complement,1.0,2.0
80,compliance,5.0,2.0
81,comprehensive,1.0,2.0
82,concept,2.0,1.0
83,concern,4.0,4.0
84,concerns,16.0,1.0
85,concrete,1.0,1.0
86,conditions,13.0,1.0
87,conduct,14.0,3.0
88,conservation,16.0,3.0
89,conserve,1.0,1.0
90,constraints,2.0,1.0
91,consultation,1.0,4.0
92,consumption,7.0,1.0
93,contents,1.0,1.0
94,context,10.0,8.0
95,contribution,4.0,23.0
96,contributions,1.0,44.0
97,convention,1.0,84.0
98,costs,4.0,2.0
99,countries,39.0,23.0
100,country,15.0,70.0
101,cover,5.0,1.0
102,coverage,3.0,1.0
103,creation,3.0,1.0
104,criteria,2.0,1.0
105,cultures,1.0,1.0
106,cycle,3.0,2.0
107,damage,1.0,7.0
108,date,5.0,11.0
109,day,25.0,6.0
110,december,1.0,2.0
111,decision,10.0,32.0
112,decisions,5.0,17.0
113,decrease,2.0,1.0
114,delivery,1.0,2.0
115,demonstrate,1.0,2.0
116,demonstration,3.0,1.0
117,deployment,3.0,2.0
118,design,13.0,1.0
119,detail,6.0,1.0
120,development,94.0,46.0
121,dialogue,4.0,3.0
122,disaster,1.0,1.0
123,document,1.0,1.0
124,doha,1.0,1.0
125,earth,1.0,1.0
126,economies,9.0,1.0
127,education,9.0,4.0
128,effect,1.0,6.0
129,effects,1.0,10.0
130,effort,1.0,2.0
131,efforts,11.0,40.0
132,emergency,4.0,1.0
133,emission,2.0,18.0
134,emissions,82.0,29.0
135,energy,174.0,3.0
136,engagement,6.0,2.0
137,engagements,1.0,1.0
138,english,1.0,1.0
139,enhance,3.0,18.0
140,enhanced,2.0,4.0
141,entities,2.0,9.0
142,environment,47.0,6.0
143,environments,4.0,3.0
144,equity,4.0,6.0
145,event,3.0,3.0
146,events,7.0,5.0
147,exchange,1.0,3.0
148,execution,2.0,1.0
149,executive,11.0,9.0
150,experience,5.0,4.0
151,experiences,4.0,8.0
152,experts,8.0,1.0
153,explanation,4.0,1.0
154,extent,2.0,2.0
155,facilities,49.0,1.0
156,facility,20.0,6.0
157,features,1.0,1.0
158,february,1.0,1.0
159,finance,2.0,15.0
160,financial,2.0,10.0
161,food,8.0,3.0
162,forms,2.0,1.0
163,forum,2.0,1.0
164,foundation,12.0,1.0
165,framework,9.0,20.0
166,frequency,7.0,1.0
167,fund,2.0,6.0
168,funds,4.0,1.0
169,gas,239.0,19.0
170,gases,2.0,5.0
171,gender,1.0,1.0
172,general,8.0,1.0
173,global,13.0,7.0
174,goal,2.0,10.0
175,goals,8.0,1.0
176,governance,1.0,1.0
177,government,57.0,1.0
178,green,1.0,3.0
179,greenhouse,16.0,21.0
180,group,11.0,24.0
181,groups,2.0,4.0
182,growth,9.0,1.0
183,guidance,4.0,22.0
184,guidelines,7.0,15.0
185,half,6.0,1.0
186,health,22.0,3.0
187,host,4.0,2.0
188,house,1.0,1.0
189,ideas,6.0,1.0
190,identify,4.0,3.0
191,impact,39.0,2.0
192,impacts,23.0,10.0
193,implementation,5.0,84.0
194,implications,2.0,1.0
195,importance,6.0,16.0
196,improvement,6.0,2.0
197,incentives,1.0,3.0
198,increase,10.0,7.0
199,information,24.0,43.0
200,initiative,4.0,5.0
201,initiatives,4.0,7.0
202,innovation,9.0,1.0
203,input,1.0,2.0
204,inputs,1.0,1.0
205,institutions,4.0,9.0
206,insurance,2.0,3.0
207,integration,2.0,12.0
208,integrity,4.0,6.0
209,intergovernmental,1.0,4.0
210,international,27.0,9.0
211,intervals,1.0,1.0
212,introduction,4.0,1.0
213,inventory,2.0,2.0
214,island,2.0,4.0
215,issue,1.0,1.0
216,issues,10.0,1.0
217,january,3.0,1.0
218,jobs,20.0,1.0
219,knowledge,16.0,8.0
220,launch,2.0,1.0
221,lead,3.0,3.0
222,lessons,1.0,7.0
223,level,16.0,9.0
224,levels,10.0,15.0
225,limit,2.0,3.0
226,limitation,1.0,1.0
227,line,12.0,2.0
228,livelihoods,3.0,2.0
229,loss,6.0,7.0
230,losses,1.0,1.0
231,maintain,3.0,1.0
232,maintenance,2.0,1.0
233,manage,13.0,1.0
234,management,26.0,7.0
235,mandates,1.0,1.0
236,manner,2.0,12.0
237,march,2.0,1.0
238,matter,2.0,2.0
239,matters,2.0,7.0
240,may,2.0,3.0
241,measurement,1.0,2.0
242,measures,8.0,9.0
243,mechanisms,3.0,1.0
244,meet,7.0,1.0
245,meeting,2.0,75.0
246,meetings,7.0,11.0
247,member,7.0,15.0
248,members,10.0,2.0
249,methodology,1.0,2.0
250,methods,3.0,1.0
251,mid-century,1.0,1.0
252,mitigation,2.0,50.0
253,months,2.0,3.0
254,move,2.0,1.0
255,nations,8.0,14.0
256,nature,11.0,2.0
257,need,4.0,13.0
258,needs,15.0,14.0
259,network,4.0,5.0
260,networks,5.0,1.0
261,new,10.0,3.0
262,notes,2.0,3.0
263,november,1.0,5.0
264,number,37.0,2.0
265,objectives,2.0,1.0
266,observers,1.0,5.0
267,oceans,2.0,1.0
268,october,2.0,1.0
269,online,1.0,1.0
270,operation,3.0,5.0
271,operations,127.0,1.0
272,opportunities,20.0,9.0
273,opportunity,5.0,2.0
274,options,1.0,4.0
275,order,3.0,15.0
276,organization,2.0,11.0
277,outcome,1.0,1.0
278,overview,1.0,1.0
279,ownership,3.0,2.0
280,page,2.0,1.0
281,panel,6.0,5.0
282,paper,3.0,2.0
283,part,32.0,4.0
284,participation,2.0,9.0
285,parties,5.0,399.0
286,pathways,3.0,2.0
287,payments,4.0,2.0
288,people,67.0,4.0
289,peoples,7.0,5.0
290,performance,67.0,1.0
291,period,1.0,9.0
292,periods,1.0,1.0
293,place,28.0,1.0
294,places,1.0,1.0
295,plan,13.0,1.0
296,planning,3.0,3.0
297,plans,20.0,10.0
298,platform,3.0,5.0
299,point,2.0,1.0
300,policies,6.0,19.0
301,policy,13.0,5.0
302,position,2.0,1.0
303,practice,7.0,1.0
304,practices,13.0,20.0
305,preparation,2.0,3.0
306,president,4.0,4.0
307,pricing,2.0,1.0
308,principle,1.0,2.0
309,principles,37.0,1.0
310,priorities,5.0,11.0
311,priority,4.0,2.0
312,procedure,1.0,1.0
313,procedures,13.0,25.0
314,proceeds,1.0,1.0
315,process,41.0,26.0
316,processes,12.0,6.0
317,production,84.0,3.0
318,programme,45.0,5.0
319,programmes,18.0,3.0
320,progress,11.0,18.0
321,project,84.0,1.0
322,projects,68.0,2.0
323,protect,1.0,1.0
324,protection,3.0,1.0
325,protocol,1.0,8.0
326,purpose,2.0,2.0
327,purposes,2.0,1.0
328,quality,7.0,2.0
329,recommendation,2.0,6.0
330,recommendations,3.0,8.0
331,reduction,13.0,7.0
332,reductions,3.0,8.0
333,regulations,5.0,1.0
334,relationship,3.0,1.0
335,relevant,1.0,2.0
336,report,95.0,23.0
337,reporting,15.0,2.0
338,reports,5.0,13.0
339,representation,1.0,1.0
340,request,1.0,2.0
341,requests,1.0,37.0
342,requirements,15.0,1.0
343,research,19.0,3.0
344,reservoirs,2.0,2.0
345,resilience,3.0,9.0
346,resources,24.0,14.0
347,respect,8.0,5.0
348,respond,3.0,1.0
349,response,18.0,14.0
350,responses,1.0,1.0
351,responsibilities,5.0,6.0
352,results,10.0,6.0
353,review,24.0,18.0
354,rights,33.0,5.0
355,risk,11.0,8.0
356,risks,19.0,1.0
357,road,34.0,1.0
358,role,15.0,6.0
359,rules,6.0,5.0
