,keyword,Frequency.16,Frequency
0,ability,2.0,2.0
1,acceptance,1.0,7.0
2,access,26.0,9.0
3,accordance,3.0,27.0
4,account,4.0,29.0
5,accounting,1.0,4.0
6,achieve,1.0,1.0
7,achievement,3.0,4.0
8,act,6.0,2.0
9,action,4.0,43.0
10,actions,3.0,52.0
11,activities,15.0,16.0
12,activity,4.0,1.0
13,addition,12.0,3.0
14,address,1.0,5.0
15,advice,3.0,16.0
16,africa,12.0,1.0
17,agencies,1.0,3.0
18,agency,6.0,2.0
19,agreement,8.0,246.0
20,agreements,4.0,2.0
21,aim,2.0,4.0
22,america,12.0,1.0
23,amount,13.0,1.0
24,analysis,3.0,1.0
25,annex,4.0,3.0
26,application,7.0,2.0
27,approach,18.0,1.0
28,appropriate,1.0,7.0
29,approval,1.0,9.0
30,april,2.0,6.0
31,area,10.0,2.0
32,areas,10.0,3.0
33,article,3.0,127.0
34,articles,1.0,9.0
35,aspects,2.0,1.0
36,assembly,1.0,1.0
37,assessment,13.0,8.0
38,assessments,8.0,5.0
39,assistance,2.0,4.0
40,attention,9.0,2.0
41,authorities,6.0,2.0
42,authority,1.0,2.0
43,availability,2.0,1.0
44,awareness,3.0,5.0
45,barriers,1.0,1.0
46,basis,2.0,16.0
47,benefits,7.0,5.0
48,biodiversity,5.0,1.0
49,bodies,1.0,25.0
50,body,3.0,31.0
51,building,3.0,3.0
52,bureau,6.0,2.0
53,calls,1.0,1.0
54,capacity,15.0,12.0
55,carbon,10.0,2.0
56,case,3.0,1.0
57,cases,3.0,1.0
58,categories,2.0,2.0
59,century,1.0,1.0
60,certification,8.0,1.0
61,challenge,8.0,1.0
62,challenges,13.0,2.0
63,change,7.0,52.0
64,channels,1.0,1.0
65,children,2.0,2.0
66,circumstances,2.0,11.0
67,cities,2.0,2.0
68,climate,3.0,62.0
69,commitment,16.0,1.0
70,committee,4.0,31.0
71,communication,7.0,7.0
72,communications,1.0,5.0
73,communities,16.0,6.0
74,compensation,3.0,1.0
75,completeness,1.0,2.0
76,compliance,9.0,2.0
77,component,2.0,1.0
78,concept,2.0,1.0
79,concern,5.0,4.0
80,concerns,8.0,1.0
81,conditions,6.0,1.0
82,conduct,10.0,3.0
83,conference,1.0,120.0
