Company,Year,Overlap-coefficient,Cosine-similarity_Total_Frequency,Cosine-similarity_Relative_Frequency
Bp,2020,22.7569562748438,0.598745032203335,0.598740635659023
Bp,2021,17.2629187961386,0.551468887684917,0.551347463280023
Bp,2022,18.6399772856332,0.53735208258368,0.537253539290294
Exxon,2021,13.8131743327655,0.589832710429753,0.589671350510555
Che,2020,16.5105053946621,0.733469030153735,0.733409946158046
Che,2021,18.1856899488927,0.70787054741528,0.707793516315424
Che,2022,15.1618398637138,0.660281115790231,0.66015371571677
Shell,2020,19.5059625212947,0.669365539080844,0.66927329678847
Shell,2021,14.4236229415105,0.580782555022399,0.580716817842656
Shell,2022,15.885860306644,0.571910439830794,0.571825130130117
Equi,2020,16.9931856899489,0.657364583759639,0.657339389286308
Equi,2021,17.0641680863146,0.524037800053423,0.521685252187921
Pb,2020,28.7336740488359,0.742657853334835,0.742645900936635
Pb,2021,26.9733106189665,0.720696148713937,0.720599285519521
Ros,2020,24.4179443498013,0.802337337159354,0.80229896551155
Ros,2021,23.0834752981261,0.767743531229357,0.767687396955012
Gaz,2020,21.8199886428166,0.774671582962675,0.774614483403619
Gaz,2021,20.6274843838728,0.817597913933955,0.81756088501212
Qata,2020,15.8716638273708,0.61011473522771,0.610021720970569
Qata,2021,18.8103350369108,0.599036478144789,0.598902835776892
Pch,2020,14.2532651902328,0.778201085313897,0.778054051462204
Pch,2021,18.0579216354344,0.780111868041559,0.77999883461353
Indi,2020,12.649063032368,0.657006297304786,0.656923760313947
Indi,2021,16.4111300397501,0.735902528614231,0.735840034600682
Pn,2020,23.4241908006814,0.730041840969291,0.729973915859044
Pn,2021,23.4951731970471,0.674580526345701,0.674467934639405
BP,2019,19.3781942078365,0.610942624276811,0.610869704381145
Exxon,2019,10.9028960817717,0.654555716434082,0.654444657943034
Chev,2019,11.5843270868825,0.698253994069128,0.697800535124976
Shell,2019,19.0516751845542,0.669367853983721,0.669276667880775
Equi,2019,15.4741624077229,0.716206274981794,0.716198583717646
Pb,2019,0.0567859170925611,0.725476250110012,0.72547625010997
Kuwa,2019,10.5479840999432,0.815834626758585,0.815817391048245
Qata,2019,17.4758659852357,0.674928944277211,0.674850250991606
Pch,2019,15.2328222600795,0.749488196937699,0.749414442148952
Indi,2019,10.7041453719478,0.649699352338684,0.649645671616672
Pn,2019,26.2492901760363,0.748275387187863,0.748257127935414
Gaz,2019,22.8847245883021,0.800665842615667,0.800627467705791
Rosn,2019,22.5440090857467,0.767513415255571,0.76747180076944
