Company,Year,Overlap-coefficient,Cosine-similarity_Total_Frequency,Cosine-similarity_Relative_Frequency
BP,2011,58.620689655172406,0.22129249438789342,0.22129249438788362
BP,2012,57.8544061302682,0.20778182167515813,0.20778182167514983
BP,2013,57.47126436781609,0.20836393315121535,0.20836393315120746
BP,2014,59.25925925925925,0.20661716661329585,0.2066171666132878
BP,2015,59.897828863346106,0.2045428677669512,0.20454286776694142
Exxon,2011,61.813537675606646,0.21814593004286167,0.21814593004285135
Exxon,2012,63.984674329501914,0.2168727438712011,0.21687274387119085
Exxon,2013,65.13409961685824,0.23097394940086519,0.23097394940085447
Exxon,2014,64.75095785440614,0.2172849214922215,0.21728492149221187
Exxon,2015,66.5389527458493,0.22553013792875043,0.22553013792874074
Chev,2011,46.36015325670498,0.30864409103940815,0.3086440910393953
Chev,2012,47.254150702426564,0.2549171929712348,0.2549171929712191
Chev,2013,35.24904214559387,0.3594314429000949,0.3594314429000805
Chev,2014,38.18646232439336,0.3503760637748757,0.35037606377486025
Chev,2015,45.721583652618136,0.22389793458646054,0.2238979345864471
Total,2011,50.702426564495525,0.14511984918987667,0.1451198491898663
Total,2012,45.4661558109834,0.15250128712927652,0.15250128712926667
Total,2013,52.36270753512133,0.17436590899826082,0.17436590899825152
Total,2014,40.99616858237548,0.2512532943945854,0.25125329439457667
Shell,2011,49.55300127713921,0.17061304893101284,0.17061304893100565
Shell,2012,51.08556832694764,0.17224345808534378,0.172243458085333
Shell,2013,55.172413793103445,0.18205677905616854,0.18205677905615505
Shell,2014,60.15325670498084,0.1902190412682937,0.1902190412682849
Shell,2015,57.59897828863346,0.1931416650153432,0.19314166501533406
Equi,2011,66.5389527458493,0.22215302459425754,0.22215302459424635
Equi,2012,58.49297573435505,0.23287133588938105,0.23287133588937203
Equi,2013,50.44699872286079,0.2256907468259974,0.2256907468259868
Equi,2014,50.57471264367817,0.22527245638912338,0.2252724563891147
Equi,2015,51.59642401021711,0.21480365907515217,0.21480365907514348
Rosn,2011,55.68326947637292,0.18697317147356535,0.1869731714735532
Rosn,2012,53.76756066411239,0.2196670355845368,0.2196670355845275
Rosn,2013,59.25925925925925,0.20262962963183723,0.2026296296318266
Rosn,2014,63.2183908045977,0.2291804228592314,0.2291804228592219
Rosn,2015,63.2183908045977,0.2104703264521781,0.2104703264521692
Gazp,2011,57.21583652618135,0.14810846135254793,0.14810846135253894
Gazp,2013,60.15325670498084,0.16353317838583323,0.163533178385826
Gazp,2015,57.47126436781609,0.1782795196128836,0.17827951961287444
Pb,2011,66.15581098339719,0.22483128753103312,0.2248312875310163
Pb,2012,64.75095785440614,0.2112114096740325,0.21121140967402194
Pb,2013,53.76756066411239,0.2058655559960817,0.20586555599607065
Pb,2014,54.91698595146871,0.2189679833387104,0.21896798333870005
Pb,2015,59.77011494252874,0.2063654774202672,0.20636547742025624
Kuwa,2013,50.95785440613027,0.16986966656521887,0.16986966656520952
Kuwa,2015,44.572158365261814,0.19931573212937836,0.1993157321293607
Qata,2011,59.00383141762452,0.18789048638943756,0.18789048638942923
Qata,2012,64.62324393358875,0.18348948657866415,0.18348948657865508
Qata,2013,62.196679438058744,0.1465504020799218,0.14655040207991277
Qata,2014,51.08556832694764,0.1956974946124371,0.19569749461242503
Qata,2015,49.55300127713921,0.20023476802876827,0.20023476802875942
Pch,2014,54.406130268199234,0.2526723050527435,0.25267230505273114
Pch,2015,59.897828863346106,0.18074751293158478,0.18074751293157598
Indi,2011,47.76500638569604,0.19067622166141698,0.19067622166140408
Indi,2013,59.00383141762452,0.19539056238291572,0.19539056238290797
Indi,2014,52.87356321839081,0.26064888725094454,0.2606488872509336
Indi,2015,51.724137931034484,0.15202099352756132,0.15202099352755055
Pn,2011,43.16730523627076,0.2057506318386559,0.20575063183864817
Pn,2012,42.27330779054917,0.3565101655427403,0.35651016554272424
Pn,2013,47.76500638569604,0.2116245543307233,0.21162455433071292
Pn,2014,57.59897828863346,0.22561684545055904,0.22561684545054725
Pn,2015,57.08812260536399,0.22020460438933814,0.22020460438932649
